name,nomenclature,source_db_name,normalized_gene_id,aliases
BPIFB2,Gene Symbol,HGNC,hgnc:16177,BPI fold containing family B member 2|BPIL1|C20orf184|ccds:CCDS13210|dJ726C3.2|ena.embl:AF465765|ensembl:ENSG00000078898|hgnc:16177|LPLUNC2|ncbigene:80341|omim:614108|pubmed:12185532|pubmed:21787333|refseq:NM_025227|ucsc:uc002wyj.5|uniprot:Q8N4F0|vega:OTTHUMG00000032232
RAF-1,Gene Name,MyCancerGenomeClinicalTrial,hgnc:9829,NCBIGENE:5894
CHRM3,Gene Symbol,GO,hgnc:1952,MUSCARINIC ACETYLCHOLINE RECEPTOR M3
NRBP1,Gene Symbol,NCBI,hgnc:7993,BCON3|ensembl:ENSG00000115216|hgnc:7993|MADM|MUDPNP|ncbigene:29959|NRBP|nuclear receptor binding protein 1|omim:606010
PVT1,Gene Symbol,Ensembl,hgnc:9709,ensembl:ENSG00000249859|hgnc:9709|Pvt1 oncogene
RB1,Gene Symbol,Tempus,hgnc:9884,
RPS6KA3,Gene Name,DTC,hgnc:10432,
TTC6,Gene Symbol,Ensembl,hgnc:19739,ensembl:ENSG00000139865|hgnc:19739|tetratricopeptide repeat domain 6
UNIPROT:P19438,UniProtKB ID,TdgClinicalTrial,hgnc:11916,TNFRSF1A
GPR160,Gene Symbol,NCBI,hgnc:23693,ensembl:ENSG00000173890|G protein-coupled receptor 160|GPCR1|GPCR150|hgnc:23693|ncbigene:26996|omim:621509
UNIPROT:O43451,UniProtKB ID,TdgClinicalTrial,hgnc:7043,MGAM
ASMT,Gene Name,DrugBank,hgnc:750,ASMT|ASMT_HUMAN|GENBANK:607840|HGNC:750|U11090|UNIPROT:P46597
CRYBG2,Gene Symbol,NCBI,hgnc:17295,AIM1L|crystallin beta-gamma domain containing 2|ensembl:ENSG00000176092|FLJ38020|hgnc:17295|LOC647881|ncbigene:55057|omim:619765
ENSEMBL:ENSG00000072071,Ensembl Gene ID,RussLampel,hgnc:20973,LATROPHILIN-1 PRECURSOR (CALCIUM-INDEPENDENT ALPHA-LATROTOXIN RECEPTOR 1) (LECTOMEDIN-2)|LPHN1
ROS1,Gene Symbol,HumanProteinAtlas,hgnc:10261,"C-ROS-1|ENSEMBL:ENSG00000047936|MCF3|ROS|ROS PROTO-ONCOGENE 1, RECEPTOR TYROSINE KINASE|UNIPROT:P08922"
MAP3K9,Gene Name,DrugBank,hgnc:6861,AY327900|GENBANK:33591094|HGNC:6861|IUPHAR.RECEPTOR:2084|M3K9_HUMAN|MAP3K9|UNIPROT:P80192
ITGAV,Gene Name,NCI,hgnc:6150,
SEC11B,Gene Symbol,Ensembl,hgnc:31884,"ensembl:ENSG00000226098|hgnc:31884|SEC11 homolog B, signal peptidase complex subunit (pseudogene)"
AZGP1,Gene Name,DrugBank,hgnc:910,AZGP1|D90427|HGNC:910|UNIPROT:P25311|ZA2G_HUMAN
CTAG2,Gene Symbol,CIViC,hgnc:2492,CAMEL|CANCER/TESTIS ANTIGEN 2|CIVIC.GID:11492|CT2|CT6.2|CT6.2A|CT6.2B|ESO2|LAGE-1|LAGE2B|NCBI.GENE:30848
ZFP36L2,Gene Symbol,Pharos,hgnc:1108,MRNA DECAY ACTIVATOR PROTEIN ZFP36L2|UNIPROT:P47974
ANO6,Gene Symbol,NCBI,hgnc:25240,anoctamin 6|BDPLT7|ensembl:ENSG00000177119|hgnc:25240|ncbigene:196527|omim:608663|SCTS|TMEM16F
FAM3C,Gene Symbol,HGNC,hgnc:18664,ccds:CCDS5782|ena.embl:D87120|ensembl:ENSG00000196937|FAM3 metabolism regulating signaling molecule C|GS3876|hgnc:18664|ILEI|ncbigene:10447|omim:608618|pubmed:12160727|refseq:NM_001040020|ucsc:uc003vjx.4|uniprot:Q92520|vega:OTTHUMG00000156979
OTUD4,Gene Symbol,Ensembl,hgnc:24949,ensembl:ENSG00000164164|hgnc:24949|OTU deubiquitinase 4
CD8A,Gene Symbol,HGNC,hgnc:1706,ccds:CCDS1992|ccds:CCDS1993|CD8|CD8 subunit alpha|CD8alpha|ensembl:ENSG00000153563|hcdmdb:CD8a|hgnc:1706|ncbigene:925|omim:186910|orphanet:221184|p32|pubmed:17658607|pubmed:2496167|refseq:NM_001768|ucsc:uc002srv.4|uniprot:P01732|vega:OTTHUMG00000130265
MIR23B,Gene Symbol,Ensembl,hgnc:31606,ensembl:ENSG00000207563|hgnc:31606|microRNA 23b
APOA1,Gene Name,HingoraniCasas,hgnc:600,APOA1|ENSEMBL:ENSG00000118137
IGKV1-5,Gene Symbol,HGNC,hgnc:5741,ena.embl:Z00001|ensembl:ENSG00000243466|hgnc:5741|imgt:IGKV1-5|immunoglobulin kappa variable 1-5|ncbigene:28299|refseq:NG_000834|ucsc:uc061lqk.1|uniprot:P01602|vega:OTTHUMG00000151560
VAMP5,Gene Symbol,HGNC,hgnc:12646,ccds:CCDS1980|ena.embl:AF054825|ensembl:ENSG00000168899|hgnc:12646|ncbigene:10791|omim:607029|pubmed:9725904|refseq:NM_006634|ucsc:uc002spu.2|uniprot:O95183|vega:OTTHUMG00000130169|vesicle associated membrane protein 5
PTPRK,Gene Symbol,HGNC,hgnc:9674,ccds:CCDS47473|ccds:CCDS5137|ccds:CCDS75517|ccds:CCDS78179|cosmic:PTPRK|ena.embl:L77886|ensembl:ENSG00000152894|hgnc:9674|ncbigene:5796|omim:602545|protein tyrosine phosphatase receptor type K|pubmed:8663237|pubmed:9047348|R-PTP-kappa|refseq:NM_001135648|ucsc:uc003qbj.4|uniprot:Q15262|vega:OTTHUMG00000015536
ENSEMBL:ENSG00000165621,Ensembl Gene ID,RussLampel,hgnc:4531,GPR80_HUMAN|PROBABLE G-PROTEIN COUPLED RECEPTOR 80 (P2Y-LIKE NUCLEOTIDE RECEPTOR) (P2Y-LIKE GPCR)
PMS2,Gene Symbol,Ensembl,hgnc:9122,"ensembl:ENSG00000122512|hgnc:9122|PMS1 homolog 2, mismatch repair system component"
CYP2W1,Gene Symbol,GO,hgnc:20243,CYTOCHROME P450 2W1
TFG,Gene Symbol,NCBI,hgnc:11758,ensembl:ENSG00000114354|hgnc:11758|HMSNO|HMSNP|ncbigene:10342|omim:602498|SPG57|TF6|trafficking from ER to golgi regulator|TRKT3
KIF5B,Gene Symbol,HGNC,hgnc:6324,ccds:CCDS7171|cosmic:KIF5B|ena.embl:X65873|ensembl:ENSG00000170759|hgnc:6324|kinesin family member 5B|KNS|KNS1|ncbigene:3799|omim:602809|pubmed:11553612|pubmed:1607388|refseq:NM_004521|ucsc:uc001iwe.5|uKHC|uniprot:P33176|vega:OTTHUMG00000017913
PML,Gene Symbol,Tempus,hgnc:9113,
STAB2,Gene Symbol,GO,hgnc:18629,FEEL2|FELL|FEX2|HARE|STABILIN-2
ATF3,Gene Symbol,Pharos,hgnc:785,CYCLIC AMP-DEPENDENT TRANSCRIPTION FACTOR ATF-3|UNIPROT:P18847
RPL4,Gene Symbol,Ensembl,hgnc:10353,ensembl:ENSG00000174444|hgnc:10353|ribosomal protein L4
PDE1A,Gene Name,DrugBank,hgnc:8774,GENBANK:1151109|HGNC:8774|IUPHAR.RECEPTOR:1294|PDE1A|PDE1A_HUMAN|U40370|UNIPROT:P54750
PLAU,Gene Symbol,NCBI,hgnc:9052,"ATF|BDPLT5|ensembl:ENSG00000122861|hgnc:9052|LOC115418|LOC118484|LOC143706|LOC95176|ncbigene:5328|omim:191840|plasminogen activator, urokinase|QPD|u-PA|UPA|URK"
SENP8,Gene Name,HingoraniCasas,hgnc:22992,ENSEMBL:ENSG00000166192|SENP8
CSAD,Gene Symbol,NCBI,hgnc:18966,CSADC|CSD|cysteine sulfinic acid decarboxylase|ensembl:ENSG00000139631|hgnc:18966|ncbigene:51380|omim:616569|PCAP
NEK1,Gene Symbol,Pharos,hgnc:7744,SERINE/THREONINE-PROTEIN KINASE NEK1|UNIPROT:Q96PY6
SRC,Gene Name,NCI,hgnc:11283,
CCN2,Gene Symbol,Ensembl,hgnc:2500,cellular communication network factor 2|ensembl:ENSG00000118523|hgnc:2500
LYPLA1,Gene Symbol,Ensembl,hgnc:6737,ensembl:ENSG00000120992|hgnc:6737|lysophospholipase 1
UCN,Gene Symbol,GO,hgnc:12516,UROCORTIN
SPARC,Gene Symbol,ClearityFoundationBiomarkers,hgnc:11219,NCBIGENE:6678
XRCC2,Gene Symbol,GO,hgnc:12829,DNA REPAIR PROTEIN XRCC2
NAGLU,Gene Symbol,NCBI,hgnc:7632,CMT2V|ensembl:ENSG00000108784|hgnc:7632|MPS-IIIB|MPS3B|N-acetyl-alpha-glucosaminidase|NAG|ncbigene:4669|omim:609701|UFHSD
CDK2,Gene Symbol,ChEMBL,hgnc:1771,CHEMBL:CHEMBL301|CHEMBL:CHEMBL3559691|CYCLIN-DEPENDENT KINASE 2|UNIPROT:P24941
ENSEMBL:ENSG00000176082,Ensembl Gene ID,RussLampel,,
SSU72L1,Gene Symbol,GO,hgnc:43626,RNA POLYMERASE II SUBUNIT A C-TERMINAL DOMAIN PHOSPHATASE SSU72 LIKE PROTEIN 1
ENSEMBL:ENSG00000168329,Ensembl Gene ID,RussLampel,hgnc:2558,CX3C CHEMOKINE RECEPTOR 1 (C-X3-C CKR-1) (CX3CR1) (FRACTALKINE RECEPTOR) (GPR13) (V28) (BETA CHEMOKINE RECEPTOR-LIKE 1) (CMK-BRL-1) (CMKBLR1)|CX3CR1
RPL31,Gene Symbol,ChEMBL,hgnc:10334,CHEMBL:CHEMBL3987582|LARGE RIBOSOMAL SUBUNIT PROTEIN EL31|UNIPROT:P62899
