HGNC_ID,ENSG_ID,NCBI_ID,captured_status,captured_category_list,primary_gene_symbol,gene_symbol,alternate_abbreviation_status_w_no_context
HGNC:2235,ENSG00000067082,GENE ID:1316,FALSE,,KLF6,ZF9,FALSE
HGNC:18656,ENSG00000124784,GENE ID:83732,FALSE,,RIOK1,AD034,FALSE
HGNC:16272,ENSG00000196782,GENE ID:55534,FALSE,,MAML3,ERDA3,FALSE
HGNC:975,ENSG00000116752,GENE ID:10286,FALSE,,BCAS2,SPF27,FALSE
HGNC:25878,ENSG00000135362,GENE ID:79899,FALSE,,PRR5L,PROTOR-2,FALSE
HGNC:28727,ENSG00000184831,GENE ID:79135,FALSE,,APOO,MIC23,FALSE
HGNC:51151,ENSG00000254784,GENE ID:100420589,TRUE,Previous Symbol,DNAAF11P1,LRRC6P1,FALSE
HGNC:9977,ENSG00000128250,GENE ID:5988,TRUE,Prefix Gene Group Symbol,RFPL1,RNF78,FALSE
HGNC:15861,ENSG00000101452,GENE ID:60625,TRUE,Clone Symbol,DHX35,FLJ22759,FALSE
HGNC:2372,ENSG00000112282,GENE ID:9439,TRUE,Ortholog Symbol,MED23,#NAME?,FALSE
HGNC:38969,set(),GENE ID:100500916,TRUE,Gene Identifier Symbol,MIR3180-5,hsa-mir-3180-5,FALSE
HGNC:31526,ENSG00000272036,GENE ID:406931,TRUE,"Previous Symbol, Prefix Gene Group Symbol, Withdrawn MGI Symbol",MIR139,MIRN139,TRUE
HGNC:5284,ENSG00000205649,GENE ID:3347,TRUE,Prefix Gene Group Symbol,HTN3,HTN5,FALSE
HGNC:17751,ENSG00000146215,GENE ID:401262,TRUE,Withdrawn MGI Symbol,CRIP3,TLP,FALSE
HGNC:31452,ENSG00000153714,GENE ID:286343,TRUE,Placeholder Symbol,LURAP1L,MGC46502,FALSE
HGNC:38266,ENSG00000265657,GENE ID:100422992,TRUE,Prefix Gene Group Symbol,MIR3151,mir-3151,TRUE
HGNC:24679,ENSG00000108306,GENE ID:84961,TRUE,Placeholder Symbol,FBXL20,MGC15482,FALSE
HGNC:26097,ENSG00000167987,GENE ID:55048,TRUE,Clone Symbol,VPS37C,FLJ20847,FALSE
HGNC:17513,ENSG00000103942,GENE ID:9455,TRUE,Prefix Condition Symbol,HOMER2,DFNA68,FALSE
HGNC:11540,ENSG00000106290,GENE ID:6878,TRUE,Prefix Gene Group Symbol,TAF6,TAF(II)80,FALSE
HGNC:25722,ENSG00000181026,GENE ID:64782,TRUE,Clone Symbol,AEN,FLJ12562,FALSE
HGNC:16843,"ENSG00000293529, ENSG00000150175",GENE ID:728798,TRUE,"Previous Symbol, Prefix Gene Group Symbol",FRMPD2B,PDZD5A,FALSE
HGNC:42171,ENSG00000232928,GENE ID:100133180,TRUE,Previous Symbol,DDX3P1,DDX3YP1,FALSE
HGNC:18949,ENSG00000227840,GENE ID:337981,TRUE,"Previous Symbol, Prefix Gene Group Symbol",KRTAP8-3P,KRTAP8P2,FALSE
HGNC:10039,ENSG00000263740,GENE ID:6030,TRUE,Previous Symbol,RN7SL4P,RN7SL427P,FALSE
HGNC:4162,ENSG00000106105,GENE ID:2617,TRUE,"Previous Symbol, Prefix Condition Symbol",GARS1,CMT2D,FALSE
HGNC:20188,ENSG00000165506,GENE ID:55172,TRUE,"Previous Symbol, Placeholder Symbol",DNAAF2,C14ORF104,FALSE
HGNC:35372,ENSG00000283867,GENE ID:100302174,TRUE,Gene Identifier Symbol,MIR1307,HSA-MIR-1307,FALSE
HGNC:33270,ENSG00000228836,GENE ID:441521,TRUE,Prefix Gene Group Symbol,CT45A5,CT45-4,FALSE
HGNC:6210,ENSG00000085117,GENE ID:3732,TRUE,"Previous Symbol, Withdrawn MGI Symbol",CD82,KAI1,FALSE
HGNC:2300,ENSG00000080618,GENE ID:1361,TRUE,Prefix Gene Group Symbol,CPB2,CPU,FALSE
HGNC:21290,ENSG00000171611,GENE ID:171558,TRUE,Prefix Condition Symbol,PTCRA,IMD126,FALSE
HGNC:8680,"ENSG00000171815, ENSG00000291669",GENE ID:29930,TRUE,Prefix Gene Group Symbol,PCDHB1,PCDH-BETA1,TRUE
HGNC:29602,ENSG00000162493,GENE ID:10630,TRUE,Previous Symbol,PDPN,HT1A-1,FALSE
HGNC:18869,ENSG00000179168,GENE ID:199720,TRUE,Placeholder Symbol,GGN,MGC33369,FALSE
HGNC:8609,ENSG00000140694,GENE ID:5073,TRUE,Prefix Condition Symbol,PARN,DKCB6,FALSE
HGNC:28404,ENSG00000213047,GENE ID:163486,TRUE,"Previous Symbol, Placeholder Symbol",DENND1B,FAM31B,FALSE
HGNC:17008,ENSG00000163781,GENE ID:11073,TRUE,Ortholog Symbol,TOPBP1,DPB11,FALSE
HGNC:31577,ENSG00000283762,GENE ID:406982,TRUE,Prefix Gene Group Symbol,MIR20A,miR-20,TRUE
HGNC:25338,ENSG00000139200,GENE ID:196500,TRUE,Placeholder Symbol,PIANP,DKFZP547D2210,FALSE
HGNC:7157,"ENSG00000099953, ENSG00000275365",GENE ID:4320,TRUE,"Previous Symbol, Withdrawn MGI Symbol",MMP11,STMY3,FALSE
HGNC:32615,ENSG00000207112,GENE ID:684959,TRUE,Prefix Gene Group Symbol,SNORA25,SNORA25A,FALSE
HGNC:26686,ENSG00000178796,GENE ID:284485,TRUE,"Previous Symbol, Placeholder Symbol",RIIAD1,C1orf230,FALSE
HGNC:5047,ENSG00000125944,GENE ID:10236,TRUE,Prefix Condition Symbol,HNRNPR,NEDDFSB,FALSE
HGNC:23159,ENSG00000119523,GENE ID:85365,TRUE,Clone Symbol,ALG2,FLJ14511,FALSE
HGNC:24049,ENSG00000167311,GENE ID:116969,TRUE,Prefix Gene Group Symbol,ART5,ARTC5,FALSE
HGNC:589,ENSG00000057663,GENE ID:9474,TRUE,Prefix Condition Symbol,ATG5,SCAR25,FALSE
HGNC:11209,ENSG00000105866,GENE ID:6671,TRUE,Placeholder Symbol,SP4,MGC130009,FALSE
HGNC:4789,ENSG00000278705,GENE ID:8366,TRUE,Prefix Gene Group Symbol,H4C2,H4C3,FALSE
HGNC:34981,set(),GENE ID:100189412,TRUE,"Previous Symbol, Prefix Gene Group Symbol",TRD-GTC2-1,TRNAD18,FALSE
HGNC:25076,ENSG00000142794,GENE ID:84224,TRUE,Withdrawn MGI Symbol,NBPF3,AE2,FALSE
HGNC:4931,ENSG00000206503,GENE ID:3105,TRUE,Prefix Gene Group Symbol,HLA-A,HLAA,TRUE
HGNC:20014,ENSG00000180189,GENE ID:319130,TRUE,Previous Symbol,HMGB1P14,HMGB1L14,TRUE
HGNC:24931,ENSG00000126970,GENE ID:55906,TRUE,Prefix Condition Symbol,ZC4H2,WRWFFR,FALSE
HGNC:34682,set(),GENE ID:100189120,TRUE,Prefix Gene Group Symbol,TRD-GTC2-5,tRNA-Asp-GTC-2-5,TRUE
HGNC:7602,ENSG00000197535,GENE ID:4644,TRUE,Previous Symbol,MYO5A,MYH12,FALSE
HGNC:25335,ENSG00000167257,GENE ID:257160,TRUE,Placeholder Symbol,RNF214,DKFZp547C195,FALSE
HGNC:43334,ENSG00000252456,GENE ID:100873684,TRUE,Previous Symbol,RNA5SP434,RN5S434,FALSE
HGNC:431,ENSG00000264958,GENE ID:243,TRUE,"Previous Symbol, Withdrawn MGI Symbol",ALOX12P1,ALOX12P,FALSE
HGNC:41643,set(),GENE ID:100616386,TRUE,Gene Identifier Symbol,MIR4654,hsa-mir-4654,FALSE
HGNC:42015,ENSG00000238086,GENE ID:100418740,TRUE,"Previous Symbol, Placeholder Symbol",PPP1R26P1,KIAA0649P1,FALSE
HGNC:4790,ENSG00000276966,GENE ID:8367,TRUE,Prefix Condition Symbol,H4C5,TEBIVANED3,FALSE
HGNC:25792,ENSG00000103005,GENE ID:79650,TRUE,"Previous Symbol, Placeholder Symbol",USB1,C16ORF57,FALSE
HGNC:18885,ENSG00000221937,GENE ID:259286,TRUE,Previous Symbol,TAS2R40,GPR60,FALSE
