,collision,num_gene_records
1479,TCRAV25S1,2
1478,TCRAV19S1,2
1477,TCRAV17S1,2
1130,PAM-1,2
1131,PAN2,2
1132,PAO,2
1476,TCEB1L,2
1475,TC1,2
1134,PAP1,2
1136,PAPA,2
1321,RPL10P,2
1474,TBP1,2
1473,TBL1,2
1472,TAZ,2
1471,TAT1,2
1140,PAR3,2
1141,PAR4,2
1470,TASP,2
1143,PARS,2
1144,PAT1,2
1145,PBF,2
1468,TAO1,2
1146,PBI,2
1171,PGR1,2
1172,PH2A/F,2
1174,PHR1,2
1416,SNRNP65,2
1195,PN1,2
1422,SPB1,2
1196,PNK,2
1197,PNR,2
1198,PNUTL3,2
1199,POB1,2
1421,SPANX,2
1420,SP17,2
1419,SOLO,2
1418,SOAT,2
1202,POP1,2
1417,SNT1,2
1205,PORC,2
1176,PIG3,2
1206,POST,2
1207,POTE2BETA,2
1208,PP1,2
1209,PP17,2
1210,PP1C,2
1211,PP2CALPHA,2
1212,PP5,2
1213,PPCD,2
1214,PPD,2
1414,SNF2LB,2
1216,PPP1R6,2
1413,SNF2,2
1194,PN-I,2
1423,SPC1,2
1424,SPC3,2
1425,SPC7,2
1177,PIG6,2
1448,STRA13,2
1447,STP,2
1446,STK7,2
1445,STK2,2
1442,ST2L,2
1441,SSS1,2
1440,SSC1,2
1181,PIT-1,2
1182,PIT1,2
1437,SRP40,2
1183,PKR1,2
1435,SRBC,2
1434,SPX1,2
1433,SPS1,2
1432,SPS,2
1431,SPRING,2
1187,PLB,2
1188,PLCE,2
1429,SPO,2
1189,PLIP,2
1427,SPK,2
1426,SPIN,2
1192,PMI,2
1193,PMR1,2
1148,PC-1,2
0,2F1,2
959,NBP,2
293,CN1,2
317,CRABP-I,2
316,CRA,2
311,CPN2,2
310,CPN1,2
309,CPI17-LIKE,2
308,CP27,2
307,COX2,2
306,COX11P,2
305,COX1,2
304,COT,2
303,COQ8,2
302,COMT2,2
301,COM1,2
299,COD5,2
298,COD1,2
296,CNK,2
295,CNIL,2
318,CRABP-II,2
319,CRD,2
320,CRF,2
333,CSRP,2
342,CTLA1,2
341,CTB,2
340,CT90,2
338,CT58,2
337,CT2,2
336,CT1,2
334,CSRP2BP,2
332,CSN1,2
321,CRN,2
331,CSL,2
330,CSE,2
329,CSB,2
327,CS-2,2
326,CS-1,2
324,CRT2,2
323,CRT,2
294,CNA2,2
292,CMT2,2
344,CV2,2
291,CMPD2,2
263,CIA,2
262,CHS1,2
261,CHP,2
260,CHN,2
259,CHK,2
258,CHIF,2
257,CHED,2
255,CHD5,2
254,CHAMP,2
253,CGRP,2
252,CGI-141,2
250,CFP1,2
249,CFD1,2
248,CFAG,2
247,CEP4,2
246,CEP2,2
245,CEP1,2
264,CIB,2
266,CIP1,2
267,CIR,2
281,CLF,2
290,CMG1,2
289,CLU1,2
288,CLPSMCR,2
286,CLMF,2
285,CLM,2
283,CLIM1,2
282,CLG,2
280,CLECSF13,2
270,CKR-1,2
279,CLDN21,2
278,CLC2,2
277,CLAN,2
276,CLAMP,2
275,CLA20,2
274,CLA1,2
271,CKS1,2
343,CTR1,2
345,CX30.2,2
238,CDK4I,2
406,DOC-1,2
435,EDG2,2
434,EDG1,2
433,EDG-2,2
427,E4,2
423,DXS648E,2
421,DUSP24,2
420,DUP,2
419,DTR,2
418,DTD,2
417,DSK2,2
416,DRS1,2
414,DRP-1,2
413,DRP,2
412,DPPIV,2
411,DPK,2
410,DP3,2
409,DP2,2
436,EDHB17,2
437,EEF1AL,2
438,EEG1,2
456,ER,2
470,ETK,2
469,EST,2
468,ESP1,2
466,ESG1,2
464,ESA1,2
462,ES31,2
459,ERK,2
455,EPR-1,2
439,EHK1,2
454,EPO,2
452,EOS,2
451,EMT,2
450,EMC19,2
448,EMA,2
446,EL32,2
444,EIF4A,2
407,DOC1,2
402,DNM1DN14@,2
346,CXORF2,2
400,DNF15S2,2
372,DCR2,2
371,DC7,2
370,DBS,2
369,DBP,2
368,DBC1,2
366,DAP4,2
365,DAP,2
363,DAGK6,2
362,DAGK,2
359,D6S230E,2
358,D3F15S2,2
356,CYPL1,2
355,CYPD,2
353,CYP2C,2
350,CYP11B,2
349,CYP1,2
348,CYK4,2
373,DD3,2
374,DEC1,2
377,DELTA,2
389,DJ760C5.1,2
399,DNAJ,2
398,DMT1,2
397,DMC,2
394,DLC2,2
393,DLC1,2
392,DKFZP547P234,2
391,DKFZP434B204,2
387,DIP2,2
378,DFNA2,2
386,DIP1,2
385,DIP,2
384,DIFF6,2
383,DIA1,2
382,DIA,2
380,DFNB6,2
379,DFNA3,2
239,CDM,2
237,CDK11-P58,2
958,NBC3,2
65,ANCR,2
89,ARG,2
85,APS,2
84,APRO5,2
83,APRIL,2
82,APR,2
81,API5L1,2
80,APH2,2
78,APC7,2
77,APC4,2
76,APC2,2
74,AP47B,2
73,AP3AASE,2
72,AP2,2
70,AOH1,2
69,ANK,2
68,ANG3,2
67,ANG2,2
90,ARH2,2
91,ARIP1,2
92,ARK,2
109,ASH1,2
119,ATP6C,2
118,ATP5A,2
117,ATDC,2
116,AT3,2
115,AT2,2
113,AST,2
110,ASH2,2
108,ASF,2
95,ARP10,2
107,ASC2,2
106,ASC-1,2
105,ASB,2
104,ASAP,2
102,ARP8,2
101,ARP6,2
99,ARP4,2
66,ANG1,2
63,AMY2,2
122,ATPM,2
60,AM,2
27,ACSM2,2
26,ACS3,2
25,ACS2,2
24,ACS,2
22,ACC2,2
20,ACBP,2
19,ACAT,2
17,AC1,2
16,AC079630.2,2
15,AC008392.1,2
14,ABP1,2
13,ABP-280,2
12,ABP,2
10,ABC1,2
9,AAC1,2
3,9G8,2
2,87U6,2
29,ACTL6,2
30,ACVRLK4,2
31,AD026,2
49,ALC1,2
59,ALX,2
58,ALS,2
56,ALP1,2
53,ALIEN,2
52,ALDRP,2
51,ALDH7,2
50,ALDH4,2
48,AK3L1,2
32,AD1,2
45,AIBP,2
42,AGS3,2
41,AGS1,2
37,AG2,2
35,AE2,2
34,ADA1,2
33,AD3,2
120,ATP6D,2
124,ATR1,2
236,CDK11-P46,2
177,C18ORF2,2
207,CARP2,2
205,CARMEN,2
204,CARF,2
203,CARDINAL,2
202,CARD2,2
201,CAR1,2
199,CAPS1,2
198,CAP3,2
197,CAP2,2
194,CAMKIINALPHA,2
193,CALM,2
192,CAL,2
188,CAF-1,2
183,C5A,2
182,C53,2
181,C4BP,2
180,C2TA,2
208,CART1,2
209,CAS,2
210,CAS1,2
227,CD3G,2
235,CDK11-P110,2
234,CDH7,2
233,CDH14,2
232,CDC25,2
231,CDC2,2
230,CDC14B2,2
229,CD98,2
226,CD32,2
212,CAST,2
225,CD25,2
221,CD,2
220,CCRL1,2
219,CCP1,2
218,CCBP2,2
216,CBL-3,2
215,CBBM,2
178,C1QTNF15,2
176,C17ORF1,2
126,AUTL1,2
175,C17,2
148,BCD1,2
147,BCAP,2
146,BBP,2
145,BB2,2
142,BART,2
140,BAP1,2
139,BAF190,2
138,BA548K23.1,2
136,B7-H5,2
135,B3GNT1,2
134,B3GN-T1,2
132,B29,2
131,B18,2
130,B17,2
129,B12,2
128,B1,2
127,AZ1,2
150,BDP,2
151,BEC1,2
152,BEDP,2
166,BUB1A,2
174,C12ORF2,2
173,C11ORF5,2
172,C11ORF48,2
171,C11ORF4,2
170,C11ORF3,2
169,C11ORF2,2
168,C11,2
164,BTF4,2
153,BETA-4,2
162,BRX,2
161,BRWD2,2
160,BRCC2,2
159,BRCC1,2
158,BOR,2
156,BMD,2
154,BETA2,2
471,ETL1,2
472,EVR1,2
473,EWSR2,2
775,L11,2
803,LFA-1,2
800,LD,2
799,LCA10,2
797,LAT1,2
796,LAS1,2
795,LAP2,2
792,LAMP,2
791,LAM,2
790,LAK,2
789,LAGE2A,2
787,LACS2,2
783,L5,2
782,L30,2
781,L2,2
779,L15,2
778,L13A,2
777,L13,2
804,LGCR,2
805,LGL1,2
806,LGS,2
818,LRH-1,2
828,MAD,2
827,MAC-1,2
826,M130,2
824,M-ABC1,2
823,LYP,2
821,LSH,2
820,LRP9,2
817,LRF,2
1,60B8AG,2
816,LPP1,2
815,LPAP,2
814,LOR,2
813,LNP,2
811,LMNL1,2
810,LIP2,2
809,LIP1,2
776,L12,2
774,KSR,2
830,MAD2,2
773,KSP37,2
744,K-REV,2
743,JTK5,2
742,JP2,2
741,JP1,2
740,JDP1,2
739,J2,2
738,J1,2
737,ISWI,2
736,ISO1,2
735,IRAP,2
734,IPOB,2
732,INT6,2
729,INT2,2
728,INT1,2
727,INOS,2
725,IMP3,2
724,IMP2,2
746,K13,2
747,KAL,2
748,KAP,2
760,KIAA0700,2
772,KS1,2
770,KOX31,2
768,KNTC2AP,2
767,KNTC1AP,2
766,KLIP1,2
762,KIAA1426,2
761,KIAA0705,2
758,KIAA0351,2
749,KAP-1,2
757,KIAA0266,2
756,KIAA0229,2
755,KIAA0172,2
754,KGA,2
753,KDAP,2
752,KAT4,2
751,KAT3,2
829,MAD1,2
831,MADA,2
475,F5F8D,2
892,MK3,2
921,MRP7,2
917,MRP-L32,2
916,MRP-L15,2
914,MRLC2,2
913,MRK,2
912,MRG2,2
908,MPP6,2
907,MP44,2
906,MP1,2
905,MOX2,2
903,MOP3,2
902,MOP,2
900,MNAB,2
899,MN,2
896,MLL4,2
895,MLL2,2
894,MLCK,2
923,MS4A4,2
925,MSH,2
926,MSK16,2
945,MUM1,2
957,NAT5,2
956,NAT3,2
955,NAT1,2
950,NAC1,2
949,NAC,2
948,NABC1,2
946,MUM2,2
943,MU2,2
928,MSS1,2
941,MTTF1,2
940,MTS1,2
938,MTR1,2
934,MT2,2
933,MT1K,2
931,MT-A70,2
929,MSS4,2
893,ML-1,2
891,MK,2
832,MADH6,2
890,MIZ,2
853,MCP,2
852,MCH2,2
851,MCDR2,2
850,MCD,2
849,MCAF,2
848,MBP-1,2
847,MBP,2
846,MB1,2
844,MAST,2
843,MASK,2
842,MASA,2
840,MART1,2
838,MAL,2
837,MAK3,2
835,MAGE1,2
834,MADM,2
833,MADH7,2
854,MCS,2
858,MCT3,2
859,MCT4,2
876,MIA1,2
885,MIO,2
883,MINK,2
882,MINERVA,2
881,MIFR,2
879,MIF,2
878,MIC10,2
877,MIC1,2
875,MGF,2
860,MCT5,2
873,MGC45441,2
871,MGC15397,2
870,METTL2,2
864,MDR1,2
863,MDC,2
862,MCT7,2
861,MCT6,2
723,IMP1,2
721,IL27,2
720,IL1RA,2
536,GALNT15,2
566,GLUR7,2
564,GLP1,2
563,GLP-1,2
560,GIP,2
557,GID2,2
556,GGTA1P,2
555,GGT,2
554,GF1,2
552,GDN,2
550,GDA,2
549,GCS,2
547,GCP,2
546,GCN5,2
545,GCL,2
544,GCD10,2
543,GCAP,2
539,GASP,2
568,GLUT8,2
570,GLYT1,2
571,GLYT2,2
582,GPD,2
589,GRTH,2
588,GRP,2
587,GRIP1,2
586,GRINL1A,2
585,GRF2,2
584,GPXL2,2
583,GPRK7,2
581,GPCR,2
572,GM2AP,2
580,GP40,2
579,GP39,2
577,GP135,2
576,GP130,2
575,GP110,2
574,GOT1,2
573,GNT1,2
537,GARP,2
535,GALNAC-T5L,2
718,IL-25,2
534,GALNAC-T10,2
499,FDH,2
498,FCT3A,2
496,FCGR2,2
494,FCG2,2
492,FBS1,2
491,FBS,2
489,FBL7,2
487,FBL5,2
486,FBL4,2
485,FBL3,2
484,FBL2,2
483,FAT,2
482,FAST,2
481,FANCD,2
479,FAF,2
478,FAD1,2
476,FACD,2
500,FE,2
502,FHC,2
503,FIG,2
516,FRA,2
