primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
ASTN1,HGNC:773,ENSG00000152092,GENE ID:460,ASTN1
SERPINC1,HGNC:775,ENSG00000117601,GENE ID:462,SERPINC1
ZFHX3,HGNC:777,ENSG00000140836,GENE ID:463,ZFHX3
ATF1,HGNC:783,ENSG00000123268,GENE ID:466,ATF1
ATF3,HGNC:785,ENSG00000162772,GENE ID:467,ATF3
ATF4,HGNC:786,ENSG00000128272,GENE ID:468,ATF4
ATF4P1,HGNC:789,,GENE ID:469,ATF4P1
ATIC,HGNC:794,ENSG00000138363,GENE ID:471,ATIC
ATM,HGNC:795,ENSG00000149311,GENE ID:472,ATM
RERE,HGNC:9965,ENSG00000142599,GENE ID:473,RERE
ATOH1,HGNC:797,ENSG00000172238,GENE ID:474,ATOH1
ATOX1,HGNC:798,ENSG00000177556,GENE ID:475,ATOX1
ATP1A1,HGNC:799,ENSG00000163399,GENE ID:476,ATP1A1
ATP1A2,HGNC:800,ENSG00000018625,GENE ID:477,ATP1A2
ATP1A3,HGNC:801,ENSG00000105409,GENE ID:478,ATP1A3
ATP12A,HGNC:13816,ENSG00000075673,GENE ID:479,ATP12A
ATP1A4,HGNC:14073,ENSG00000132681,GENE ID:480,ATP1A4
ATP1B1,HGNC:804,ENSG00000143153,GENE ID:481,ATP1B1
ATP1B2,HGNC:805,ENSG00000129244,GENE ID:482,ATP1B2
ATP1B3,HGNC:806,ENSG00000069849,GENE ID:483,ATP1B3
ATP1B3P1,HGNC:807,,GENE ID:484,ATP1B3P1
ATP1B1P1,HGNC:809,,GENE ID:485,ATP1B1P1
FXYD2,HGNC:4026,ENSG00000137731,GENE ID:486,FXYD2
ATP2A1,HGNC:811,ENSG00000196296,GENE ID:487,ATP2A1
ATP2A2,HGNC:812,ENSG00000174437,GENE ID:488,ATP2A2
ATP2A3,HGNC:813,ENSG00000074370,GENE ID:489,ATP2A3
ATP2B1,HGNC:814,ENSG00000070961,GENE ID:490,ATP2B1
ATP2B2,HGNC:815,ENSG00000157087,GENE ID:491,ATP2B2
