,HGNC_ID,gene_symbol,alias_symbol,NCBI_ID,ENSG_ID
20379,HGNC:22999,TMC5,FLJ13593,GENE ID:79838,ENSG00000103534
20380,HGNC:23,ABAT,GABAT,GENE ID:18,ENSG00000183044
20381,HGNC:23,ABAT,GABA-T,GENE ID:18,ENSG00000183044
20382,HGNC:2300,CPB2,CPU,GENE ID:1361,ENSG00000080618
20383,HGNC:2300,CPB2,PCPB,GENE ID:1361,ENSG00000080618
20384,HGNC:2300,CPB2,TAFI,GENE ID:1361,ENSG00000080618
20385,HGNC:23000,TMC7,FLJ21240,GENE ID:79905,ENSG00000170537
20386,HGNC:2301,CPD,GP180,GENE ID:1362,ENSG00000108582
20387,HGNC:23014,CYB561A3,LCYTB,GENE ID:220002,ENSG00000162144
20388,HGNC:23015,FAM20A,DKFZp434F2322,GENE ID:54757,ENSG00000108950
20389,HGNC:23017,FAM20B,KIAA0475,GENE ID:9917,ENSG00000116199
20390,HGNC:23017,FAM20B,GXK1,GENE ID:9917,ENSG00000116199
20391,HGNC:23018,TMEM270,MGC26719,GENE ID:135886,ENSG00000175877
20392,HGNC:23019,ZRSR2,U2AF1-RS2,GENE ID:8233,ENSG00000169249
20393,HGNC:23019,ZRSR2,URP,GENE ID:8233,ENSG00000169249
20394,HGNC:23019,ZRSR2,ZC3H22,GENE ID:8233,ENSG00000169249
20395,HGNC:23020,U2AF1L4,MGC33901,GENE ID:199746,ENSG00000161265
20396,HGNC:23020,U2AF1L4,U2af26,GENE ID:199746,ENSG00000161265
20397,HGNC:23022,ZNF280B,5'OY11.1,GENE ID:140883,ENSG00000275004
20398,HGNC:23022,ZNF280B,ZNF632,GENE ID:140883,ENSG00000275004
20399,HGNC:23023,SAMD4A,KIAA1053,GENE ID:23034,ENSG00000020577
20400,HGNC:23023,SAMD4A,DKFZP434H0350,GENE ID:23034,ENSG00000020577
20401,HGNC:23023,SAMD4A,Smaug,GENE ID:23034,ENSG00000020577
20402,HGNC:23023,SAMD4A,SMG,GENE ID:23034,ENSG00000020577
20403,HGNC:23023,SAMD4A,SMGA,GENE ID:23034,ENSG00000020577
20404,HGNC:23023,SAMD4A,hSmaug1,GENE ID:23034,ENSG00000020577
20405,HGNC:23024,COMMD1,MURR1,GENE ID:150684,ENSG00000173163
20406,HGNC:23024,COMMD1,MGC27155,GENE ID:150684,ENSG00000173163
20407,HGNC:23025,KLF14,BTEB5,GENE ID:136259,ENSG00000266265
20408,HGNC:23026,GNPTG,CAB56184,GENE ID:84572,ENSG00000090581
20409,HGNC:23026,GNPTG,c316G12.3,GENE ID:84572,ENSG00000090581
20410,HGNC:23027,VTRNA3-1P,vtRNA3P,GENE ID:100144435,ENSG00000199422
20411,HGNC:23027,VTRNA3-1P,hvg-4,GENE ID:100144435,ENSG00000199422
20412,HGNC:23027,VTRNA3-1P,HVG4,GENE ID:100144435,ENSG00000199422
20413,HGNC:23028,DPEP2,,GENE ID:64174,ENSG00000167261
20414,HGNC:23029,DPEP3,,GENE ID:64180,ENSG00000141096
20415,HGNC:2303,CPE,,GENE ID:1363,ENSG00000109472
20416,HGNC:23030,CDYL2,FLJ38866,GENE ID:124359,ENSG00000166446
20417,HGNC:23031,SNORD62B,U62,GENE ID:692093,ENSG00000231587
20418,HGNC:23031,SNORD62B,U62B,GENE ID:692093,ENSG00000231587
20419,HGNC:23032,MED30,TRAP25,GENE ID:90390,ENSG00000164758
20420,HGNC:23034,CNKSR3,FLJ31349,GENE ID:154043,ENSG00000153721
20421,HGNC:23035,L3MBTL3,KIAA1798,GENE ID:84456,ENSG00000198945
20422,HGNC:23037,HMSD,ACC-6,GENE ID:284293,ENSG00000221887
20423,HGNC:23037,HMSD,ACC6,GENE ID:284293,ENSG00000221887
20424,HGNC:23038,LMBRD1,FLJ11240,GENE ID:55788,ENSG00000168216
20425,HGNC:23038,LMBRD1,bA810I22.1,GENE ID:55788,ENSG00000168216
20426,HGNC:23038,LMBRD1,cblF,GENE ID:55788,ENSG00000168216
20427,HGNC:23039,UFL1,NLBP,GENE ID:23376,ENSG00000014123
20428,HGNC:23039,UFL1,Maxer,GENE ID:23376,ENSG00000014123
20429,HGNC:23039,UFL1,RCAD,GENE ID:23376,ENSG00000014123
20430,HGNC:23040,BEND3,,GENE ID:57673,ENSG00000178409
20431,HGNC:23041,PDSS2,bA59I9.3,GENE ID:57107,ENSG00000164494
20432,HGNC:23041,PDSS2,COQ1B,GENE ID:57107,ENSG00000164494
20433,HGNC:23044,NANOS1,NOS1,GENE ID:340719,ENSG00000188613
20434,HGNC:23044,NANOS1,ZC2HC12A,GENE ID:340719,ENSG00000188613
20435,HGNC:23045,ARMC2,DKFZp434P0714,GENE ID:84071,ENSG00000118690
20436,HGNC:23045,ARMC2,bA787I22.1,GENE ID:84071,ENSG00000118690
20437,HGNC:23046,CLVS2,bA160A10.4,GENE ID:134829,ENSG00000146352
20438,HGNC:23049,TM7SF3,,GENE ID:51768,ENSG00000064115
20439,HGNC:23051,YWHAH-AS1,HSN44A4A,GENE ID:25775,ENSG00000128254
20440,HGNC:23052,ARL5B,,GENE ID:221079,ENSG00000165997
20441,HGNC:23053,RTN4RL2,NgR2,GENE ID:349667,ENSG00000186907
20442,HGNC:23053,RTN4RL2,NGRH1,GENE ID:349667,ENSG00000186907
20443,HGNC:23056,ALG3,NOT56L,GENE ID:10195,ENSG00000214160
20444,HGNC:23056,ALG3,Not56,GENE ID:10195,ENSG00000214160
20445,HGNC:23056,ALG3,CDGS4,GENE ID:10195,ENSG00000214160
20446,HGNC:23056,ALG3,D16Ertd36e,GENE ID:10195,ENSG00000214160
20447,HGNC:23057,BRK1,MDS027,GENE ID:55845,ENSG00000254999
20448,HGNC:23057,BRK1,HSPC300,GENE ID:55845,ENSG00000254999
20449,HGNC:23059,BCAN,BEHAB,GENE ID:63827,ENSG00000132692
20450,HGNC:23059,BCAN,MGC13038,GENE ID:63827,ENSG00000132692
20451,HGNC:23059,BCAN,CSPG7,GENE ID:63827,ENSG00000132692
20452,HGNC:23060,SESN3,SEST3,GENE ID:143686,ENSG00000149212
20453,HGNC:23060,SESN3,MGC29667,GENE ID:143686,ENSG00000149212
20454,HGNC:23061,UPP2,UPASE2,GENE ID:151531,ENSG00000007001
20455,HGNC:23061,UPP2,UP2,GENE ID:151531,ENSG00000007001
20456,HGNC:23061,UPP2,UDRPASE2,GENE ID:151531,ENSG00000007001
20457,HGNC:23062,XKR7,dJ310O13.4,GENE ID:343702,ENSG00000260903
20458,HGNC:23063,NUDT15,MTH2,GENE ID:55270,ENSG00000136159
20459,HGNC:23063,NUDT15,FLJ10956,GENE ID:55270,ENSG00000136159
20460,HGNC:23064,GSTO2,,GENE ID:119391,ENSG00000065621
20461,HGNC:23065,GSTO3P,,GENE ID:344813,ENSG00000232829
20462,HGNC:23066,TRAPPC6B,,GENE ID:122553,ENSG00000182400
20463,HGNC:23067,TRAPPC5,MGC52424,GENE ID:126003,ENSG00000181029
20464,HGNC:23067,TRAPPC5,TRS31,GENE ID:126003,ENSG00000181029
20465,HGNC:23068,TRAPPC2,TRS20,GENE ID:6399,ENSG00000196459
20466,HGNC:23068,TRAPPC2,SEDT,GENE ID:6399,ENSG00000196459
20467,HGNC:23068,TRAPPC2,MIP-2A,GENE ID:6399,ENSG00000196459
20468,HGNC:23068,TRAPPC2,ZNF547L,GENE ID:6399,ENSG00000196459
20469,HGNC:23068,TRAPPC2,hYP38334,GENE ID:6399,ENSG00000196459
20470,HGNC:23069,TRAPPC6A,TRS33,GENE ID:79090,ENSG00000007255
20471,HGNC:23069,TRAPPC6A,MGC2650,GENE ID:79090,ENSG00000007255
20472,HGNC:23069,TRAPPC6A,HSPC289,GENE ID:79090,ENSG00000007255
20473,HGNC:23074,MED29,DKFZp434H247,GENE ID:55588,ENSG00000063322
20474,HGNC:23074,MED29,MED2,GENE ID:55588,ENSG00000063322
20475,HGNC:23075,OSGEPL1,Qri7,GENE ID:64172,ENSG00000128694
20476,HGNC:23075,OSGEPL1,OSGEPL,GENE ID:64172,ENSG00000128694
20477,HGNC:23077,OTUB1,FLJ20113,GENE ID:55611,ENSG00000167770
20478,HGNC:23077,OTUB1,FLJ40710,GENE ID:55611,ENSG00000167770
20479,HGNC:23078,NRIP2,DKFZP761G1913,GENE ID:83714,ENSG00000053702
20480,HGNC:23079,LGMNP1,,GENE ID:122199,ENSG00000214269
20481,HGNC:23080,OVCH1,OVCH,GENE ID:341350,ENSG00000187950
20482,HGNC:23081,RHBDD1,DKFZp547E052,GENE ID:84236,ENSG00000144468
20483,HGNC:23081,RHBDD1,RHBDL4,GENE ID:84236,ENSG00000144468
20484,HGNC:23082,RHBDD2,NPD007,GENE ID:57414,ENSG00000005486
20485,HGNC:23085,ARHGAP33,FLJ39019,GENE ID:115703,ENSG00000004777
20486,HGNC:23085,ARHGAP33,TCGAP,GENE ID:115703,ENSG00000004777
20487,HGNC:23086,USP51,,GENE ID:158880,ENSG00000247746
20488,HGNC:23087,SLC43A2,MGC34680,GENE ID:124935,ENSG00000167703
20489,HGNC:23088,SLC10A7,MGC25043,GENE ID:84068,ENSG00000120519
20490,HGNC:23088,SLC10A7,DKFZp566M114,GENE ID:84068,ENSG00000120519
20491,HGNC:23088,SLC10A7,DKFZp313H0531,GENE ID:84068,ENSG00000120519
20492,HGNC:23088,SLC10A7,DKFZp779O2438,GENE ID:84068,ENSG00000120519
20493,HGNC:23089,SLC13A5,NACT,GENE ID:284111,ENSG00000141485
20494,HGNC:23089,SLC13A5,INDY,GENE ID:284111,ENSG00000141485
20495,HGNC:23089,SLC13A5,mINDY,GENE ID:284111,ENSG00000141485
20496,HGNC:2309,CPLX1,CPX-I,GENE ID:10815,ENSG00000168993
20497,HGNC:23090,SLC15A4,PHT1,GENE ID:121260,ENSG00000139370
20498,HGNC:23090,SLC15A4,PTR4,GENE ID:121260,ENSG00000139370
20499,HGNC:23091,SLC5A11,KST1,GENE ID:115584,ENSG00000158865
20500,HGNC:23091,SLC5A11,SMIT2,GENE ID:115584,ENSG00000158865
20501,HGNC:23091,SLC5A11,SGLT6,GENE ID:115584,ENSG00000158865
20502,HGNC:23092,SLC7A13,AGT-1,GENE ID:157724,ENSG00000164893
20503,HGNC:23092,SLC7A13,XAT2,GENE ID:157724,ENSG00000164893
