,primary_gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,NCBI_ID
11106,CBFA2T2,ZMYND3,{'HGNC:1536'},{'ENSG00000078699'},{'GENE ID:9139'}
11107,CBFA2T2,p85,{'HGNC:1536'},{'ENSG00000078699'},{'GENE ID:9139'}
11108,CBFA2T3,ETO2,{'HGNC:1537'},{'ENSG00000129993'},{'GENE ID:863'}
11109,CBFA2T3,MTG16,{'HGNC:1537'},{'ENSG00000129993'},{'GENE ID:863'}
11110,CBFA2T3,MTGR2,{'HGNC:1537'},{'ENSG00000129993'},{'GENE ID:863'}
11111,CBFA2T3,RUNX1T3,{'HGNC:1537'},{'ENSG00000129993'},{'GENE ID:863'}
11112,CBFA2T3,ZMYND4,{'HGNC:1537'},{'ENSG00000129993'},{'GENE ID:863'}
11113,CBFB,CLCD2,{'HGNC:1539'},{'ENSG00000067955'},{'GENE ID:865'}
11114,CBFB,PEBP2B,{'HGNC:1539'},{'ENSG00000067955'},{'GENE ID:865'}
11115,CBL,C-CBL,{'HGNC:1541'},{'ENSG00000110395'},{'GENE ID:867'}
11116,CBL,CBL2,{'HGNC:1541'},{'ENSG00000110395'},{'GENE ID:867'}
11117,CBL,FRA11B,{'HGNC:1541'},{'ENSG00000110395'},{'GENE ID:867'}
11118,CBL,NSLL,{'HGNC:1541'},{'ENSG00000110395'},{'GENE ID:867'}
11119,CBL,RNF55,{'HGNC:1541'},{'ENSG00000110395'},{'GENE ID:867'}
11120,CBL,c-Cbl,{'HGNC:1541'},{'ENSG00000110395'},{'GENE ID:867'}
11121,CBLB,ADMIO3,{'HGNC:1542'},{'ENSG00000114423'},{'GENE ID:868'}
11122,CBLB,CBL-B,{'HGNC:1542'},{'ENSG00000114423'},{'GENE ID:868'}
11123,CBLB,Cbl-b,{'HGNC:1542'},{'ENSG00000114423'},{'GENE ID:868'}
11124,CBLB,Nbla00127,{'HGNC:1542'},{'ENSG00000114423'},{'GENE ID:868'}
11125,CBLB,RNF56,{'HGNC:1542'},{'ENSG00000114423'},{'GENE ID:868'}
11126,CBLC,CBL-3,{'HGNC:15961'},{'ENSG00000142273'},{'GENE ID:23624'}
11127,CBLC,CBL-SL,{'HGNC:15961'},{'ENSG00000142273'},{'GENE ID:23624'}
11128,CBLC,RNF57,{'HGNC:15961'},{'ENSG00000142273'},{'GENE ID:23624'}
11129,CBLIF,GIF,{'HGNC:4268'},{'ENSG00000134812'},{'GENE ID:2694'}
11130,CBLIF,IF,{'HGNC:4268'},{'ENSG00000134812'},{'GENE ID:2694'}
11131,CBLIF,IFMH,{'HGNC:4268'},{'ENSG00000134812'},{'GENE ID:2694'}
