,ENSG_ID,NCBI_ID,HGNC_ID,alias_symbol,gene_symbol
108635,ENSG00000115523,10578,4414,NKG5,GNLY
108636,ENSG00000115523,10578,4414,TLA519,GNLY
108641,ENSG00000181214,26492,8485,HSTPCR120,OR8G2P
108642,ENSG00000181214,26492,8485,OR8G2,OR8G2P
108643,ENSG00000181214,26492,8485,OR8G4,OR8G2P
108644,ENSG00000181214,26492,8485,ORL206,OR8G2P
108645,ENSG00000181214,26492,8485,ORL486,OR8G2P
108646,ENSG00000181214,26492,8485,TPCR120,OR8G2P
108647,ENSG00000184599,284467,21590,FAM19A3,TAFA3
108648,ENSG00000184599,284467,21590,TAFA-3,TAFA3
108652,ENSG00000269793,,51304,ZIM2AS,ZIM2-AS1
108654,ENSG00000207971,406911,31506,HSA-MIR-125B-1,MIR125B1
108655,ENSG00000207971,406911,31506,MIRN125B1,MIR125B1
108656,ENSG00000259571,414899,33495,BRCC2,BLID
108661,ENSG00000198975,406882,31477,HSA-LET-7A-2,MIRLET7A2
108662,ENSG00000198975,406882,31477,MIRNLET7A2,MIRLET7A2
108663,ENSG00000207994,406892,31487,HSA-MIR-100,MIR100
108664,ENSG00000207994,406892,31487,MIRN100,MIR100
108667,ENSG00000126746,171017,11955,CAGH1A,ZNF384
108668,ENSG00000126746,171017,11955,CIZ,ZNF384
108669,ENSG00000126746,171017,11955,NMP4,ZNF384
108670,ENSG00000126746,171017,11955,NP,ZNF384
108671,ENSG00000126746,171017,11955,TNRC1,ZNF384
108672,ENSG00000127903,90485,34332,BC37295_3,ZNF835
108678,ENSG00000155363,4343,7200,FSAP113,MOV10
108679,ENSG00000155363,4343,7200,GB110,MOV10
108680,ENSG00000155363,4343,7200,MGC2948,MOV10
108681,ENSG00000198221,26238,21236,AFDN-AS1,AFDN-DT
108682,ENSG00000198221,26238,21236,C6ORF124,AFDN-DT
108683,ENSG00000198221,26238,21236,DJ431P23.3,AFDN-DT
108684,ENSG00000198221,26238,21236,HGC6.4,AFDN-DT
108685,ENSG00000198221,26238,21236,MLLT4-AS1,AFDN-DT
108686,ENSG00000198221,26238,21236,XBP1SBM,AFDN-DT
108697,ENSG00000108669,9267,9501,B2-1,CYTH1
108698,ENSG00000108669,9267,9501,CYTOHESIN-1,CYTH1
108699,ENSG00000108669,9267,9501,D17S811E,CYTH1
108700,ENSG00000108669,9267,9501,PSCD1,CYTH1
108706,ENSG00000169507,151258,26836,AVT2,SLC38A11
108707,ENSG00000169507,151258,26836,FLJ39822,SLC38A11
108709,ENSG00000236708,105375132,40883,AC073316.3,SDK1-AS1
108712,ENSG00000268895,503538,37133,A1BG-AS,A1BG-AS1
108713,ENSG00000268895,503538,37133,A1BGAS,A1BG-AS1
108714,ENSG00000268895,503538,37133,FLJ23569,A1BG-AS1
108715,ENSG00000268895,503538,37133,NCRNA00181,A1BG-AS1
108729,ENSG00000152292,284948,30439,FLJ35993,SH2D6
108730,ENSG00000152292,284948,30439,SLNK,SH2D6
108737,ENSG00000167766,55769,13158,FLJ11015,ZNF83
108738,ENSG00000167766,55769,13158,HPF1,ZNF83
108739,ENSG00000167766,55769,13158,ZNF816B,ZNF83
108757,ENSG00000108946,5573,9388,CNC1,PRKAR1A
108758,ENSG00000108946,5573,9388,PKR1,PRKAR1A
108759,ENSG00000108946,5573,9388,PRKAR1,PRKAR1A
108760,ENSG00000108946,5573,9388,PRKAR1ALPHA,PRKAR1A
108761,ENSG00000108946,5573,9388,TSE1,PRKAR1A
108766,ENSG00000269021,,15613,SIGLECP8,SIGLEC24P
108770,ENSG00000132002,3337,5270,HSP40,DNAJB1
