primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
FBXW10,HGNC:1211,ENSG00000171931,GENE ID:10517,C17ORF1A
FBXW10,HGNC:1211,ENSG00000171931,GENE ID:10517,FBW10
FBXW10,HGNC:1211,ENSG00000171931,GENE ID:10517,HREP
FBXW10,HGNC:1211,ENSG00000171931,GENE ID:10517,SM2SH2
MIR8065,HGNC:49959,ENSG00000273648,GENE ID:102465867,HSA-MIR-8065
EGLN1P1,HGNC:44481,ENSG00000291628,,
WDR73,HGNC:25928,ENSG00000291629,GENE ID:84942,FLJ14888
WDR73,HGNC:25928,ENSG00000291629,GENE ID:84942,HSPC264
RNU7-99P,HGNC:45633,ENSG00000252080,,
RNU6-457P,HGNC:47420,ENSG00000200869,,
RNU6-328P,HGNC:47291,ENSG00000212189,,
ARHGAP24,HGNC:25361,ENSG00000138639,GENE ID:83478,DKFZP564B1162
ARHGAP24,HGNC:25361,ENSG00000138639,GENE ID:83478,FILGAP
ARHGAP24,HGNC:25361,ENSG00000138639,GENE ID:83478,FLJ33877
GZMA,HGNC:4708,ENSG00000145649,GENE ID:3001,CTLA3
GZMA,HGNC:4708,ENSG00000145649,GENE ID:3001,HFSP
CYP2B6,HGNC:2615,ENSG00000197408,GENE ID:1555,CPB6
CYP2B6,HGNC:2615,ENSG00000197408,GENE ID:1555,CYP2B
CYP2B6,HGNC:2615,ENSG00000197408,GENE ID:1555,CYPIIB6
Metazoa_SRP,,ENSG00000291630,,
NMB,HGNC:7842,ENSG00000291631,GENE ID:4828,MGC17211
NMB,HGNC:7842,ENSG00000291631,GENE ID:4828,MGC2277
NMB,HGNC:7842,ENSG00000291631,GENE ID:4828,MGC3936
MT4,HGNC:18705,ENSG00000102891,GENE ID:84560,MTIV
UBE2Q2P16,HGNC:44656,ENSG00000291633,,UBE2Q2L
TMCC1P1,HGNC:31901,ENSG00000253318,,TMCC1P
GOLGA2P7,HGNC:49516,ENSG00000291635,,
DNM1P51,HGNC:48500,ENSG00000291636,,
GOLGA6L5P,HGNC:30472,ENSG00000291637,GENE ID:100133220,FLJ35171
GOLGA6L5P,HGNC:30472,ENSG00000291637,GENE ID:100133220,FLJ40113
GOLGA6L5P,HGNC:30472,ENSG00000291637,GENE ID:100133220,GOLGA6L5
GOLGA6L5P,HGNC:30472,ENSG00000291637,GENE ID:100133220,GOLGA6L8
CABLES1,HGNC:25097,ENSG00000134508,GENE ID:91768,FLJ35924
CABLES1,HGNC:25097,ENSG00000134508,GENE ID:91768,HST2563
UBE2Q2P1,HGNC:37439,ENSG00000291638,,FLJ43276
UBE2Q2P1,HGNC:37439,ENSG00000291638,,UBE2QP1
LINC00933,HGNC:48625,ENSG00000291639,,
EFL1P1,HGNC:31739,ENSG00000291640,,EFTUD1P1
EFL1P1,HGNC:31739,ENSG00000291640,,FAM42B
EFL1P1,HGNC:31739,ENSG00000291640,,HST19321
MT2A,HGNC:7406,ENSG00000125148,GENE ID:4502,MT2
SLA,HGNC:10902,ENSG00000155926,GENE ID:6503,HSLAP
