,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
2115,TRAPPC1,"BET5,MUM2",ENSG00000170043,19894.0,58485.0,MUM2,ENSG
2116,ZMYM3,"DXS6673E,KIAA0385,MYM,ZNF198L2,ZNF261",ENSG00000147130,13054.0,9203.0,MYM,ENSG
2117,ZMYM5,"MYM,ZNF198L1,ZNF237",ENSG00000132950,13029.0,9205.0,MYM,ENSG
2118,ZMYM4,"KIAA0425,MYM,ZNF198L3,ZNF262",ENSG00000146463,13055.0,9202.0,MYM,ENSG
2119,ZMYM2,"FIM,MYM,RAMP,ZNF198",ENSG00000121741,12989.0,7750.0,MYM,ENSG
2120,ZMYM1,"FLJ23151,MYM",ENSG00000197056,26253.0,79830.0,MYM,ENSG
2121,ZMYM6,"BUSTER2,KIAA1353,MYM,ZBED7,ZNF198L4,ZNF258",ENSG00000163867,13050.0,9204.0,MYM,ENSG
2122,SLC4A11,"BTR1,CDPD1,CHED2,DJ794I6.2,FECD4,NABC1",ENSG00000088836,16438.0,83959.0,NABC1,ENSG
2123,BCAS1,"AIBC1,NABC1,PMES-2",ENSG00000064787,974.0,8537.0,NABC1,ENSG
2124,NLRP1,"CARD7,CLR17.1,DEFCAP,DKFZP586O1822,KIAA0926,NAC,NALP1,SLEV1,VAMAS1",ENSG00000091592,14374.0,22861.0,NAC,ENSG
2125,XK,"KX,,NAC,X1K,XKR1",ENSG00000047597,12811.0,7504.0,NAC,ENSG
2126,NACC1,"BEND8,BTBD14B,BTBD30,NAC-1,NAC1",ENSG00000160877,20967.0,112939.0,NAC1,ENSG
2127,SCN1A,"FEB3,GEFSP2,HBSCI,NAC1,NAV1.1,SCN1,SMEI",ENSG00000144285,10585.0,6323.0,NAC1,ENSG
2128,NAGLU,NAG,ENSG00000108784,7632.0,4669.0,NAG,ENSG
2129,NBAS,NAG,ENSG00000151779,15625.0,51594.0,NAG,ENSG
2130,SCN7A,"NAG,NAV2.1,NAV2.2,SCN6A",ENSG00000136546,10594.0,6332.0,NAG,ENSG
2131,NAPSA,"KAP,KDAP,NAP1,NAPA",ENSG00000131400,13395.0,9476.0,NAP1,ENSG
2132,NAP1L1,"MGC23410,MGC8688,NAP1,NAP1L,NRP",ENSG00000187109,7637.0,4673.0,NAP1,ENSG
2133,CXCL8,"3-10C,AMCF-I,B-ENAP,GCP-1,GCP1,IL-8,IL8,K60,LECT,LUCT,LYNAP,MDNCF,MONAP,NAF,NAP-1,NAP1,SCYB8,TSG-1",ENSG00000169429,6025.0,3576.0,NAP1,ENSG
2134,ACOT8,"HACTE-III,HTE,NAP1,PTE-2,PTE1",ENSG00000101473,15919.0,10005.0,NAP1,ENSG
2135,AZI2,"AZ2,FLJ21939,NAP1",ENSG00000163512,24002.0,64343.0,NAP1,ENSG
2136,NCKAP1,"HEM2,NAP1,NAP125",ENSG00000061676,7666.0,10787.0,NAP1,ENSG
2137,NAP1L1,"MGC23410,MGC8688,NAP1,NAP1L,NRP",ENSG00000187109,7637.0,4673.0,NAP1L,ENSG
2138,NAPSB,"NAP1L,NAP2,NAPB,NAPSBP",ENSG00000131401,13396.0,,NAP1L,ENSG
2139,NAP1L4,NAP2,ENSG00000273562,7640.0,4676.0,NAP2,ENSG
2140,NAPSB,"NAP1L,NAP2,NAPB,NAPSBP",ENSG00000131401,13396.0,,NAP2,ENSG
2141,SLC6A2,"NAT1,NET,NET1,SLC6A5",ENSG00000103546,11048.0,6530.0,NAT1,ENSG
2142,EIF4G2,"DAP5,NAT1,P97",ENSG00000110321,3297.0,1982.0,NAT1,ENSG
2143,SLC38A4,"ATA3,NAT3,PAAT,SNAT4",ENSG00000139209,14679.0,55089.0,NAT3,ENSG
2144,NAA20,"DJ1002M8.1,NAT3,NAT5",ENSG00000173418,15908.0,51126.0,NAT3,ENSG
2145,NAA20,"DJ1002M8.1,NAT3,NAT5",ENSG00000173418,15908.0,51126.0,NAT5,ENSG
2146,NAA50,"FLJ13194,MAK3,NAT13,NAT5,SAN",ENSG00000121579,29533.0,80218.0,NAT5,ENSG
2147,SLC4A7,"NBC3,SBC2,SLC4A6",ENSG00000033867,11033.0,9497.0,NBC3,ENSG
2148,SLC4A8,NBC3,ENSG00000050438,11034.0,9498.0,NBC3,ENSG
2149,TP63,"EEC3,KET,NBP,OFC8,P40,P51,P53CP,P63,P73H,P73L,SHFM4,TP53CP,TP53L,TP73L",ENSG00000073282,15979.0,8626.0,NBP,ENSG
2150,COASY,"DPCK,NBP,PPAT",ENSG00000068120,29932.0,80347.0,NBP,ENSG
2151,ARHGEF16,"GEF16,NBR",ENSG00000130762,15515.0,27237.0,NBR,ENSG
2152,EXD3,"FLJ20433,LOC54932,MUT-7,NBR",ENSG00000187609,26023.0,54932.0,NBR,ENSG
2153,NLRP2,"CLR19.9,FLJ20510,NALP2,NBS1,PAN1,PYPAF2",ENSG00000274638,22948.0,55655.0,NBS1,ENSG
2154,NBN,"AT-V1,AT-V2,ATV,NBS,NBS1",ENSG00000104320,7652.0,4683.0,NBS1,ENSG
2155,MT-ND1,"MTND1,NAD1,ND1",ENSG00000198888,7455.0,4535.0,ND1,ENSG
2156,IVNS1ABP,"ARA3,HSPC068,KIAA0850,KLHL39,ND1,NS-1,NS1-BP",ENSG00000116679,16951.0,10625.0,ND1,ENSG
2157,STK38,"NDR,NDR1",ENSG00000112079,17847.0,11329.0,NDR,ENSG
2158,HEMGN,"CT155,EDAG,NDR",ENSG00000136929,17509.0,55363.0,NDR,ENSG
2159,NDRG1,"CAP43,DRG1,NDR1,RTP,TDD5",ENSG00000104419,7679.0,10397.0,NDR1,ENSG
2160,STK38,"NDR,NDR1",ENSG00000112079,17847.0,11329.0,NDR1,ENSG
2161,MME,"CALLA,CD10,NEP",ENSG00000196549,7154.0,4311.0,NEP,ENSG
2162,DDR1,"CAK,CD167,EDDR1,NEP,NTRK4,PTK3A,RTK6",ENSG00000229767,2730.0,780.0,NEP,ENSG
2163,SLC6A2,"NAT1,NET,NET1,SLC6A5",ENSG00000103546,11048.0,6530.0,NET,ENSG
2164,ELK3,"ERP,NET,SAP2",ENSG00000111145,3325.0,2004.0,NET,ENSG
2165,SLC6A2,"NAT1,NET,NET1,SLC6A5",ENSG00000103546,11048.0,6530.0,NET1,ENSG
2166,SLC6A5,"GLYT-2,GLYT2,NET1",ENSG00000165970,11051.0,9152.0,NET1,ENSG
2167,NTN1,"NET1,NTN1L",ENSG00000065320,8029.0,9423.0,NET1,ENSG
2168,PRPF38B,"FLJ10330,NET1",ENSG00000134186,25512.0,55119.0,NET1,ENSG
2169,NEU1,NEU,ENSG00000204386,7758.0,4758.0,NEU,ENSG
2170,ERBB2,"C-ERB-2,C-ERB2,CD340,HER-2,HER2,MLN-19,NEU,NGL,P185(ERBB2)",ENSG00000141736,3430.0,2064.0,NEU,ENSG
2171,OPN5,"DJ402H5.1,NEUROPSIN,TMEM13",ENSG00000124818,19992.0,221391.0,NEUROPSIN,ENSG
2172,KLK8,"HNP,NEUROPSIN,OVASIN,PRSS19,TADG14",ENSG00000129455,6369.0,11202.0,NEUROPSIN,ENSG
