,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
165,ANGPTL2,"ARP2,HARP",ENSG00000136859,490,23452.0,ARP2,HGNC
166,APOBEC3A,"ARP3,PHRBN",ENSG00000128383,17343,200315.0,ARP3,HGNC
167,ACTR3,ARP3,ENSG00000115091,170,10096.0,ARP3,HGNC
168,ANGPTL4,"pp1158,PGAR,ARP4,HFARP,FIAF,NL2",ENSG00000167772,16039,51129.0,ARP4,HGNC
169,ACTL6A,"Actl6,BAF53A,Arp4,Baf53a,INO80K,SMARCN1",ENSG00000136518,24124,86.0,ARP4,HGNC
170,ANGPTL6,"ARP5,AGF",ENSG00000130812,23140,83854.0,ARP5,HGNC
171,APOBEC3C,"APOBEC1L,PBI,bK150C2.3,ARDC2,ARDC4,ARP5",ENSG00000244509,17353,27350.0,ARP5,HGNC
172,ACTR5,"FLJ12785,Arp5,INO80M",ENSG00000101442,14671,79913.0,ARP5,HGNC
173,APOBEC3D,"ARP6,APOBEC3DE",ENSG00000243811,17354,140564.0,ARP6,HGNC
174,ACTR6,"ARP6,FLJ13433",ENSG00000075089,24025,64431.0,ARP6,HGNC
175,ACTR8,"INO80N,ARP8",ENSG00000113812,14672,93973.0,ARP8,HGNC
176,APOBEC3F,"ARP8,BK150C2.4.MRNA,KA6",ENSG00000128394,17356,200316.0,ARP8,HGNC
177,SLURP1,"ARS,ANUP,MDM,ArsB,LY6LS,LY6-MT",ENSG00000126233,18746,57152.0,ARS,HGNC
178,RIEG2,ARS,,10015,,ARS,HGNC
179,LINC00467,"MGC14801,ASAP",ENSG00000153363,28227,84791.0,ASAP,HGNC
180,MAP9,"ASAP,FLJ21159",ENSG00000164114,26118,79884.0,ASAP,HGNC
181,SLC7A10,asc-1,ENSG00000130876,11058,56301.0,ASC-1,HGNC
182,TRIP4,"HsT17391,ZC2HC5,ASC-1",ENSG00000103671,12310,9325.0,ASC-1,HGNC
183,NCOA6,"KIAA0181,RAP250,ASC2,AIB3,PRIP,TRBP,NRC",ENSG00000198646,15936,23054.0,ASC2,HGNC
184,PYDC1,"ASC2,POP1",ENSG00000169900,30261,260434.0,ASC2,HGNC
185,ARSF,ASF,ENSG00000062096,721,416.0,ASF,HGNC
186,SRSF1,"ASF,SF2,SRp30a,SF2p33,MGC5228",ENSG00000136450,10780,6426.0,ASF,HGNC
187,ASCL1,"ASH1,HASH1,bHLHa46",ENSG00000139352,738,429.0,ASH1,HGNC
188,ASH1L,"huASH1,ASH1,ASH1L1,KMT2H",ENSG00000116539,19088,55870.0,ASH1,HGNC
189,ASCL2,"ASH2,HASH2,bHLHa45",ENSG00000183734,739,430.0,ASH2,HGNC
190,ASH2L,"ASH2L2,ASH2,Bre2",ENSG00000129691,744,9070.0,ASH2,HGNC
191,SMPD1,ASM,ENSG00000166311,11120,6609.0,ASM,HGNC
