HGNC_ID,primary_gene_symbol,alias_symbol,NCBI_ID,ENSG_ID
HGNC:1022,BCYRN1,NCRNA00004,GENE ID:618,ENSG00000236824
HGNC:1022,BCYRN1,LINC00004,GENE ID:618,ENSG00000236824
HGNC:10220,SNORD63,U63,GENE ID:26785,ENSG00000206989
HGNC:10220,SNORD63,SNORD63A,GENE ID:26785,ENSG00000206989
HGNC:10221,SNORA64,U64,GENE ID:26784,ENSG00000207405
HGNC:10222,SNORA65,U65,GENE ID:26783,ENSG00000201302
HGNC:10223,SNORA66,U66,GENE ID:26782,ENSG00000207523
HGNC:10224,SNORA67,U67,GENE ID:26781,ENSG00000277985
HGNC:10225,SNORA68,U68,GENE ID:26780,ENSG00000207166
HGNC:10225,SNORA68,SNORA68A,GENE ID:26780,ENSG00000207166
HGNC:10226,SNORA69,U69,GENE ID:26779,ENSG00000206622
HGNC:10227,RNU6-1,U6,GENE ID:26827,ENSG00000206625
HGNC:10227,RNU6-1,U6-1,GENE ID:26827,ENSG00000206625
HGNC:10228,RNU6-6P,U6-6,GENE ID:26826,ENSG00000272055
HGNC:10229,RNU6-50P,U6,GENE ID:26825,ENSG00000199226
HGNC:1023,BCYRN1P1,BC200b,GENE ID:619,
HGNC:10230,RNU6V,87U6,GENE ID:6071,ENSG00000206832
HGNC:10230,RNU6V,LH87,GENE ID:6071,ENSG00000206832
HGNC:10231,SNORA70,U70,GENE ID:26778,ENSG00000207165
HGNC:10231,SNORA70,DXS648E,GENE ID:26778,ENSG00000207165
HGNC:10232,SNORA71A,U71a,GENE ID:26777,ENSG00000225091
HGNC:10233,SNORA71B,U71b,GENE ID:26776,ENSG00000235408
HGNC:10234,SNORA72,U72,GENE ID:26775,ENSG00000207067
HGNC:10235,SNORD73A,U73a,GENE ID:8944,ENSG00000208797
HGNC:10235,SNORD73A,RNU73A,GENE ID:8944,ENSG00000208797
HGNC:10236,RNU7-68P,HSU7.732A,GENE ID:6072,
HGNC:10236,RNU7-68P,U7.68,GENE ID:6072,
HGNC:10237,RNU7-86P,HSU7.7/32B,GENE ID:6073,
HGNC:10239,RNU7-55P,HSU7.36,GENE ID:6075,ENSG00000239078
HGNC:10239,RNU7-55P,U7.55,GENE ID:6075,ENSG00000239078
HGNC:1024,BCYRN1P2,BC200g,GENE ID:620,
HGNC:10240,SNORD82,Z25,GENE ID:25826,ENSG00000202400
HGNC:10240,SNORD82,U82,GENE ID:25826,ENSG00000202400
HGNC:10241,PHAX,FLJ13193,GENE ID:51808,ENSG00000164902
HGNC:10242,RNY1,hY1,GENE ID:6084,ENSG00000201098
HGNC:10243,RNY3,hY3,GENE ID:6085,ENSG00000202354
HGNC:10244,RNY4,hY4,GENE ID:6086,ENSG00000252316
HGNC:10245,RNY4P1,hY4.B8,GENE ID:6087,
HGNC:10246,RNY4P2,hY4.B7,GENE ID:6088,
HGNC:10247,RNY4P3,hY4.F2,GENE ID:6089,ENSG00000202124
HGNC:10248,RNY5,hY5,GENE ID:6090,
HGNC:10249,ROBO1,DUTT1,GENE ID:6091,ENSG00000169855
HGNC:10249,ROBO1,FLJ21882,GENE ID:6091,ENSG00000169855
HGNC:10249,ROBO1,SAX3,GENE ID:6091,ENSG00000169855
HGNC:10250,ROBO2,KIAA1568,GENE ID:6092,ENSG00000185008
HGNC:10251,ROCK1,p160ROCK,GENE ID:6093,ENSG00000067900
HGNC:10252,ROCK2,,GENE ID:9475,ENSG00000134318
HGNC:10253,PTBP3,DKFZp781I1117,GENE ID:9991,ENSG00000119314
HGNC:10254,ROM1,TSPAN23,GENE ID:6094,ENSG00000149489
HGNC:10254,ROM1,ROM,GENE ID:6094,ENSG00000149489
HGNC:10256,ROR1,,GENE ID:4919,ENSG00000185483
HGNC:10257,ROR2,,GENE ID:4920,ENSG00000169071
HGNC:10258,RORA,RZRA,GENE ID:6095,ENSG00000069667
HGNC:10258,RORA,ROR1,GENE ID:6095,ENSG00000069667
HGNC:10258,RORA,ROR2,GENE ID:6095,ENSG00000069667
HGNC:10258,RORA,ROR3,GENE ID:6095,ENSG00000069667
HGNC:10258,RORA,NR1F1,GENE ID:6095,ENSG00000069667
