,primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
73902,MRPL20,HGNC:14478,ENSG00000242485,GENE ID:55052,FLJ10024
73903,MRPL20,HGNC:14478,ENSG00000242485,GENE ID:55052,bL20m
73904,MRPL21,HGNC:14479,ENSG00000197345,GENE ID:219927,bL21m
73905,CALM2P3,HGNC:1448,ENSG00000215482,GENE ID:807,
73906,MRPL22,HGNC:14480,ENSG00000082515,GENE ID:29093,MRP-L25
73907,MRPL22,HGNC:14480,ENSG00000082515,GENE ID:29093,RPML25
73908,MRPL22,HGNC:14480,ENSG00000082515,GENE ID:29093,HSPC158
73909,MRPL22,HGNC:14480,ENSG00000082515,GENE ID:29093,uL22m
73910,MRPL27,HGNC:14483,ENSG00000108826,GENE ID:51264,bL27m
73911,MRPL28,HGNC:14484,ENSG00000086504,GENE ID:10573,p15
73912,MRPL28,HGNC:14484,ENSG00000086504,GENE ID:10573,bL28m
73913,MRPL33,HGNC:14487,ENSG00000243147,GENE ID:9553,RPL33L
73914,MRPL33,HGNC:14487,ENSG00000243147,GENE ID:9553,bL33m
73915,MRPL34,HGNC:14488,ENSG00000130312,GENE ID:64981,L34mt
73916,MRPL34,HGNC:14488,ENSG00000130312,GENE ID:64981,MGC2633
73917,MRPL34,HGNC:14488,ENSG00000130312,GENE ID:64981,MGC24974
73918,MRPL34,HGNC:14488,ENSG00000130312,GENE ID:64981,bL34m
73919,MRPL35,HGNC:14489,ENSG00000132313,GENE ID:51318,bL35m
73920,CALM3,HGNC:1449,ENSG00000160014,GENE ID:808,PHKD
73921,CALM3,HGNC:1449,ENSG00000160014,GENE ID:808,PHKD3
73922,MRPL36,HGNC:14490,ENSG00000171421,GENE ID:64979,RPMJ
73923,MRPL36,HGNC:14490,ENSG00000171421,GENE ID:64979,L36mt
73924,MRPL36,HGNC:14490,ENSG00000171421,GENE ID:64979,PRPL36
73925,MRPL36,HGNC:14490,ENSG00000171421,GENE ID:64979,MRP-L36
73926,MRPL36,HGNC:14490,ENSG00000171421,GENE ID:64979,bL36m
73927,MRPL40,HGNC:14491,ENSG00000185608,GENE ID:64976,MRP-L22
73928,MRPL40,HGNC:14491,ENSG00000185608,GENE ID:64976,mL40
73929,MRPL41,HGNC:14492,ENSG00000182154,GENE ID:64975,MRP-L27
73930,MRPL41,HGNC:14492,ENSG00000182154,GENE ID:64975,RPML27
73931,MRPL41,HGNC:14492,ENSG00000182154,GENE ID:64975,BMRP
73932,MRPL41,HGNC:14492,ENSG00000182154,GENE ID:64975,PIG3
73933,MRPL41,HGNC:14492,ENSG00000182154,GENE ID:64975,MRPL27
73934,MRPL41,HGNC:14492,ENSG00000182154,GENE ID:64975,mL41
73935,MRPL42,HGNC:14493,ENSG00000198015,GENE ID:28977,MRPS32
73936,MRPL42,HGNC:14493,ENSG00000198015,GENE ID:28977,MRP-L31
73937,MRPL42,HGNC:14493,ENSG00000198015,GENE ID:28977,RPML31
73938,MRPL42,HGNC:14493,ENSG00000198015,GENE ID:28977,PTD007
73939,MRPL42,HGNC:14493,ENSG00000198015,GENE ID:28977,HSPC204
73940,MRPL42,HGNC:14493,ENSG00000198015,GENE ID:28977,MRPL31
73941,MRPL42,HGNC:14493,ENSG00000198015,GENE ID:28977,mL42
73942,MRPS2,HGNC:14495,ENSG00000122140,GENE ID:51116,CGI-91
73943,MRPS2,HGNC:14495,ENSG00000122140,GENE ID:51116,uS2m
73944,IMP3,HGNC:14497,ENSG00000177971,GENE ID:55272,FLJ10968
73945,IMP3,HGNC:14497,ENSG00000177971,GENE ID:55272,BRMS2
73946,MRPS5,HGNC:14498,ENSG00000144029,GENE ID:64969,MRP-S5
73947,MRPS5,HGNC:14498,ENSG00000144029,GENE ID:64969,S5mt
73948,MRPS5,HGNC:14498,ENSG00000144029,GENE ID:64969,uS5m
73949,MRPS7,HGNC:14499,ENSG00000125445,GENE ID:51081,MRP-S
73950,MRPS7,HGNC:14499,ENSG00000125445,GENE ID:51081,RP-S7
73951,MRPS7,HGNC:14499,ENSG00000125445,GENE ID:51081,RPMS7
73952,MRPS7,HGNC:14499,ENSG00000125445,GENE ID:51081,uS7m
73953,ACTG2,HGNC:145,ENSG00000163017,GENE ID:72,ACTSG
73954,MRPS9,HGNC:14501,ENSG00000135972,GENE ID:64965,RPMS9
73955,MRPS9,HGNC:14501,ENSG00000135972,GENE ID:64965,MRP-S9
73956,MRPS9,HGNC:14501,ENSG00000135972,GENE ID:64965,S9mt
73957,MRPS9,HGNC:14501,ENSG00000135972,GENE ID:64965,uS9m
73958,MRPS10,HGNC:14502,ENSG00000048544,GENE ID:55173,FLJ10567
73959,MRPS10,HGNC:14502,ENSG00000048544,GENE ID:55173,uS10m
73960,MRPS15,HGNC:14504,ENSG00000116898,GENE ID:64960,FLJ11564
73961,MRPS15,HGNC:14504,ENSG00000116898,GENE ID:64960,uS15m
73962,MRPS22,HGNC:14508,ENSG00000175110,GENE ID:56945,MRP-S22
73963,MRPS22,HGNC:14508,ENSG00000175110,GENE ID:56945,GK002
73964,MRPS22,HGNC:14508,ENSG00000175110,GENE ID:56945,C3orf5
73965,MRPS22,HGNC:14508,ENSG00000175110,GENE ID:56945,GIBT
73966,MRPS22,HGNC:14508,ENSG00000175110,GENE ID:56945,mS22
73967,MRPS23,HGNC:14509,ENSG00000181610,GENE ID:51649,MRP-S23
73968,MRPS23,HGNC:14509,ENSG00000181610,GENE ID:51649,CGI-138
73969,MRPS23,HGNC:14509,ENSG00000181610,GENE ID:51649,HSPC329
73970,MRPS23,HGNC:14509,ENSG00000181610,GENE ID:51649,mS23
73971,MRPS24,HGNC:14510,ENSG00000062582,GENE ID:64951,MRP-S24
73972,MRPS24,HGNC:14510,ENSG00000062582,GENE ID:64951,HSPC335
73973,MRPS25,HGNC:14511,ENSG00000131368,GENE ID:64432,MRP-S25
73974,MRPS25,HGNC:14511,ENSG00000131368,GENE ID:64432,FLJ00023
73975,MRPS25,HGNC:14511,ENSG00000131368,GENE ID:64432,DKFZp313H0817
73976,MRPS25,HGNC:14511,ENSG00000131368,GENE ID:64432,RPMS25
73977,MRPS25,HGNC:14511,ENSG00000131368,GENE ID:64432,mS25
73978,MRPS27,HGNC:14512,ENSG00000113048,GENE ID:23107,KIAA0264
73979,MRPS27,HGNC:14512,ENSG00000113048,GENE ID:23107,mS27
73980,MRPS28,HGNC:14513,ENSG00000147586,GENE ID:28957,MRP-S28
73981,MRPS28,HGNC:14513,ENSG00000147586,GENE ID:28957,HSPC007
73982,MRPS28,HGNC:14513,ENSG00000147586,GENE ID:28957,MRPS35
73983,MRPL57,HGNC:14514,ENSG00000173141,GENE ID:78988,mL63
73984,MRPS18A,HGNC:14515,ENSG00000096080,GENE ID:55168,FLJ10548
73985,MRPS18A,HGNC:14515,ENSG00000096080,GENE ID:55168,MRPS18-3
