HGNC_ID,primary_gene_symbol,collision,source,NCBI_ID,ENSG_ID,alias_symbol
HGNC:24121,MRO,B29,HGNC,GENE ID:83876,ENSG00000134042,"B29,FLJ30140"
HGNC:3033,ATN1,B37,HGNC,GENE ID:1822,ENSG00000111676,B37
HGNC:1305,EPCIP,B37,HGNC,GENE ID:56245,ENSG00000205929,"B37,CU062,PRED81"
HGNC:15685,B4GAT1,B3GN-T1,HGNC,GENE ID:11041,ENSG00000174684,"B3GN-T1,BETA3GNTI,IGnT,iGAT"
HGNC:15629,B3GNT2,B3GN-T1,HGNC,GENE ID:10678,ENSG00000170340,"B3GN-T1,B3GN-T2,B3GNT-2,BETA3GNT"
HGNC:4905,HHLA2,B7-H5,HGNC,GENE ID:11148,ENSG00000114455,"B7-H5,B7-H7,B7H7,B7y"
HGNC:30085,VSIR,B7-H5,HGNC,GENE ID:64115,ENSG00000107738,"B7-H5,B7H5,Dies1,GI24,PD-1H,SISP1,VISTA"
HGNC:7686,NDUFA3,B9,HGNC,GENE ID:4696,ENSG00000170906,B9
HGNC:24123,B9D1,B9,HGNC,GENE ID:27077,ENSG00000108641,"B9,EPPB9,MKS9,MKSR-1"
HGNC:11100,SMARCA4,BAF190,HGNC,GENE ID:6597,ENSG00000127616,"BAF190,BRG1,FLJ39786,SNF2,SNF2-BETA,SNF2LB,SWI2,hSNF2b"
