gene_symbol,alias_symbol,ENSG_ID,collision,source
TRIP4,"ASC-1,HsT17391,ZC2HC5",ENSG00000103671,ASC-1,HGNC
SLC7A10,asc-1,ENSG00000130876,ASC-1,HGNC
NCOA6,"AIB3,ASC2,KIAA0181,NRC,PRIP,RAP250,TRBP",ENSG00000198646,ASC2,HGNC
PYDC1,"ASC2,POP1",ENSG00000169900,ASC2,HGNC
ARSF,ASF,ENSG00000062096,ASF,HGNC
SRSF1,"ASF,MGC5228,SF2,SF2p33,SRp30a",ENSG00000136450,ASF,HGNC
ASH1L,"ASH1,ASH1L1,KMT2H,huASH1",ENSG00000116539,ASH1,HGNC
ASCL1,"ASH1,HASH1,bHLHa46",ENSG00000139352,ASH1,HGNC
ASCL2,"ASH2,HASH2,bHLHa45",ENSG00000183734,ASH2,HGNC
ASH2L,"ASH2,ASH2L2,Bre2",ENSG00000129691,ASH2,HGNC
SMPD1,ASM,ENSG00000166311,ASM,HGNC
H19,"ASM,ASM1,D11S813E,GMRSP,LINC00008,MIR675HG,NCRNA00008",ENSG00000130600,ASM,HGNC
ASIP,ASP,ENSG00000101440,ASP,HGNC
ASPA,"ACY2,ASP",ENSG00000108381,ASP,HGNC
ATG5,"APG5,ASP,hAPG5",ENSG00000057663,ASP,HGNC
ASPM,"ASP,Calmbp1,FLJ10517,FLJ10549",ENSG00000066279,ASP,HGNC
A1CF,"ACF,ACF64,ACF65,APOBEC1CF,ASP",ENSG00000148584,ASP,HGNC
TMPRSS11D,"ASP,HAT",ENSG00000153802,ASP,HGNC
ROPN1L,"ASP,FLJ25776,RP11-1C1.7,RSPH11,TCONS_00009352",ENSG00000145491,ASP,HGNC
GOT1,"AST,AST1,SGOT",ENSG00000120053,AST,HGNC
SLC17A5,"AST,ISSD,NSD,SD,SIALIN,SLD",ENSG00000119899,AST,HGNC
SLC33A1,"AT-1,AT1",ENSG00000169359,AT1,HGNC
PGR-AS1,"AT1,AT2,AT3",ENSG00000282728,AT1,HGNC
AGTR1,"AG2S,AGTR1A,AT1,AT1B,AT2R1,AT2R1A,AT2R1B,ATR1,HAT1R",ENSG00000144891,AT1,HGNC
PGR-AS1,"AT1,AT2,AT3",ENSG00000282728,AT2,HGNC
AGTR2,"AT2,MRX88",ENSG00000180772,AT2,HGNC
ANTXR1,"ATR,FLJ10601,FLJ21776,TEM8",ENSG00000169604,ATR,HGNC
SERPINA2,"ARGS,ATR",ENSG00000258597,ATR,HGNC
AGTR1,"AG2S,AGTR1A,AT1,AT1B,AT2R1,AT2R1A,AT2R1B,ATR1,HAT1R",ENSG00000144891,ATR1,HGNC
SLC3A1,"ATR1,CSNU1,D2H,NBAT,RBAT",ENSG00000138079,ATR1,HGNC
ENPP2,"ATX,PD-IALPHA",ENSG00000136960,ATX,HGNC
DMBX1,"Atx,MBX,PAXB",ENSG00000197587,ATX,HGNC
SMG1,"ATX,KIAA0421,LIP",ENSG00000157106,ATX,HGNC
CEP131,"AZ1,KIAA1118",ENSG00000141577,AZ1,HGNC
OAZ1,"AZ1,AZI,MGC138338",ENSG00000104904,AZ1,HGNC
BBS9,"B1,PTHB1",ENSG00000122507,B1,HGNC
MS4A1,"B1,Bp35,FMC7",ENSG00000156738,B1,HGNC
NDUFB3,B12,ENSG00000119013,B12,HGNC
TNFAIP1,"B12,B61,BTBD34,MGC2317",ENSG00000109079,B12,HGNC
NDUFB6,"B17,CI",ENSG00000165264,B17,HGNC
DONSON,"B17,C2TA,DKFZP434M035",ENSG00000159147,B17,HGNC
NDUFB7,"B18,CI-B18,MGC2480",ENSG00000099795,B18,HGNC
EVA1C,"B18,B19,PRED34",ENSG00000166979,B18,HGNC
CD79B,"B29,Ig-beta,Igbeta",ENSG00000007312,B29,HGNC
MRO,"B29,FLJ30140",ENSG00000134042,B29,HGNC
ATN1,B37,ENSG00000111676,B37,HGNC
EPCIP,"B37,CU062,PRED81",ENSG00000205929,B37,HGNC
B3GNT2,"B3GN-T1,B3GN-T2,B3GNT-2,BETA3GNT",ENSG00000170340,B3GN-T1,HGNC
B4GAT1,"B3GN-T1,BETA3GNTI,IGnT,iGAT",ENSG00000174684,B3GN-T1,HGNC
HHLA2,"B7-H5,B7-H7,B7H7,B7y",ENSG00000114455,B7-H5,HGNC
VSIR,"B7-H5,B7H5,Dies1,GI24,PD-1H,SISP1,VISTA",ENSG00000107738,B7-H5,HGNC
NDUFA3,B9,ENSG00000170906,B9,HGNC
B9D1,"B9,EPPB9,MKS9,MKSR-1",ENSG00000108641,B9,HGNC
C10orf62,bA548K23.1,ENSG00000203942,BA548K23.1,HGNC
AGAP13P,bA548K23.1,ENSG00000243289,BA548K23.1,HGNC
SMARCA2,"BAF190,BRM,SNF2,SNF2LA,SWI2,Sth1p,hBRM,hSNF2a",ENSG00000080503,BAF190,HGNC
SMARCA4,"BAF190,BRG1,FLJ39786,SNF2,SNF2-BETA,SNF2LB,SWI2,hSNF2b",ENSG00000127616,BAF190,HGNC
ACTL6A,"Actl6,Arp4,BAF53A,Baf53a,INO80K,SMARCN1",ENSG00000136518,BAF53A,HGNC
ACTL6A,"Actl6,Arp4,BAF53A,Baf53a,INO80K,SMARCN1",ENSG00000136518,BAF53A,HGNC
MAGI1,"AIP3,BAP1,MAGI-1,TNRC19,WWP3",ENSG00000151276,BAP1,HGNC
RNF2,"BAP-1,BAP1,DING,HIPI3,RING1B,RING2",ENSG00000121481,BAP1,HGNC
ADRB2,"ADRBR,ARB2,B2AR,BAR",ENSG00000169252,BAR,HGNC
BFAR,"BAR,RNF47",ENSG00000103429,BAR,HGNC
BSND,BART,ENSG00000162399,BART,HGNC
ARL2BP,"BART,BART1",ENSG00000102931,BART,HGNC
NMBR,"BB1,BB1R,BRS1",ENSG00000135577,BB1,HGNC
MBOAT7,"BB1,LPIAT1,LPLAT,LPLAT11,hMBOA-7",ENSG00000125505,BB1,HGNC
ICAM1,"BB2,CD54",ENSG00000090339,BB2,HGNC
GRPR,"BB2,BB2R,BRS2",ENSG00000126010,BB2,HGNC
SF1,"BBP,ZCCHC25,ZFM1",ENSG00000168066,BBP,HGNC
TM2D1,BBP,ENSG00000162604,BBP,HGNC
PIK3AP1,"BCAP,FLJ35564",ENSG00000155629,BCAP,HGNC
PHF11,"BCAP,IGER,NY-REN-34",ENSG00000136147,BCAP,HGNC
SMN1,"BCD541,GEMIN1,SMA1,SMA2,SMA3,SMNT,TDRD16A",ENSG00000172062,BCD541,HGNC
SMN2,"BCD541,GEMIN1,SMNC,TDRD16B",ENSG00000205571,BCD541,HGNC
PPM1K,"BDP,DKFZp761G058,PP2Ckappa,PP2Cm,hPTMP",ENSG00000163644,BDP,HGNC
ARID3B,"BDP,DRIL2",ENSG00000179361,BDP,HGNC
KCNH3,"BEC1,Kv12.2,elk2",ENSG00000135519,BEC1,HGNC
CLDN5,"BEC1,CPETRL1",ENSG00000184113,BEC1,HGNC
APOBEC1,"APOBEC-1,BEDP,CDAR1,HEPR",ENSG00000111701,BEDP,HGNC
DUSP13A,"BEDP,MDSP",,BEDP,HGNC
TUBB3,"CFEOM3,CFEOM3A,beta-4",ENSG00000258947,BETA-4,HGNC
AP4B1,BETA-4,ENSG00000134262,BETA-4,HGNC
NEUROD1,"BETA2,BHF-1,MODY6,NeuroD,bHLHa3",ENSG00000162992,BETA2,HGNC
TUBB4B,Beta2,ENSG00000188229,BETA2,HGNC
KCNQ2,"BFNC,ENB1,HNSPC,KCNA11,Kv7.2",ENSG00000075043,BFNC,HGNC
CHRNA4,BFNC,ENSG00000101204,BFNC,HGNC
BEST1,"BEST,BMD,RP50",ENSG00000167995,BMD,HGNC
DMD,"BMD,DXS142,DXS164,DXS206,DXS230,DXS239,DXS268,DXS269,DXS270,DXS272",ENSG00000198947,BMD,HGNC
RTL10,"BOP,FLJ21125",ENSG00000215012,BOP,HGNC
OPN1SW,"BOP,CBT",ENSG00000128617,BOP,HGNC
SMYD1,"BOP,KMT3D,ZMYND22",ENSG00000115593,BOP,HGNC
ICE2,"BRCC1,FLJ11896",ENSG00000128915,BRCC1,HGNC
BRCA1,"BRCC1,FANCS,PPP1R53,RNF53",ENSG00000012048,BRCC1,HGNC
BRCA2,"BRCC2,FAD,FAD1,XRCC11",ENSG00000139618,BRCC2,HGNC
BLID,BRCC2,ENSG00000259571,BRCC2,HGNC
AKAP13,"AKAP-Lbc,ARHGEF13,BRX,HA-3,Ht31,PROTO-LB,c-lbc",ENSG00000170776,BRX,HGNC
CHIC1,BRX,ENSG00000204116,BRX,HGNC
GTF2H1,"BTF2,P62,TFIIH",ENSG00000110768,BTF2,HGNC
BTN2A2,"BT2.2,BTF2,BTN2.2",ENSG00000124508,BTF2,HGNC
GTF2H2,"BTF2,BTF2P44,T-BTF2P44,TFIIH,p44",ENSG00000145736,BTF2,HGNC
GTF2H3,"BTF2,P34,TFIIH",ENSG00000111358,BTF2,HGNC
ERCC3,"BTF2,RAD25,Ssl2,XPB",ENSG00000163161,BTF2,HGNC
GTF2F1,"BTF4,RAP74,TF2F1,TFIIF",ENSG00000125651,BTF4,HGNC
GTF2F2,"BTF4,RAP30,TFIIF",ENSG00000188342,BTF4,HGNC
BTN1A1,"BT,BTN1",ENSG00000124557,BTN1,HGNC
CLN3,"BTN1,JNCL,SLC29B1",ENSG00000188603,BTN1,HGNC
BUB1B,"BUBR1,Bub1A,MAD3L,SSK1",ENSG00000156970,BUB1A,HGNC
BUB1,"BUB1A,hBUB1",ENSG00000169679,BUB1A,HGNC
ARHGAP4,"C1,KIAA0131,RhoGAP4,SrGAP4,p115",ENSG00000089820,C1,HGNC
PFDN4,"C-1,C1,PFD4",ENSG00000101132,C1,HGNC
TRGC1,C1,ENSG00000211689,C1,HGNC
POLR3K,"C11,RPC11",ENSG00000161980,C11,HGNC
AKR1C4,"3-alpha-HSD,C11,CDR,DD4,HAKRA,MGC22581",ENSG00000198610,C11,HGNC
CRCP,"C17,CGRP-RCP,POLR3I,RCP,RCP9",ENSG00000241258,C17,HGNC
CYTL1,"C17,C4orf4",ENSG00000170891,C17,HGNC
