,collision,gene_symbol,ENSG_ID,source,gene_symbol_count
780,P14,"['LAMTOR2', ' H3P8', ' SUB1', ' SF3B6', ' CDK2AP2', ' CTNNBL1', ' CDKN2A', ' RPP14', ' S100A9']","ENSG00000116586, ENSG00000270915, ENSG00000113387, ENSG00000115128, ENSG00000167797, ENSG00000132792, ENSG00000147889, ENSG00000163684, ENSG00000163220",HGNC,9
3592,UGT1,"['UGT1A10', ' UGT1A6', ' SLC35A2', ' UGT1A7', ' UGT1A4', ' UGGT1', ' UGT1A', ' UGT1A1', ' UGT1A8']","ENSG00000242515, ENSG00000167165, ENSG00000102100, ENSG00000244122, ENSG00000244474, ENSG00000136731, nan, ENSG00000241635, ENSG00000242366",NCBI,9
2512,P55,"['PSMD12', ' PIK3R3', ' H3P44', ' FOS', ' ERG', ' TNFRSF1A', ' IL2RA', ' FSCN1']","ENSG00000197170, ENSG00000117461, nan, ENSG00000170345, ENSG00000157554, ENSG00000067182, ENSG00000134460, ENSG00000075618",NCBI,8
2786,PROTEASE,"['ERVK-10', ' ERVK-21', ' ERVK-19', ' ERVK-18', ' ERVK-25', ' ERVK-24', ' ERVK-9', ' ERVK-8']","nan, nan, nan, nan, nan, nan, nan, nan",NCBI,8
56,ACT,"['ACTG2', ' SERPINA3', ' ACTBL2', ' ACOT7', ' POTEKP', ' ACTG1', ' POTEM', ' FHL5']","ENSG00000163017, ENSG00000196136, ENSG00000169067, ENSG00000097021, nan, ENSG00000184009, ENSG00000222036, ENSG00000112214",NCBI,8
232,ASP,"['ATG5', ' A1CF', ' ROPN1L', ' ASIP', ' C3', ' ASPM', ' ASPA', ' TMPRSS11D']","ENSG00000057663, ENSG00000148584, ENSG00000145491, ENSG00000101440, ENSG00000125730, ENSG00000066279, ENSG00000108381, ENSG00000153802",NCBI,8
2787,PROTEINASE,"['ERVK-24', ' ERVK-10', ' ERVK-9', ' ERVK-19', ' ERVK-8', ' ERVK-18', ' ERVK-25', ' ERVK-21']","nan, nan, nan, nan, nan, nan, nan, nan",NCBI,8
1056,P18,"['ZNF197', ' MAFK', ' H3P12', ' TPPP2', ' ATRAID', ' CDKN2C', ' EEF1E1', ' LAMTOR1']","ENSG00000281709, ENSG00000198517, ENSG00000230618, ENSG00000179636, ENSG00000138085, ENSG00000123080, ENSG00000124802, ENSG00000149357",ENSG,8
2456,P14,"['SF3B6', ' SUB1', ' S100A9', ' RPP14', ' LAMTOR2', ' CDK2AP2', ' H3P8', ' CDKN2A']","ENSG00000115128, ENSG00000113387, ENSG00000163220, ENSG00000163684, ENSG00000116586, ENSG00000167797, nan, ENSG00000147889",NCBI,8
121,ALP,"['NAT10', ' PDLIM3', ' ATHS', ' ALPP', ' ASRGL1', ' SLPI', ' ATRNL1', ' CCL27']","ENSG00000135372, ENSG00000154553, nan, ENSG00000163283, ENSG00000162174, ENSG00000124107, ENSG00000107518, ENSG00000213927",NCBI,8
