,NCBI_ID,gene_symbol,alias_symbol,HGNC_ID,ENSG_ID
18575,147409,DSG4,HYPT6,21307,ENSG00000175065
18575,147409,DSG4,LAH,21307,ENSG00000175065
18576,147429,AQP4-AS1,C18ORF16,26399,ENSG00000260372
18576,147429,AQP4-AS1,CHST9-AS1,26399,ENSG00000260372
18579,147495,APCDD1,B7323,15718,ENSG00000154856
18579,147495,APCDD1,DRAPC1,15718,ENSG00000154856
18579,147495,APCDD1,FP7019,15718,ENSG00000154856
18579,147495,APCDD1,HHS,15718,ENSG00000154856
18579,147495,APCDD1,HTS,15718,ENSG00000154856
18579,147495,APCDD1,HYPT1,15718,ENSG00000154856
18580,147525,LINC00526,C18ORF18,28278,
18580,147525,LINC00526,HST959,28278,
18580,147525,LINC00526,TP53LC13,28278,
18583,147650,SPACA6,LET7EH,27113,ENSG00000182310
18583,147650,SPACA6,LINC00085,27113,ENSG00000182310
18583,147650,SPACA6,NCRNA00085,27113,ENSG00000182310
18583,147650,SPACA6,SPACA6P,27113,ENSG00000182310
18585,147658,ZNF534,KRBO3,26337,ENSG00000198633
18587,147664,ERVV-1,ENVV1,26501,ENSG00000269526
18587,147664,ERVV-1,HERV-V1,26501,ENSG00000269526
18590,147686,ZNF418,ZFP418,20647,ENSG00000196724
18594,147700,KLC3,KLC2,20717,ENSG00000104892
18594,147700,KLC3,KLC2L,20717,ENSG00000104892
18594,147700,KLC3,KLCT,20717,ENSG00000104892
18594,147700,KLC3,KNS2B,20717,ENSG00000104892
18596,147711,ZNF285BP,ZNF285B,33262,
18597,147719,LYPD4,SMR,28659,ENSG00000273111
18598,147727,ILF3-DT,ILF3-AS1,27115,ENSG00000267100
18600,147744,TMEM190,MDAC1,29632,ENSG00000160472
18607,147841,SPC24,SPBC24,26913,ENSG00000161888
18608,147872,KASH5,CCDC155,26520,ENSG00000161609
18608,147872,KASH5,POF22,26520,ENSG00000161609
18608,147872,KASH5,SPGF88,26520,ENSG00000161609
18609,147906,DACT3,DAPPER3,30745,ENSG00000197380
18609,147906,DACT3,RRR1,30745,ENSG00000197380
18610,147912,SIX5,BOR2,10891,ENSG00000177045
18610,147912,SIX5,DMAHP,10891,ENSG00000177045
18611,147920,IGFL2,UNQ645,32929,ENSG00000204866
18611,147920,IGFL2,VPRI645,32929,ENSG00000204866
18612,147923,ZNF420,APAK,20649,ENSG00000197050
18614,147945,NLRP4,CLR19.5,22943,ENSG00000160505
18614,147945,NLRP4,CT58,22943,ENSG00000160505
18614,147945,NLRP4,NALP4,22943,ENSG00000160505
18614,147945,NLRP4,PAN2,22943,ENSG00000160505
18614,147945,NLRP4,PYPAF4,22943,ENSG00000160505
18614,147945,NLRP4,RNH2,22943,ENSG00000160505
18615,147947,ZNF542P,ZNF542,25393,ENSG00000290720
18623,148022,TICAM1,IIAE6,18348,ENSG00000127666
18623,148022,TICAM1,MYD88-3,18348,ENSG00000127666
18623,148022,TICAM1,PRVTIRB,18348,ENSG00000127666
18623,148022,TICAM1,TICAM-1,18348,ENSG00000127666
18623,148022,TICAM1,TRIF,18348,ENSG00000127666
18624,148046,CIRBP-AS1,C19ORF23,28588,ENSG00000267493
18625,148066,ZNRF4,RNF204,17726,ENSG00000105428
18625,148066,ZNRF4,SPERIZIN,17726,ENSG00000105428
18625,148066,ZNRF4,SSRZF1,17726,ENSG00000105428
18625,148066,ZNRF4,SPZN,17726,ENSG00000105428
18627,148109,FAM187B,TMEM162,26366,ENSG00000177558
18628,148113,CILP2,CLIP-2,24213,ENSG00000160161
18629,148137,PROSER3,C19ORF55,25204,ENSG00000167595
18632,148170,CDC42EP5,BORG3,17408,ENSG00000167617
18632,148170,CDC42EP5,CEP5,17408,ENSG00000167617
18634,148198,ZNF98,F7175,13174,ENSG00000197360
18634,148198,ZNF98,ZNF739,13174,ENSG00000197360
18639,148229,ATP8B3,ATPIK,13535,ENSG00000130270
18641,148252,DIRAS1,DI-RAS1,19127,ENSG00000176490
18641,148252,DIRAS1,GBTS1,19127,ENSG00000176490
18641,148252,DIRAS1,RIG,19127,ENSG00000176490
18643,148266,ZNF569,ZAP1,24737,ENSG00000196437
18643,148266,ZNF569,ZNF,24737,ENSG00000196437
18643,148266,ZNF569,ZFP74,24737,ENSG00000196437
18645,148281,SYT6,SYTVI,18638,ENSG00000134207
18647,148304,C1ORF74,URLC4,26319,ENSG00000162757
18648,148327,CREB3L4,AIBZIP,18854,ENSG00000143578
18648,148327,CREB3L4,ATCE1,18854,ENSG00000143578
18648,148327,CREB3L4,CREB3,18854,ENSG00000143578
18648,148327,CREB3L4,CREB4,18854,ENSG00000143578
18648,148327,CREB3L4,JAL,18854,ENSG00000143578
18648,148327,CREB3L4,HJAL,18854,ENSG00000143578
18651,148362,BROX,C1ORF58,26512,ENSG00000162819
18652,148398,SAMD11,MRS,28706,ENSG00000187634
18654,148418,SAMD13,DJL,24582,ENSG00000203943
18654,148418,SAMD13,HSD-41,24582,ENSG00000203943
18654,148418,SAMD13,HSD-42,24582,ENSG00000203943
18655,148423,C1ORF52,GM117,24871,ENSG00000162642
18657,148479,PHF13,PHF5,22983,ENSG00000116273
18657,148479,PHF13,SPOC1,22983,ENSG00000116273
18658,148523,CIART,C1ORF51,25200,ENSG00000159208
18658,148523,CIART,CHRONO,25200,ENSG00000159208
18658,148523,CIART,GM129,25200,ENSG00000159208
18659,148534,TLCD4,TMEM56,26477,ENSG00000152078
18663,148645,ICMT-DT,C1ORF211,28620,
18663,148645,ICMT-DT,LINC00337,28620,
18663,148645,ICMT-DT,NCRNA00337,28620,
18665,148709,ACTG1P25,AGPG,54872,ENSG00000293264
18666,148713,PTPRVP,ESP,13421,ENSG00000293457
18666,148713,PTPRVP,OST-PTP,13421,ENSG00000293457
18666,148713,PTPRVP,PTPRV,13421,ENSG00000293457
18667,148738,HJV,HFE2,4887,ENSG00000168509
18667,148738,HJV,HFE2A,4887,ENSG00000168509
18667,148738,HJV,JH,4887,ENSG00000168509
18667,148738,HJV,RGMC,4887,ENSG00000168509
18669,148753,FAM163A,C1ORF76,28274,ENSG00000143340
18669,148753,FAM163A,NDSP,28274,ENSG00000143340
18670,148756,OVAAL,LINC01131,49422,ENSG00000236719
18670,148756,OVAAL,OVAL,49422,ENSG00000236719
18670,148756,OVAAL,RMEL2,49422,ENSG00000236719
18671,148789,B3GALNT2,B3GALNAC-T2,28596,ENSG00000162885
18671,148789,B3GALNT2,MDDGA11,28596,ENSG00000162885
18672,148808,MFSD4A,MFSD4,25433,ENSG00000174514
18672,148808,MFSD4A,SLC60A1,25433,ENSG00000174514
18672,148808,MFSD4A,UNQ3064,25433,ENSG00000174514
18673,148811,PM20D1,CPS1,26518,ENSG00000162877
18675,148823,GCSAML,C1ORF150,29583,ENSG00000169224
18677,148867,SLC30A7,ZHS,19306,ENSG00000162695
18677,148867,SLC30A7,ZNT7,19306,ENSG00000162695
18677,148867,SLC30A7,ZNT-7,19306,ENSG00000162695
18677,148867,SLC30A7,ZNTL2,19306,ENSG00000162695
18679,148898,ZNF436-AS1,C1ORF213,25122,ENSG00000249087
18680,148930,KNCN,KINO,26488,ENSG00000162456
18680,148930,KNCN,L5,26488,ENSG00000162456
18681,148932,MOB3C,MOB1E,29800,ENSG00000142961
18681,148932,MOB3C,MOBKL2C,29800,ENSG00000142961
18683,149013,NBPF12,COAS1,24297,ENSG00000268043
18683,149013,NBPF12,KIAA1245,24297,ENSG00000268043
18685,149041,RC3H1,FHL6,29434,ENSG00000135870
18685,149041,RC3H1,IMDSHY,29434,ENSG00000135870
18685,149041,RC3H1,RNF198,29434,ENSG00000135870
18685,149041,RC3H1,ROQUIN,29434,ENSG00000135870
18688,149076,ZNF362,RN,18079,ENSG00000160094
