,collision,ENSG_ID,gene_symbol,source
65,ANCR,"ENSG00000226950, ENSG00000114062","DANCR, UBE3A",ENSG
66,ANG1,"ENSG00000154188, ENSG00000149809","ANGPT1, TM7SF2",ENSG
67,ANG2,"ENSG00000149823, ENSG00000091879","VPS51, ANGPT2",ENSG
68,ANG3,"ENSG00000116194, ENSG00000149823","ANGPTL1, VPS51",ENSG
69,ANK,"ENSG00000029534, ENSG00000154122","ANK1, ANKH",ENSG
70,AOH1,"ENSG00000138356, ENSG00000244301","AOX1, AOX3P",ENSG
71,AP-1,"ENSG00000170345, ENSG00000125740, ENSG00000130522, ENSG00000177606","FOS, FOSB, JUND, JUN",ENSG
72,AP2,"ENSG00000122034, ENSG00000170323","GTF3A, FABP4",ENSG
73,AP3AASE,"ENSG00000001561, ENSG00000189283","ENPP4, FHIT",ENSG
74,AP47B,"ENSG00000100478, ENSG00000070718","AP4S1, AP3M2",ENSG
75,APC1,"ENSG00000153107, ENSG00000284468","ANAPC1, SLC25A24",ENSG
76,APC2,"ENSG00000125648, ENSG00000176248","SLC25A23, ANAPC2",ENSG
77,APC4,"ENSG00000053900, ENSG00000181240","ANAPC4, SLC25A41",ENSG
78,APC7,"ENSG00000168077, ENSG00000196510","SCARA3, ANAPC7",ENSG
79,APE,"ENSG00000115355, ENSG00000291796","CCDC88A, APEX1",ENSG
80,APH2,"ENSG00000171307, ENSG00000162736","ZDHHC16, NCSTN",ENSG
81,API5L1,"ENSG00000234558, ENSG00000166181","API5P1, API5",ENSG
82,APR,"ENSG00000141682, ENSG00000123384","PMAIP1, LRP1",ENSG
83,APRIL,"ENSG00000161955, ENSG00000136938","TNFSF13, ANP32B",ENSG
84,APRO5,"ENSG00000183864, ENSG00000141232","TOB2, TOB1",ENSG
85,APS,"ENSG00000160999, ENSG00000142515","SH2B2, KLK3",ENSG
86,AR,"ENSG00000161513, ENSG00000085662, ENSG00000109321","FDXR, AKR1B1, AREG",ENSG
87,ARA,"ENSG00000275331, ENSG00000054598","ABCC6, FOXC1",ENSG
88,ARD1,"ENSG00000113595, ENSG00000102030, ENSG00000117751","TRIM23, NAA10, PPP1R8",ENSG
89,ARG,"ENSG00000142599, ENSG00000143322","RERE, ABL2",ENSG
90,ARH2,"ENSG00000157978, ENSG00000153531","LDLRAP1, ADPRHL1",ENSG
91,ARIP1,"ENSG00000123165, ENSG00000187391","ACTRT1, MAGI2",ENSG
92,ARK,"ENSG00000167601, ENSG00000157450","AXL, RNF111",ENSG
93,ARP,"ENSG00000101246, ENSG00000142599, ENSG00000124812, ENSG00000145050","ARFRP1, RERE, CRISP1, MANF",ENSG
94,ARP1,"ENSG00000124701, ENSG00000185551, ENSG00000101246, ENSG00000116194, ENSG00000138107, ENSG00000164093","APOBEC2, NR2F2, ARFRP1, ANGPTL1, ACTR1A, PITX2",ENSG
95,ARP10,"ENSG00000100298, ENSG00000131966","APOBEC3H, ACTR10",ENSG
96,ARP11,"ENSG00000131966, ENSG00000106526, ENSG00000133627","ACTR10, ACTR3C, ACTR3B",ENSG
97,ARP2,"ENSG00000136859, ENSG00000111732, ENSG00000138071","ANGPTL2, AICDA, ACTR2",ENSG
98,ARP3,"ENSG00000262156, ENSG00000115091","APOBEC3A, ACTR3",ENSG
99,ARP4,"ENSG00000136518, ENSG00000167772","ACTL6A, ANGPTL4",ENSG
