,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol
403,1611,{'CCR11'},51554,ENSG00000129048,ACKR4
404,1611,{'CCBP2'},51554,ENSG00000129048,ACKR4
405,1611,{'VSHK1'},51554,ENSG00000129048,ACKR4
406,1611,{'CCX-CKR'},51554,ENSG00000129048,ACKR4
407,1611,{'PPR1'},51554,ENSG00000129048,ACKR4
408,21142,{'dJ509I19.4'},285737,ENSG00000225415,ACKR4P1
410,115,{'ATPCL'},47,ENSG00000131473,ACLY
411,115,{'CLATP'},47,ENSG00000131473,ACLY
412,115,{'ACL'},47,ENSG00000131473,ACLY
416,117,{'IRP1'},48,ENSG00000122729,ACO1
417,117,{'IREBP'},48,ENSG00000122729,ACO1
418,118,{'ACONM'},50,ENSG00000100412,ACO2
421,33904,{'CAD'},730249,ENSG00000102794,ACOD1
422,33128,{'ACH2'},641371,ENSG00000184227,ACOT1
423,33128,{'CTE-1'},641371,ENSG00000184227,ACOT1
424,33128,{'LACH2'},641371,ENSG00000184227,ACOT1
425,18431,{'Mte1'},10965,ENSG00000119673,ACOT2
426,18431,{'ZAP128'},10965,ENSG00000119673,ACOT2
427,19748,{'FLJ31235'},122970,ENSG00000177465,ACOT4
428,19748,{'PTE-Ib'},122970,ENSG00000177465,ACOT4
429,19748,{'PTE2B'},122970,ENSG00000177465,ACOT4
431,24157,{'BACH'},11332,ENSG00000097021,ACOT7
432,24157,{'ACH1'},11332,ENSG00000097021,ACOT7
433,24157,{'ACT'},11332,ENSG00000097021,ACOT7
434,24157,{'CTE-II'},11332,ENSG00000097021,ACOT7
435,24157,{'LACH1'},11332,ENSG00000097021,ACOT7
436,24157,{'MGC1126'},11332,ENSG00000097021,ACOT7
437,24157,{'hBACH'},11332,ENSG00000097021,ACOT7
438,15919,{'hACTE-III'},10005,ENSG00000101473,ACOT8
439,15919,{'hTE'},10005,ENSG00000101473,ACOT8
440,15919,{'PTE-2'},10005,ENSG00000101473,ACOT8
441,15919,{'NAP1'},10005,ENSG00000101473,ACOT8
442,17152,{'CGI-16'},23597,ENSG00000123130,ACOT9
443,17152,{'MT-ACT48'},23597,ENSG00000123130,ACOT9
444,17152,{'ACATE2'},23597,ENSG00000123130,ACOT9
445,18156,{'STARD14'},26027,ENSG00000162390,ACOT11
446,18156,{'BFIT'},26027,ENSG00000162390,ACOT11
447,18156,{'KIAA0707'},26027,ENSG00000162390,ACOT11
448,18156,{'BFIT1'},26027,ENSG00000162390,ACOT11
