,alias_symbol,gene_symbol,ENSG_ID,source
4054,TCRAV10S1,"[' TRAV27', 'TRAV10']","['ENSG00000211784', ' ENSG00000211809']",['NCBI']
4055,TCRAV11S1,"['TRAV2', ' TRAV11']","['ENSG00000211776', ' ENSG00000256474']",['NCBI']
4056,TCRAV12S1,"[' TRAV19', 'TRAV12-1']","[' ENSG00000211799', 'ENSG00000211785']",['NCBI']
4057,TCRAV13S1,"[' TRAV22', 'TRAV13-1']","['ENSG00000211788', ' ENSG00000211802']",['NCBI']
4058,TCRAV15S1,"['TRAV5', ' TRAV15']","['ENSG00000211779', ' nan']",['NCBI']
4059,TCRAV16S1,"[' TRAV3', 'TRAV16']","['ENSG00000211796', ' ENSG00000211777']",['NCBI']
4060,TCRAV17S1,"['TRAV23DV6', ' TRAV17', 'TRAV17', ' TRAV23DV6']","[' ENSG00000211803', 'ENSG00000211803', ' ENSG00000211797', 'ENSG00000211797']","['ENSG', 'NCBI']"
4061,TCRAV18S1,"['TRAV18', ' TRAV24']","[' ENSG00000211805', 'ENSG00000211798']",['NCBI']
4062,TCRAV19S1,"['TRAV19', ' TRAV41']","[' ENSG00000211820', 'ENSG00000211799']",['NCBI']
4063,TCRAV1S1,"[' TRAV1-1', 'TRAV8-1']","[' ENSG00000255569', 'ENSG00000211782']",['NCBI']
4064,TCRAV1S2,"['TRAV1-2', ' TRAV8-4']","['ENSG00000256553', ' ENSG00000211790']",['NCBI']
4065,TCRAV20S1,"['TRAV20', ' TRAV4']","[' ENSG00000211778', 'ENSG00000211800']",['NCBI']
4066,TCRAV21S1,"['TRAV21', ' TRAV29DV5']","['ENSG00000211801', ' ENSG00000211810']",['NCBI']
4067,TCRAV22S1,"['TRAV22', ' TRAV9-2']","['ENSG00000211802', ' ENSG00000211793']",['NCBI']
4068,TCRAV24S1,"[' TRAV24', 'TRAV10']","['ENSG00000211784', ' ENSG00000211805']",['NCBI']
