,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
6335,ENSG00000130821,SLC6A8,11055,6535,"CRTR, CT1, CRT, CRT-1, CRT1", CRT,HGNC
14564,ENSG00000179218,CALR,1455,811,"RO, SSA, cC1qR, CRT, FLJ26680, CALR1", CRT,HGNC
14302,ENSG00000177791,MYOZ1,13752,58529,"FATZ, CS-2", CS-2,HGNC
21097,ENSG00000213218,CSH2,2441,1443,"hCS-B, CSB, CS-2", CS-2,HGNC
9261,ENSG00000150281,CTF1,2499,1489,"CT-1, CT1", CT1,HGNC
6335,ENSG00000130821,SLC6A8,11055,6535,"CRTR, CT1, CRT, CRT-1, CRT1", CT1,HGNC
7607,ENSG00000138182,KIF20B,7212,9585,"MPP1, KRMP1, CT90", CT90,HGNC
5504,ENSG00000124383,MPHOSPH10,7213,10199,"MPP10, MPP10P, CT90, PPP1R106", CT90,HGNC
35090,ENSG00000255974,CYP2A6,2610,1548,"CPA6, CYP2A", CYP2A,HGNC
17387,ENSG00000197838,CYP2A13,2608,1553,"CPAD, CYP2A", CYP2A,HGNC
13031,ENSG00000171497,PPID,9257,5481,"CYP-40, CypD", CypD,HGNC
3490,ENSG00000108179,PPIF,9259,10105,"hCyP3, Cyp-D, CypD", CypD,HGNC
6280,ENSG00000130598,TNNI2,11946,7136,"FSSV, DA2B, fsTnI", DA2B,HGNC
6279,ENSG00000130595,TNNT3,11950,7140,"AMCD2B, DA2B, FSSV, DKFZp779M2348", DA2B,HGNC
1537,ENSG00000081479,LRP2,6694,4036,"gp330, DBS", DBS,HGNC
5780,ENSG00000126217,MCF2L,14576,23263,"KIAA0362, DBS, OST, ARHGEF14", DBS,HGNC
2383,ENSG00000100811,YY1,12856,7528,"NF-E1, DELTA, UCRBP, YIN-YANG-1, INO80S", DELTA,HGNC
8213,ENSG00000142507,PSMB6,9543,5694,"Y, DELTA", DELTA,HGNC
9668,ENSG00000153933,DGKE,2852,8526,"DAGK6, DGK", DGK,HGNC
7230,ENSG00000136267,DGKB,2850,1607,"KIAA0718, DGK, DGK-BETA", DGK,HGNC
6001,ENSG00000128342,LIF,6596,3976,"CDF, DIA, HILDA", DIA,HGNC
8916,ENSG00000147202,DIAPH2,2877,1730,"POF, DIA, POF2, DIA2", DIA,HGNC
20711,ENSG00000211921,IGHD5-12,5508,28491,"IGHD512, DK1", DK1,HGNC
13805,ENSG00000175283,DOLK,23406,22845,"KIAA1094, DK1", DK1,HGNC
8128,ENSG00000141627,DYM,21317,54808,"FLJ20071, DMC, SMC", DMC,HGNC
16821,ENSG00000189377,CXCL17,19232,284340,"Dcip1, UNQ473, DMC, VCC1", DMC,HGNC
3874,ENSG00000111328,CDK2AP1,14002,8099,"DORC1, doc-1, DOC1, ST19, p12DOC-1", DOC1,HGNC
11235,ENSG00000164162,ANAPC10,24077,10393,"APC10, DOC1, DKFZP564L0562", DOC1,HGNC
17508,ENSG00000198176,TFDP1,11749,7027,"Dp-1, DRTF1, DP1, DILC", DP1,HGNC
12266,ENSG00000168229,PTGDR,9591,5729,"DP, DP1, PTGDR1", DP1,HGNC
7123,ENSG00000135750,KCNK1,6272,3775,"K2p1.1, DPK, TWIK-1", DPK,HGNC
6990,ENSG00000135090,TAOK3,18133,51347,"JIK, DPK, MAP3K18", DPK,HGNC
9556,ENSG00000152818,UTRN,12635,7402,"DRP, DRP1", DRP1,HGNC
7852,ENSG00000139726,DENR,2769,8562,"DRP, DRP1, SMAP-3", DRP1,HGNC
17665,ENSG00000198721,ECI2,14601,10455,"ACBD2, DRS1, HCA88", DRS1,HGNC
5480,ENSG00000124228,DDX27,15837,55661,"dJ686N3.1, DRS1", DRS1,HGNC
8937,ENSG00000147403,RPL10,10298,6134,"NOV, QM, DXS648E, DXS648, FLJ23544, L10, uL16", DXS648E,HGNC
19947,ENSG00000207165,SNORA70,10231,26778,"U70, DXS648E", DXS648E,HGNC
8652,ENSG00000145293,ENOPH1,24599,58478,"MASA, E1, mtnC", E1,HGNC
39225,ENSG00000274266,SNORA73A,10115,6080,"U17A, E1-7, E1b, E1", E1,HGNC
24484,ENSG00000226344,CST12P,31920,106478911,"Cst, E2, Ctes4", E2,HGNC
9302,ENSG00000150768,DLAT,2896,1737,"PDC-E2, E2", E2,HGNC
3762,ENSG00000110344,UBE4A,12499,9354,"UBOX2, UFD2, KIAA0126, E4", E4,HGNC
6347,ENSG00000130939,UBE4B,12500,10277,"UBOX3, E4, UFD2, KIAA0684", E4,HGNC
11358,ENSG00000164611,PTTG1,9690,9232,"PTTG, HPTTG, EAP1, securin, ECRAR", EAP1,HGNC
1328,ENSG00000075914,EXOSC7,28112,23016,"hRrp42p, Rrp42p, RRP42, EAP1, KIAA0116, p8", EAP1,HGNC
4369,ENSG00000115211,EIF2B4,3260,8890,"EIF2Bdelta, EIF-2B, DKFZP586J0119, EIF2B", EIF-2B,HGNC
3882,ENSG00000111361,EIF2B1,3257,1967,"EIF-2Balpha, EIF-2B, EIF2BA, EIF2Balpha", EIF-2B,HGNC
1131,ENSG00000070785,EIF2B3,3259,8891,"EIF2Bgamma, EIF-2B", EIF-2B,HGNC
8635,ENSG00000145191,EIF2B5,3261,8893,"EIF2Bepsilon, EIF-2B", EIF-2B,HGNC
7929,ENSG00000140374,ETFA,3481,2108,"GA2, EMA, MADD", EMA,HGNC
15886,ENSG00000185499,MUC1,7508,4582,"CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD, KL-6, EMA, Ca15-3", EMA,HGNC
11584,ENSG00000165521,EML5,18197,161436,"HuEMAP-2, EMAP-2, FAP16", EMAP-2,HGNC
11169,ENSG00000164022,AIMP1,10648,9255,"EMAPII, EMAP-2, p43", EMAP-2,HGNC
5688,ENSG00000125746,EML2,18035,24139,"EMAP2, ELP70, EMAP-2", EMAP-2,HGNC
1749,ENSG00000087510,TFAP2C,11744,7022,"AP2-GAMMA, ERF1, TFAP2G, hAP-2g", ERF1,HGNC
15921,ENSG00000185650,ZFP36L1,1107,677,"RNF162B, Berg36, ERF1, TIS11B, cMG1", ERF1,HGNC
8661,ENSG00000145354,CISD2,24212,493856,"Miner1, ERIS, NAF-1", ERIS,HGNC
15663,ENSG00000184584,STING1,27962,340061,"FLJ38577, NET23, ERIS, MPYS, STING, MITA", ERIS,HGNC
5918,ENSG00000127554,GFER,4236,2671,"HSS, ERV1, ALR, HERV1, HPO1, HPO2", ERV1,HGNC
13673,ENSG00000174600,CMKLR1,2121,1240,"RVER1, ERV1, ChemR23", ERV1,HGNC
6597,ENSG00000132589,FLOT2,3758,2319,"ESA, ESA1, ECS-1, ECS1", ESA1,HGNC
13376,ENSG00000172977,KAT5,5275,10524,"TIP60, PLIP, cPLA2, HTATIP1, ESA1, ZC2HC5", ESA1,HGNC
944,ENSG00000065717,TLE2,11838,7089,"ESG2, GRG2, ESG, FLJ41188", ESG,HGNC
3363,ENSG00000106829,TLE4,11840,7091,"E(spl), ESG, GRG4", ESG,HGNC
17078,ENSG00000196781,TLE1,11837,7088,"ESG1, GRG1, ESG, TLE-1", ESG,HGNC
15538,ENSG00000184033,CTAG1B,2491,1485,"NY-ESO-1, LAGE2B, LAGE2A, ESO1, CT6.1", ESO1,HGNC
38216,ENSG00000268651,CTAG1A,24198,246100,"LAGE2A, ESO1", ESO1,HGNC
7071,ENSG00000135476,ESPL1,16856,9700,"KIAA0165, ESP1, SEPA", ESP1,HGNC
15235,ENSG00000182809,CRIP2,2361,1397,"CRP2, ESP1", ESP1,HGNC
7826,ENSG00000139618,BRCA2,1101,675,"FAD, FAD1, BRCC2, XRCC11", FAD1,HGNC
10482,ENSG00000160688,FLAD1,24671,80308,"PP591, FAD1", FAD1,HGNC
2332,ENSG00000100557,CCDC198,20189,55195,"FLJ10650, FAME", FAME,HGNC
42001,,FCMTE3,37160,,"BAFME, FAME", FAME,HGNC
4016,ENSG00000112234,FBXL4,13601,26235,"FBL4, FBL5", FBL5,HGNC
4817,ENSG00000118564,FBXL5,13602,26234,"FBL4, FBL5, FLR1", FBL5,HGNC
13399,ENSG00000173120,KDM2A,13606,22992,"KIAA1004, FBL11, LILINA, DKFZP434M1735, FBL7, FLJ00115, CXXC8, JHDM1A", FBL7,HGNC
15418,ENSG00000183580,FBXL7,13604,23194,"KIAA0840, FBL7, FBL6", FBL7,HGNC
9644,ENSG00000153767,GTF2E1,4650,2960,"TFIIE-A, FE", FE,HGNC
17222,ENSG00000197265,GTF2E2,4651,2961,"TFIIE-B, FE, TF2E2", FE,HGNC
11579,ENSG00000165507,DEPP1,23355,11067,"DEPP, FIG, Fseg", FIG,HGNC
632,ENSG00000047932,GOPC,17643,57120,"dJ94G16.2, PIST, FIG, GOPC1, CAL", FIG,HGNC
39,ENSG00000003402,CFLAR,1876,8837,"CASH, Casper, CLARP, FLAME, FLIP, I-FLICE, MRIT, c-FLIP, cFLIP", FLIP,HGNC
4,ENSG00000000460,FIRRM,25565,55732,"FLJ10706, Apolo1, FLIP, MEICA1", FLIP,HGNC
582,ENSG00000042286,AIFM2,21411,84883,"FLJ14497, PRG3, FSP1", FSP1,HGNC
16868,ENSG00000196154,S100A4,10494,6275,"P9KA, 18A2, PEL98, 42A, FSP1", FSP1,HGNC
21290,ENSG00000213654,GPSM3,13945,63940,"NG1, G18, G18.1a, G18.1b, G18.2, AGS4", G18,HGNC
4305,ENSG00000114737,CISH,1984,1154,"CIS, G18, CIS-1, SOCS", G18,HGNC
41198,ENSG00000291237,SOD2,11180,6648,"GClnc1, MnSOD, IPOB, GC1", GC1,HGNC
2704,ENSG00000102837,OLFM4,17190,10562,"OlfD, GW112, GC1, pDP4", GC1,HGNC
8577,ENSG00000144674,GOLGA4,4427,2803,"GOLG, GCP2, p230, golgin-240", GCP2,HGNC
1687,ENSG00000086205,FOLH1,3788,2346,"PSM, PSMA, NAALAD1, NAALAdase, GCP2, GCPII", GCP2,HGNC
7154,ENSG00000135919,SERPINE2,8951,5270,"PN1, GDN, PNI, nexin", GDN,HGNC
17079,ENSG00000196782,MAML3,16272,55534,"KIAA1816, MAM2, CAGH3, GDN", GDN,HGNC
13169,ENSG00000172062,SMN1,11117,6606,"BCD541, SMNT, SMA1, SMA2, SMA3, GEMIN1, TDRD16A", GEMIN1,HGNC
