,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol,collision,source
28180,17360,LIG1,26018,ENSG00000144749,LRIG1,LIG1,HGNC
52750,18395,LIPA,10648,ENSG00000168515,SCGB1D1,LIPA,HGNC
52753,18396,LIPB,10647,ENSG00000124935,SCGB1D2,LIPB,HGNC
28047,21610,LNP1,80856,ENSG00000144320,LNPK,LNP1,HGNC
24751,16899,LRE3,0,,L1RE3,LRE3,HGNC
4846,29911,LRP1,10438,ENSG00000197223,C1D,LRP1,HGNC
34987,7648,LYST2,26960,ENSG00000172915,NBEA,LYST2,HGNC
6916,1631,M130,9332,ENSG00000177575,CD163,M130,HGNC
42092,7618,M130,4659,ENSG00000058272,PPP1R12A,M130,HGNC
14467,3481,MADD,2108,ENSG00000140374,ETFA,MADD,HGNC
24146,6380,MAFA,10219,ENSG00000139187,KLRG1,MAFA,HGNC
14130,3434,MAG,2068,ENSG00000104884,ERCC2,MAG,HGNC
28785,19340,MAGEA2,266740,ENSG00000183305,MAGEA2B,MAGEA2,HGNC
1628,17574,MAK,57538,ENSG00000136383,ALPK3,MAK,HGNC
33292,14334,MAL,57591,ENSG00000196588,MRTFA,MAL,HGNC
29870,15789,MAP1A,23173,ENSG00000164024,METAP1,MAP1A,HGNC
29875,16672,MAP2,10988,ENSG00000111142,METAP2,MAP2,HGNC
41233,9119,MAS1,9512,ENSG00000105819,PMPCB,MAS1,HGNC
8453,17088,MAST1,23332,ENSG00000074054,CLASP1,MAST1,HGNC
42482,9362,MBP,5553,ENSG00000186652,PRG2,MBP,HGNC
29419,6922,MBP,4153,ENSG00000165471,MBL2,MBP,HGNC
39419,14546,ME1,57717,ENSG00000272674,PCDHB16,ME1,HGNC
7532,1850,ME2,9620,ENSG00000075275,CELSR1,ME2,HGNC
39410,8682,ME2,56125,ENSG00000197479,PCDHB11,ME2,HGNC
39430,8703,ME3,56110,ENSG00000253485,PCDHGA5,ME3,HGNC
29410,6919,MED1,8930,ENSG00000129071,MBD4,MED1,HGNC
29667,25487,MED25,55090,ENSG00000141026,MED9,MED25,HGNC
42409,9354,MER5,10935,ENSG00000165672,PRDX3,MER5,HGNC
30015,7043,MGA,8972,ENSG00000257335,MGAM,MGA,HGNC
32656,18210,MGAT1,116255,ENSG00000124003,MOGAT1,MGAT1,HGNC
32657,23248,MGAT2,80168,ENSG00000166391,MOGAT2,MGAT2,HGNC
32661,23249,MGAT3,346606,ENSG00000106384,MOGAT3,MGAT3,HGNC
7818,37100,MIA2,387885,ENSG00000186710,CFAP73,MIA2,HGNC
30134,33702,MIC12,125988,ENSG00000174917,MICOS13,MIC12,HGNC
5971,1502,MICE,23581,ENSG00000105141,CASP14,MICE,HGNC
1687,464,MIF,268,ENSG00000104899,AMH,MIF,HGNC
52329,10499,MIF,6280,ENSG00000163220,S100A9,MIF,HGNC
30223,7104,MIP,4285,ENSG00000027001,MIPEP,MIP,HGNC
60857,6401,MIP,3842,ENSG00000083312,TNPO1,MIP,HGNC
28769,31102,MIP,727764,ENSG00000274847,MAFIP,MIP,HGNC
34490,7582,MLC1,4632,ENSG00000168530,MYL1,MLC1,HGNC
32880,48649,MLN,100507027,ENSG00000227877,MRLN,MLN,HGNC
32639,18234,MOS,55034,ENSG00000075643,MOCOS,MOS,HGNC
28051,6657,MPDZ,84708,ENSG00000072201,LNX1,MPDZ,HGNC
23808,7212,MPP1,9585,ENSG00000138182,KIF20B,MPP1,HGNC
16345,3818,MPP2,2305,ENSG00000111206,FOXM1,MPP2,HGNC
22417,6038,MPP4,3609,ENSG00000129351,ILF3,MPP4,HGNC
7990,1911,MPP7,8208,ENSG00000159259,CHAF1B,MPP7,HGNC
33049,14492,MRPL27,64975,ENSG00000182154,MRPL41,MRPL27,HGNC
33260,16635,MRPS28,60488,ENSG00000061794,MRPS35,MRPS28,HGNC
33241,14513,MRPS35,28957,ENSG00000147586,MRPS28,MRPS35,HGNC
33300,18477,MRT4,51154,ENSG00000053372,MRTO4,MRT4,HGNC
64112,20439,MRX82,65109,ENSG00000125351,UPF3B,MRX82,HGNC
33351,13371,MS4A7,51338,ENSG00000110079,MS4A4A,MS4A7,HGNC
33358,13378,MS4A8,58475,ENSG00000166927,MS4A7,MS4A8,HGNC
51281,10434,MSK1,9252,ENSG00000100784,RPS6KA5,MSK1,HGNC
51280,10433,MSK2,8986,ENSG00000162302,RPS6KA4,MSK2,HGNC
57903,11408,MST1,6789,ENSG00000101109,STK4,MST1,HGNC
53740,10820,MTCP1,4068,ENSG00000183918,SH2D1A,MTCP1,HGNC
29818,7037,MTF1,4241,ENSG00000163975,MELTF,MTF1,HGNC
34678,7622,MTF1,4661,ENSG00000196132,MYT1,MTF1,HGNC
34465,15906,MYH14,57644,ENSG00000078814,MYH7B,MYH14,HGNC
34577,7599,MYO1C,4643,ENSG00000157483,MYO1E,MYO1C,HGNC
40821,29650,MYT1,9088,ENSG00000127564,PKMYT1,MYT1,HGNC
60789,16903,NAF1,10318,ENSG00000145901,TNIP1,NAF1,HGNC
34849,23102,NANOGP2,414132,ENSG00000237065,NANOGP4,NANOGP2,HGNC
34852,23105,NANOGP3,414130,ENSG00000258774,NANOGP7,NANOGP3,HGNC
34847,23100,NANOGP4,414131,ENSG00000228670,NANOGP2,NANOGP4,HGNC
34900,13395,NAPA,9476,ENSG00000131400,NAPSA,NAPA,HGNC
34905,13396,NAPB,256236,ENSG00000131401,NAPSB,NAPB,HGNC
47238,17765,NARF,51444,ENSG00000134758,RNF138,NARF,HGNC
13520,3297,NAT1,1982,ENSG00000110321,EIF4G2,NAT1,HGNC
54998,13447,NAT2,81539,ENSG00000111371,SLC38A1,NAT2,HGNC
2929,727,NBN,9048,ENSG00000117407,ARTN,NBN,HGNC
42734,25512,NET1,55119,ENSG00000134186,PRPF38B,NET1,HGNC
36916,8029,NET1,9423,ENSG00000065320,NTN1,NET1,HGNC
18836,21535,NGB,23560,ENSG00000107937,GTPBP4,NGB,HGNC
18221,4458,NLK,2821,ENSG00000105220,GPI,NLK,HGNC
18245,4462,NMB,10457,ENSG00000136235,GPNMB,NMB,HGNC
45313,10031,NME1,6023,ENSG00000277027,RMRP,NME1,HGNC
34571,7597,NMI,4641,ENSG00000197879,MYO1C,NMI,HGNC
28497,19260,NOP9,56413,ENSG00000213906,LTB4R2,NOP9,HGNC
