,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
8723,ENSG00000145214,DGKQ,2856,1609,"DAGK, DAGK4, DAGK7",DAGK,ENSG
7525,ENSG00000137492,THAP12,9440,5612,"DAP4, P52RIPK, PRKRIR, THAP0",DAP4,ENSG
1519,ENSG00000080845,DLGAP4,24476,22839,"DAP4, KIAA0964, SAPAP4",DAP4,ENSG
6835,ENSG00000133835,HSD17B4,5213,3295,"DBP, MFE-2, SDR8C1",DBP,ENSG
8738,ENSG00000145321,GC,4187,2638,"DBP, HDBP, VDBP",DBP,ENSG
8286,ENSG00000142507,PSMB6,9543,5694,"DELTA, Y",DELTA,ENSG
2402,ENSG00000100811,YY1,12856,7528,"DELTA, INO80S, NF-E1, UCRBP, YIN-YANG-1",DELTA,ENSG
15197,ENSG00000181585,TMIE,30800,259236,DFNB6,DFNB6,ENSG
4400,ENSG00000115155,OTOF,8515,9381,"DFNB6, DFNB9, FER1L2",DFNB6,ENSG
14929,ENSG00000180096,SEPTIN1,2879,1731,"DIFF6, PNUTL3, SEPT1",DIFF6,ENSG
12433,ENSG00000168385,SEPTIN2,7729,4735,"DIFF6, HNEDD5, KIAA0158, NEDD5, PNUTL3, SEPT2",DIFF6,ENSG
1301,ENSG00000075240,GRAMD4,29113,23151,"DIP, KIAA0767",DIP,ENSG
10181,ENSG00000157514,TSC22D3,3051,1831,"DIP, DSIPI, GILZ, HDIP, TSC-22R",DIP,ENSG
13966,ENSG00000175283,DOLK,23406,22845,"DK1, KIAA1094, TMEM15",DK1,ENSG
23559,ENSG00000211921,IGHD5-12,5508,,"DK1, IGHD512",DK1,ENSG
12434,ENSG00000168386,FILIP1L,24589,11259,"DOC-1, GIP130",DOC-1,ENSG
3903,ENSG00000111328,CDK2AP1,14002,8099,"DOC-1, DOC1, DORC1, P12DOC-1, ST19",DOC-1,ENSG
7180,ENSG00000135750,KCNK1,6272,3775,"DPK, K2P1.1, TWIK-1",DPK,ENSG
7047,ENSG00000135090,TAOK3,18133,51347,"DPK, JIK, MAP3K18",DPK,ENSG
4164,ENSG00000113070,HBEGF,3059,1839,"DTR, DTS, HEGFL",DTR,ENSG
14554,ENSG00000178125,PPP1R42,33732,286187,"DTR, LRRC67, TLLR",DTR,ENSG
12192,ENSG00000167513,CDT1,24576,81620,"DUP, RIS2",DUP,ENSG
4196,ENSG00000113318,MSH3,7326,4437,"DUP, MRP1",DUP,ENSG
6004,ENSG00000127952,STYXL1,18165,51657,"DUSP24, MK-STYX",DUSP24,ENSG
6840,ENSG00000133878,DUSP26,28161,78986,"DUSP24, MGC1136, NEAP",DUSP24,ENSG
8736,ENSG00000145293,ENOPH1,24599,58478,"E1, MASA, MTNC",E1,ENSG
57230,ENSG00000274266,SNORA73A,10115,,"E1, E1-7, E1B, RNE1, RNU17A, U17A",E1,ENSG
6400,ENSG00000130939,UBE4B,12500,10277,"E4, KIAA0684, UBOX3, UFD2",E4,ENSG
3790,ENSG00000110344,UBE4A,12499,9354,"E4, KIAA0126, UBOX2, UFD2",E4,ENSG
11474,ENSG00000164611,PTTG1,9690,9232,"EAP1, ECRAR, HPTTG, PTTG, SECURIN, TUTR1",EAP1,ENSG
1334,ENSG00000075914,EXOSC7,28112,23016,"EAP1, HRRP42P, KIAA0116, P8, RRP42, RRP42P",EAP1,ENSG
