,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol,source
22384,ENSG00000220201,ZGLP1,37245,100125288, GLP-1,HGNC
8816,ENSG00000146411,SLC2A12,18067,154091, GLUT8,HGNC
7331,ENSG00000136856,SLC2A8,13812,29988, GLUT8,HGNC
13666,ENSG00000174567,GOLT1A,24766,127845, GOT1,HGNC
3930,ENSG00000111711,GOLT1B,20175,51026, GOT1,HGNC
7306,ENSG00000136732,GYPC,4704,2995, GPD,HGNC
21030,ENSG00000213088,ACKR1,4035,2532, GPD,HGNC
6182,ENSG00000130021,PUDP,16818,8226, GS1,HGNC
17296,ENSG00000197535,MYO5A,7602,4644, GS1,HGNC
158,ENSG00000006757,PNPLA4,24887,8228, GS2,HGNC
1089,ENSG00000069974,RAB27A,9766,5873, GS2,HGNC
41515,,CELIAC2,19378,, GSE,HGNC
11027,ENSG00000163599,CTLA4,2505,1493, GSE,HGNC
12926,ENSG00000171097,KYAT1,1564,883, GTK,HGNC
3952,ENSG00000111816,FRK,3955,2444, GTK,HGNC
7286,ENSG00000136631,VPS45,14579,11311, H1,HGNC
12567,ENSG00000169504,CLIC4,13518,25932, H1,HGNC
40037,ENSG00000278677,H2AC17,4735,8336, H2A.1,HGNC
39735,ENSG00000277075,H2AC8,4724,3012, H2A.1,HGNC
14805,ENSG00000180596,H2BC4,4757,8347, H2B.1,HGNC
15687,ENSG00000184678,H2BC21,4760,8349, H2B.1,HGNC
18952,ENSG00000203811,H3C14,20503,126961, H3,HGNC
12943,ENSG00000171136,RLN3,17135,117579, H3,HGNC
1396,ENSG00000077782,FGFR1,3688,2260, H3,HGNC
41111,ENSG00000287080,H3C3,4768,8352, H3.1,HGNC
39310,ENSG00000274750,H3C6,4769,8353, H3.1,HGNC
1396,ENSG00000077782,FGFR1,3688,2260, H4,HGNC
3483,ENSG00000108091,CCDC6,18782,8030, H4,HGNC
39289,ENSG00000274618,H4C6,4783,8361, H4,HGNC
15690,ENSG00000184702,SEPTIN5,9164,5413, H5,HGNC
1396,ENSG00000077782,FGFR1,3688,2260, H5,HGNC
5693,ENSG00000125779,PANK2,15894,80025, HARP,HGNC
13811,ENSG00000175311,ANKS4B,26795,257629, HARP,HGNC
7628,ENSG00000138375,SMARCAL1,11102,50485, HARP,HGNC
7332,ENSG00000136859,ANGPTL2,490,23452, HARP,HGNC
340,ENSG00000013583,HEBP1,17176,50865, HBP,HGNC
13203,ENSG00000172232,AZU1,913,566, HBP,HGNC
7274,ENSG00000136531,SCN2A,10588,6326, HBSCI,HGNC
8520,ENSG00000144285,SCN1A,10585,6323, HBSCI,HGNC
2133,ENSG00000099937,SERPIND1,4838,3053, HC2,HGNC
36051,ENSG00000259513,CYCSP38,24411,360184, HC2,HGNC
25097,ENSG00000227666,CYCSP24,24398,360177, HC3,HGNC
3324,ENSG00000106588,PSMA2,9531,5683, HC3,HGNC
39388,ENSG00000275152,CCL16,10614,6360, HCC-4,HGNC
9610,ENSG00000153250,RBMS1,9907,5937, HCC-4,HGNC
679,ENSG00000050426,LETMD1,24241,25875, HCCR-2,HGNC
15756,ENSG00000184992,BRI3BP,14251,140707, HCCR-2,HGNC
3367,ENSG00000106927,AMBP,453,259, HCP,HGNC
