gene_symbol,alias_symbol,ENSG_ID,collision,source
MBOAT7,"BB1,hMBOA-7,LPLAT,LPIAT1,LPLAT11",ENSG00000125505,BB1,HGNC
ICAM1,"BB2,CD54",ENSG00000090339,BB2,HGNC
GRPR,"BB2,BB2R,BRS2",ENSG00000126010,BB2,HGNC
TM2D1,BBP,ENSG00000162604,BBP,HGNC
SF1,"ZFM1,ZCCHC25,BBP",ENSG00000168066,BBP,HGNC
PHF11,"NY-REN-34,BCAP,IGER",ENSG00000136147,BCAP,HGNC
PIK3AP1,"BCAP,FLJ35564",ENSG00000155629,BCAP,HGNC
SMN1,"BCD541,SMNT,SMA1,SMA2,SMA3,GEMIN1,TDRD16A",ENSG00000172062,BCD541,HGNC
SMN2,"BCD541,SMNC,GEMIN1,TDRD16B",ENSG00000205571,BCD541,HGNC
ARID3B,"BDP,DRIL2",ENSG00000179361,BDP,HGNC
PPM1K,"DKFZp761G058,PP2Ckappa,hPTMP,PP2Cm,BDP",ENSG00000163644,BDP,HGNC
CLDN5,"CPETRL1,BEC1",ENSG00000184113,BEC1,HGNC
KCNH3,"Kv12.2,BEC1,elk2",ENSG00000135519,BEC1,HGNC
DUSP13A,"MDSP,BEDP",ENSG00000293543,BEDP,HGNC
APOBEC1,"BEDP,CDAR1,APOBEC-1,HEPR",ENSG00000111701,BEDP,HGNC
TUBB3,"beta-4,CFEOM3,CFEOM3A",ENSG00000258947,BETA-4,HGNC
AP4B1,BETA-4,ENSG00000134262,BETA-4,HGNC
TUBB4B,Beta2,ENSG00000188229,BETA2,HGNC
NEUROD1,"BETA2,BHF-1,NeuroD,bHLHa3,MODY6",ENSG00000162992,BETA2,HGNC
CHRNA4,BFNC,ENSG00000101204,BFNC,HGNC
KCNQ2,"Kv7.2,ENB1,BFNC,KCNA11,HNSPC",ENSG00000075043,BFNC,HGNC
DMD,"BMD,DXS142,DXS164,DXS206,DXS230,DXS239,DXS268,DXS269,DXS270,DXS272",ENSG00000198947,BMD,HGNC
BEST1,"BMD,BEST,RP50",ENSG00000167995,BMD,HGNC
SMYD1,"BOP,ZMYND22,KMT3D",ENSG00000115593,BOP,HGNC
OPN1SW,"BOP,CBT",ENSG00000128617,BOP,HGNC
RTL10,"FLJ21125,BOP",ENSG00000215012,BOP,HGNC
BRCA1,"RNF53,BRCC1,PPP1R53,FANCS",ENSG00000012048,BRCC1,HGNC
ICE2,"FLJ11896,BRCC1",ENSG00000128915,BRCC1,HGNC
BLID,BRCC2,ENSG00000259571,BRCC2,HGNC
BRCA2,"FAD,FAD1,BRCC2,XRCC11",ENSG00000139618,BRCC2,HGNC
CHIC1,BRX,ENSG00000204116,BRX,HGNC
AKAP13,"Ht31,BRX,AKAP-Lbc,c-lbc,PROTO-LB,HA-3,ARHGEF13",ENSG00000170776,BRX,HGNC
ERCC3,"XPB,BTF2,RAD25,Ssl2",ENSG00000163161,BTF2,HGNC
GTF2H3,"BTF2,TFIIH,P34",ENSG00000111358,BTF2,HGNC
GTF2H2,"BTF2,TFIIH,BTF2P44,T-BTF2P44,p44",ENSG00000145736,BTF2,HGNC
BTN2A2,"BTF2,BT2.2,BTN2.2",ENSG00000124508,BTF2,HGNC
GTF2H1,"BTF2,P62,TFIIH",ENSG00000110768,BTF2,HGNC
GTF2F1,"TFIIF,BTF4,RAP74,TF2F1",ENSG00000125651,BTF4,HGNC
GTF2F2,"TFIIF,BTF4,RAP30",ENSG00000188342,BTF4,HGNC
CLN3,"JNCL,BTN1",ENSG00000188603,BTN1,HGNC
BTN1A1,"BT,BTN1",ENSG00000124557,BTN1,HGNC
BUB1,"hBUB1,BUB1A",ENSG00000169679,BUB1A,HGNC
BUB1B,"BUBR1,MAD3L,Bub1A,SSK1",ENSG00000156970,BUB1A,HGNC
ARHGAP4,"KIAA0131,C1,p115,RhoGAP4,SrGAP4",ENSG00000089820,C1,HGNC
TRGC1,C1,ENSG00000211689,C1,HGNC
PFDN4,"PFD4,C-1,C1",ENSG00000101132,C1,HGNC
AKR1C4,"DD4,HAKRA,C11,3-alpha-HSD,CDR,MGC22581",ENSG00000198610,C11,HGNC
POLR3K,"RPC11,C11",ENSG00000161980,C11,HGNC
CRCP,"CGRP-RCP,RCP,RCP9,C17,POLR3I",ENSG00000241258,C17,HGNC
CYTL1,"C17,C4orf4",ENSG00000170891,C17,HGNC
ERFE,"FLJ37034,CTRP15,C1QTNF15",ENSG00000178752,C1QTNF15,HGNC
OTOL1,"C1QTNF15,C1QTNF16",ENSG00000182447,C1QTNF15,HGNC
CIITA,"C2TA,NLRA",ENSG00000179583,C2TA,HGNC
DONSON,"B17,C2TA,DKFZP434M035",ENSG00000159147,C2TA,HGNC
CDK5RAP3,"MST016,FLJ13660,C53,IC53,HSF-27,OK/SW-cl.114,LZAP",ENSG00000108465,C53,HGNC
POLR3D,"TSBN51,RPC4,C53",ENSG00000168495,C53,HGNC
C5AR1,"C5A,C5AR,CD88",ENSG00000197405,C5A,HGNC
C5,"CPAMD4,C5a,C5b",ENSG00000106804,C5A,HGNC
CHST3,"C6ST,C6ST1",ENSG00000122863,C6ST,HGNC
CHST1,"C6ST,KSGal6ST",ENSG00000175264,C6ST,HGNC
CHST2,C6ST,ENSG00000175040,C6ST,HGNC
MUC16,"CA125,FLJ14303,CA-125",ENSG00000181143,CA125,HGNC
NBR1,"CA125,KIAA0049,1A1-3B",ENSG00000188554,CA125,HGNC
DFFB,"CAD,CPAN,DFF-40,DFF40",ENSG00000169598,CAD,HGNC
B4GALNT2,"Sda,Cad",ENSG00000167080,CAD,HGNC
ACOD1,CAD,ENSG00000102794,CAD,HGNC
CHAF1A,"CAF1P150,CAF1B,CAF-1,CAF1,P150,MGC71229",ENSG00000167670,CAF-1,HGNC
CHAF1B,"CAF1P60,CAF-1,CAF1,CAF1A,MPP7,MPHOSPH7",ENSG00000159259,CAF-1,HGNC
CHAF1A,"CAF1P150,CAF1B,CAF-1,CAF1,P150,MGC71229",ENSG00000167670,CAF1,HGNC
CHAF1B,"CAF1P60,CAF-1,CAF1,CAF1A,MPP7,MPHOSPH7",ENSG00000159259,CAF1,HGNC
CNOT8,"CAF1,hCAF1,CALIF",ENSG00000155508,CAF1,HGNC
CDK7,"CAK1,CDKN7,MO15,STK1,CAK",ENSG00000134058,CAK1,HGNC
MSLN,"CAK1,MPF",ENSG00000102854,CAK1,HGNC
GOPC,"dJ94G16.2,PIST,FIG,GOPC1,CAL",ENSG00000047932,CAL,HGNC
FBLIM1,"FBLP-1,CAL,migfilin",ENSG00000162458,CAL,HGNC
SNAP91,"KIAA0656,AP180,CALM",ENSG00000065609,CALM,HGNC
