,ENSG_ID,gene_symbol,alias_symbol,HGNC_ID,NCBI_ID,intersect_point,source
46339,ENSG00000065320,NTN1,NET1,8029,9423,NET1,ENSG
46435,ENSG00000135862,LAMC1,LAMB2,6492,3915,LAMB2,ENSG
46663,ENSG00000136560,TANK,TRAF2,11562,10010,TRAF2,ENSG
47041,ENSG00000166974,MAPRE2,RP1,6891,10982,RP1,ENSG
47225,ENSG00000201458,RNU4-4P,U4,10197,0,U4,ENSG
47332,ENSG00000106105,GARS1,SMAD1,4162,2617,SMAD1,ENSG
47428,ENSG00000204424,LY6G6F,LY6G6D,13933,259215,LY6G6D,ENSG
47663,ENSG00000007174,DNAH9,DNAL1,2953,1770,DNAL1,ENSG
47779,ENSG00000257335,MGAM,MGA,7043,8972,MGA,ENSG
47802,ENSG00000135916,ITM2C,BRI3,6175,81618,BRI3,ENSG
47812,ENSG00000110315,RNF141,ZNF230,21159,50862,ZNF230,ENSG
47923,ENSG00000254521,SIGLEC12,SIGLECL1,15482,89858,SIGLECL1,ENSG
48092,ENSG00000004779,NDUFAB1,ACP1,7694,4706,ACP1,ENSG
48174,ENSG00000092203,TOX4,LCP1,20161,9878,LCP1,ENSG
48194,ENSG00000262635,TDO2,TPH2,11708,6999,TPH2,ENSG
48411,ENSG00000172315,TP53RK,TPRKB,16197,112858,TPRKB,ENSG
48535,ENSG00000173269,MMRN2,EMILIN3,19888,79812,EMILIN3,ENSG
48550,ENSG00000134755,DSC2,DSC3,3036,1824,DSC3,ENSG
48791,ENSG00000130517,PGPEP1,PGP,13568,54858,PGP,ENSG
48827,ENSG00000128510,CPA4,CPA3,15740,51200,CPA3,ENSG
48924,ENSG00000140992,PDPK1,PDK1,8816,5170,PDK1,ENSG
48947,ENSG00000283441,MIR499B,MIR499A,41640,100616134,MIR499A,ENSG
49452,ENSG00000184634,MED12,OPA1,11957,9968,OPA1,ENSG
49540,ENSG00000175229,GAL3ST3,GAL3ST2,24144,89792,GAL3ST2,ENSG
49553,ENSG00000087365,SF3B2,SF3B1,10769,10992,SF3B1,ENSG
49898,ENSG00000174684,B4GAT1,B3GNT6,15685,11041,B3GNT6,ENSG
49987,ENSG00000131981,LGALS3,LGALS2,6563,3958,LGALS2,ENSG
50015,ENSG00000204394,VARS1,VARS2,12651,7407,VARS2,ENSG
50038,ENSG00000126787,DLGAP5,DLG1,16864,9787,DLG1,ENSG
50102,ENSG00000176402,GJC3,GJE1,17495,349149,GJE1,ENSG
50160,ENSG00000292165,SH3D19,EBP,30418,152503,EBP,ENSG
50315,ENSG00000149485,FADS1,FADS6,3574,3992,FADS6,ENSG
50343,ENSG00000137876,RSL24D1,RPL24,18479,51187,RPL24,ENSG
50510,ENSG00000227735,CYCSP5,HCP5,24416,0,HCP5,ENSG
50595,ENSG00000100916,BRMS1L,BRMS1,20512,84312,BRMS1,ENSG
50819,ENSG00000162814,SPATA17,IQCH,25184,128153,IQCH,ENSG
50983,ENSG00000126246,IGFLR1,U2AF1L4,23620,79713,U2AF1L4,ENSG
51036,ENSG00000183305,MAGEA2B,MAGEA2,19340,4101,MAGEA2,ENSG
51045,ENSG00000135164,DMTF1,DMP1,14603,9988,DMP1,ENSG
51161,ENSG00000183765,CHEK2,CDS1,16627,11200,CDS1,ENSG
51219,ENSG00000109099,PMP22,SP110,9118,5376,SP110,ENSG
51291,ENSG00000076043,REXO2,SFN,17851,25996,SFN,ENSG
51305,ENSG00000057252,SOAT1,ACAT1,11177,6646,ACAT1,ENSG
51831,ENSG00000002726,AOC1,DAO,80,26,DAO,ENSG
51834,ENSG00000175166,PSMD2,RPN1,9559,5708,RPN1,ENSG
51988,ENSG00000104064,GABPB1,GABPB2,4074,2553,GABPB2,ENSG
52059,ENSG00000186652,PRG2,MBP,9362,5553,MBP,ENSG
52171,ENSG00000263934,SNORD3A,U3,33189,0,U3,ENSG
52425,ENSG00000012983,MAP4K5,GCKR,6867,11183,GCKR,ENSG
52613,ENSG00000150681,RGS18,RGS13,14261,64407,RGS13,ENSG
52716,ENSG00000285025,MIURF,MIEF1,,127898561,MIEF1,ENSG
52981,ENSG00000076258,FMO4,FMO2,3772,2329,FMO2,ENSG
53049,ENSG00000259120,SMIM6,ELN,40032,100130933,ELN,ENSG
53127,ENSG00000107863,ARHGAP21,ARHGAP10,23725,57584,ARHGAP10,ENSG
53198,ENSG00000270920,MCRIP2P2,MCRIP2P1,49631,0,MCRIP2P1,ENSG
53293,ENSG00000276464,POMZP3,POM121,9203,22932,POM121,ENSG
53631,ENSG00000288422,ARHGEF35,CTAGE4,33846,445328,CTAGE4,ENSG
54054,ENSG00000139187,KLRG1,MAFA,6380,10219,MAFA,ENSG
54206,ENSG00000147650,LRP12,ST7,31708,29967,ST7,ENSG
54525,ENSG00000008226,DLEC1,DLC1,2899,9940,DLC1,ENSG
54596,ENSG00000201659,RNU12-2P,RNU12,10109,0,RNU12,ENSG
54701,ENSG00000101464,PIGU,GAB1,15791,128869,GAB1,ENSG
54791,ENSG00000121053,EPX,EPO,3423,8288,EPO,ENSG
55536,ENSG00000237632,S100A11P1,S100A14,10491,0,S100A14,ENSG
56145,ENSG00000198089,SFI1,PISD,29064,9814,PISD,ENSG
56267,ENSG00000197487,GALP,GAL,24840,85569,GAL,ENSG
56478,ENSG00000133317,LGALS12,GRIP1,15788,85329,GRIP1,ENSG
56503,ENSG00000140848,CPNE2,CPN2,2315,221184,CPN2,ENSG
56636,ENSG00000220267,ACTBP8,ACTBP2,141,0,ACTBP2,ENSG
56946,ENSG00000112312,GMNN,GEM,17493,51053,GEM,ENSG
57124,ENSG00000101109,STK4,MST1,11408,6789,MST1,ENSG
57138,ENSG00000169397,RNASE3,RAF1,10046,6037,RAF1,ENSG
57509,ENSG00000069869,NEDD4,RPF1,7727,4734,RPF1,ENSG
57988,ENSG00000005206,SPPL2B,IMP4,30627,56928,IMP4,ENSG
58598,ENSG00000088826,SMOX,SMO,15862,54498,SMO,ENSG
58755,ENSG00000129910,CDH15,CDH3,1754,1013,CDH3,ENSG
58968,ENSG00000222328,RNU2-2P,U2,10152,0,U2,ENSG
59467,ENSG00000288505,NANOS3,NOS3,22048,342977,NOS3,ENSG
