,NCBI_ID,gene_symbol,aliases,HGNC_ID,ENSG_ID,collision_symbol,source
7360,9508,ADAMTS3,ADAMTS-4|HKLLS3,219,ENSG00000156140,ADAMTS-4,NCBI
7359,9507,ADAMTS4,ADAMTS-2|ADAMTS-4|ADMP-1,220,ENSG00000158859,ADAMTS-4,NCBI
21644,339896,GADL1,ADC|CSADC|HuADC|HuCSADC,27949,ENSG00000144644,ADC,NCBI
16973,113451,AZIN2,ADC|AZI2|AZIB1|ODC-p|ODC1L|ODCp,29957,ENSG00000142920,ADC,NCBI
2376,2934,GSN,ADF|AGEL|AMYLD4,4620,ENSG00000148180,ADF,NCBI
8652,11034,DSTN,ACTDP|ADF|HEL32|bA462D18.2,15750,ENSG00000125868,ADF,NCBI
457,554,AVPR2,ADHR|DI1|DIR|DIR3|NDI|NDI1|V2R,897,ENSG00000126895,ADHR,NCBI
6302,8074,FGF23,ADHR|FGFN|HFTC2|HPDR2|HYPF|PHPTC,3680,ENSG00000118972,ADHR,NCBI
14128,64222,TOR3A,ADIR|ADIR2,11997,ENSG00000186283,ADIR2,NCBI
3875,4928,NUP98,ADIR2|NUP196|NUP96|Nup98-96,8068,ENSG00000110713,ADIR2,NCBI
115,136,ADORA2B,ADORA2,264,ENSG00000170425,ADORA2,NCBI
114,135,ADORA2A,A2aR|ADORA2|RDC8,263,ENSG00000128271,ADORA2,NCBI
15168,80339,PNPLA3,ADPN|C22orf20|iPLA(2)epsilon,18590,ENSG00000100344,ADPN,NCBI
7248,9370,ADIPOQ,ACDC|ACRP30|ADIPQTL1|ADPN|APM-1|APM1|GBP28,13633,ENSG00000181092,ADPN,NCBI
7814,10038,PARP2,ADPRT2|ADPRTL2|ADPRTL3|ARTD2|PARP-2|pADPRT-2,272,ENSG00000129484,ADPRTL2,NCBI
7815,10039,PARP3,ADPRT3|ADPRTL2|ADPRTL3|ARTD3|IRT1|PADPRT-3,273,ENSG00000041880,ADPRTL2,NCBI
7814,10038,PARP2,ADPRT2|ADPRTL2|ADPRTL3|ARTD2|PARP-2|pADPRT-2,272,ENSG00000129484,ADPRTL3,NCBI
7815,10039,PARP3,ADPRT3|ADPRTL2|ADPRTL3|ARTD3|IRT1|PADPRT-3,273,ENSG00000041880,ADPRTL3,NCBI
196,231,AKR1B1,ADR|ALDR1|ALR2|AR,381,ENSG00000085662,ADR,NCBI
1786,2232,FDXR,ADR|ADXR|ANOA,3642,ENSG00000161513,ADR,NCBI
123,146,ADRA1D,ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2,280,ENSG00000171873,ADRA1,NCBI
124,147,ADRA1B,ADRA1|ALPHA1BAR,278,ENSG00000170214,ADRA1,NCBI
5162,6522,SLC4A2,AE2|BND3L|EPB3L1|HKB3|NBND3|OPTB9,11028,ENSG00000164889,AE2,NCBI
15840,84224,NBPF3,AE2,25076,ENSG00000142794,AE2,NCBI
21587,339451,KLHL17,AF,24023,ENSG00000187961,AF,NCBI
4509,5710,PSMD4,AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5,9561,ENSG00000159352,AF,NCBI
2801,3460,IFNGR2,AF-1|IFGR2|IFNGT1|IMD28,5440,ENSG00000159128,AF-1,NCBI
4509,5710,PSMD4,AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5,9561,ENSG00000159352,AF-1,NCBI
30290,100132406,NBPF10,AB6|AG1|NBPF9,31992,ENSG00000271425,AG1,NCBI
11459,51060,TXNDC12,AG1|AGR1|ERP16|ERP18|ERP19|PDIA16|TLP19|hAG-1|hTLP19,24626,ENSG00000117862,AG1,NCBI
8254,10551,AGR2,AG-2|AG2|GOB-4|HAG-2|HEL-S-116|HPC8|PDIA17|RIFTD|XAG-2,328,ENSG00000106541,AG2,NCBI
22711,387763,C11orf96,AG2,38675,ENSG00000187479,AG2,NCBI
20888,284565,NBPF15,AB14|AG3|NBPF16,28791,ENSG00000266338,AG3,NCBI
19011,155465,AGR3,AG-3|AG3|BCMP11|HAG3|PDIA18|hAG-3,24167,ENSG00000173467,AG3,NCBI
6667,8604,SLC25A12,AGC1|ARALAR|DEE39|EIEE39,10982,ENSG00000115840,AGC1,NCBI
151,176,ACAN,AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD,319,ENSG00000157766,AGC1,NCBI
2837,3507,IGHM,AGM1|MU|VH,5541,ENSG00000211899,AGM1,NCBI
4120,5238,PGM3,AGM1|IMD23|PAGM|PGM 3,8907,ENSG00000013375,AGM1,NCBI
237,284,ANGPT1,AGP1|AGPT|AGPT-1|ANG1|HAE5,484,ENSG00000154188,AGP1,NCBI
3931,5004,ORM1,A1AG1|AGP-A|AGP1|HEL-S-153w|ORM,8498,ENSG00000229314,AGP1,NCBI
16123,84803,GPAT3,AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1,28157,ENSG00000138678,AGPAT10,NCBI
14920,79888,LPCAT1,AGPAT10|AGPAT9|AYTL2|LPCAT-1|LPLAT8|PFAAP3|lpcat|lysoPAFAT,25718,ENSG00000153395,AGPAT10,NCBI
20166,253558,LCLAT1,1AGPAT8|AGPAT8|ALCAT1|HSRG1849|LPLAT6|LYCAT|UNQ1849,26756,ENSG00000172954,AGPAT8,NCBI
16123,84803,GPAT3,AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1,28157,ENSG00000138678,AGPAT8,NCBI
16123,84803,GPAT3,AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1,28157,ENSG00000138678,AGPAT9,NCBI
14920,79888,LPCAT1,AGPAT10|AGPAT9|AYTL2|LPCAT-1|LPLAT8|PFAAP3|lpcat|lysoPAFAT,25718,ENSG00000153395,AGPAT9,NCBI
11866,51655,RASD1,AGS1|DEXRAS1|MGC:26290,15828,ENSG00000108551,AGS1,NCBI
156,182,JAG1,AGS|AGS1|AHD|AWS|CD339|CMT2HH|DCHE|HJ1|JAGL1,6188,ENSG00000101384,AGS1,NCBI
8850,11277,TREX1,AGS1|CRV|DRN3|HERNS|RVCLS,12269,ENSG00000213689,AGS1,NCBI
3813,4853,NOTCH2,AGS2|HJCYS|hN2,7882,ENSG00000134250,AGS2,NCBI
14701,79621,RNASEH2B,AGS2|DLEU8,25671,ENSG00000136104,AGS2,NCBI
9882,26086,GPSM1,AGS3,17858,ENSG00000160360,AGS3,NCBI
15801,84153,RNASEH2C,AGS3|AYP1,24116,ENSG00000172922,AGS3,NCBI
8241,10535,RNASEH2A,AGS4|JUNB|RNASEHI|RNHIA|RNHL,18518,ENSG00000104889,AGS4,NCBI
14032,63940,GPSM3,AGS4|C6orf9|G18|G18.1a|G18.1b|G18.2|NG1,13945,ENSG00000213654,AGS4,NCBI
16025,84624,FNDC1,AGS8|FNDC2|MEL4B3|bA243O10.1|dJ322A24.1,21184,ENSG00000164694,AGS8,NCBI
18022,134353,LSM11,AGS8,30860,ENSG00000155858,AGS8,NCBI
161,189,AGXT,AGT|AGT1|AGXT1|PH1|SPAT|SPT|Ser-PyrAT|TLH6,341,ENSG00000172482,AGT1,NCBI
19039,157724,SLC7A13,AGT-1|AGT1|XAT2,23092,ENSG00000164893,AGT1,NCBI
19640,200879,LIPH,AH|ARWH2|HYPT7|LAH2|LPDLR|PLA1B|mPA-PLA1,18483,ENSG00000163898,AH,NCBI
