,ambiguous symbol,number of abstracts with a match
3876,PAO,11406
3877, OR10C2,0
3878,CD85B,1
3879, U14,625
3880,PCDH-BETA12,0
3881, TTGN2,0
3882, PIG35,0
3883,OR912-110,0
3884, TCRBV4S1,1
3885,PDZK4,1
3886,CENP-36,0
3887,PRR20B,0
3888,RITA,9066
3889,CT47.5,0
3890,STAG3L4P,0
3891,GCS,21971
3892,BCS,14236
3893,RMP,3121
3894,HGRG8,0
3895,EMAP2,5
3896,HSA-MIR-23A,66
3897, HLAL,53
3898,HHL,591
3899,LIG2,25
3900,HSA-MIR-675,115
3901, FKLF-2,3
3902,BB1,482
3903,HH,27161
3904,HSPCA,68
3905, SL1,1522
3906,NSE2,57
3907, PRIP,193
3908, CIB,3863
3909,M40,466
3910, NELF-E,34
3911,C11DELp13,0
3912,FAM39B,1
3913,WR,9918
3914, HSD5,44
3915,NLS1,129
3916,SIII,1003
3917,CT79,1
3918, KE1.5,1
3919, C-ANCA,8974
3920,AG3,621
3921,FLJ36870,0
3922, U7.55,0
3923, LPPR3,4
3924, P57,1943
3925,C11ORF64,0
3926,Oct-3,991
3927,NKX-1.1,2
3928,PRG1,97
3929,FLJ12985,0
3930,B37,340
3931, P36,1492
3932,ABCB3,27
3933,RAR,5921
3934, NBP,1462
3935, LE,286022
3936,DGPT,51
3937, TCRBV7S9,0
3938,PA28BETA,62
3939,S11,4766
3940, ZC2H2C1,0
3941,G6PT,106
3942,SPAP1,5
3943,H3,51728
3944,NA88A,1
3945,OR7E141,0
3946,LE,286022
3947, p22,6159
3948,HSHTPCRX12,0
3949,HSD3B,231
3950,AG2,1097
3951,RNF35,5
3952,TCRGC2,2
3953, NPY6RP,0
3954,OTTHUMT00000056510,0
3955,ART,219364
3956,SSB1,219
3957,IGEL,1063
3958, NCRNA00308,0
3959, LOC388381,0
3960,H2BC8,2
3961,HBII-52-46,0
3962, KAP9.9,0
3963,TRNAV22,0
3964,AGC1,159
3965, GOLGA2B,0
3966, APC1,136
3967,MAGMAS,3404
3968,IMP-3,87
3969, LIR8,1
3970,RPL23,173
3971, SEPX1,26
3972, MKPX,9
3973, FLJ13219,0
3974,H-2RIIBP,11
3975, SDR24C1,0
3976, NAP1L6,4
3977, SGEF,25
3978, DNM1DN10@,0
3979,CRL2,90
3980,C14ORF130,1
3981, LIR9,4
3982,KIAA1684,1
3983, SMA2,110
3984,GCPIII,18
3985,TOP3,5500
3986,LGS,2145
3987,ZYG11,15
3988,CT47.9,0
3989,HBD3,651
3990,SCELL,96
3991, RXFPR3,0
3992,103AS,8
3993,CBGL1,3
3994,LMN2,3
3995, CLA1,126
3996,D10S102,9
3997, FLJ20154,0
3998,ATS,7632
3999,PLGLA1,0
4000,BA707M13.1,0
4001,DXS9822,0
4002, DMC,4824
4003,RS,135144
4004,SPMD,226
4005,DSC1,256
4006,OR2A17P,0
4007, BPG70P20.2,0
4008, CNRS5,0
4009, GSD1D,0
4010, FSG1,4
4011,ACC2,395
4012, MID49,61
4013,DIFF6,4
4014,CFP1,78
4015, TTTY7A,0
4016,L32mt,0
4017,C3ORF31,0
4018,KCA4.2,0
4019, AT1,11302
4020, KMT1C,24
4021,CD85M,0
4022,NCRNA00117,0
4023,AMAC1,20
4024,NET7,6
4025,HNRNPCP5,0
4026, CSB,3451
4027,FAM10A5,0
4028,SCAR2,24
4029,GOLGA8E,1
4030, NEPII,6
4031,IL-27,2065
4032, OR2A27,0
4033,p60,16806
4034,DNM1DN16@,0
4035, ZNRD1ASP,5
4036, PSM,10966
4037, SH3D20,0
4038, VPP3,2
4039, REFILINA,4
4040, FLJ40722,0
4041, D12S2489E,1
4042,PAGB,9
4043,IGKV1/OR2-3,0
4044, PEN,17544
4045, oda6,13
4046, P3,35450
4047, CYP2DL1,0
4048,PPD,13868
4049, HREP,26
4050, LIR-5,7
4051, MP1,890
4052,GAGED2,4
4053,BCX269C15.3,0
4054, HS6M1-6,0
4055, CO4,2500
4056, U64,460
4057,CDC25L,0
4058, E2,121100
4059,HSP72,2400
4060,ZNF769,0
4061,ANO7P1,1
4062, IRT-1,26
4063, GREMLIN,577
4064,PPCD1,22
4065,OR21-1,0
4066, KIAA0867,0
4067, RAD52B,2
4068, RCD1,131
4069,ERVR,39
4070,AC156455.1,12
4071, SNR1,46
4072, SAR1P1,0
4073,GA,261176
4074,SPERGEN-2,1
4075,H2BC6,0
4076, TRBV211,1
4077, DLC-1,140
4078, ZNFEB,1
4079,C16ORF65,0
4080, LQT8,22
4081, NKAT4,1
4082,PPT-2,48
4083,AB023048.2,0
4084, UP2,97
4085, IFITMD3,0
4086, P14,5540
4087,SLIM,5201
4088,KIAA1710,0
4089, TRBJ23,5
4090, NUDE,103223
4091, PBG1,24
4092,RAD1,760
4093,PPH3,2806
4094,LGL2,40
4095, TRBJ27,6
4096,TCRBV10S1P,1
4097,ADSD,165
4098, SEST2,0
4099,SIR2L,1
4100, HCCR-2,5
4101, TRBJ12,0
4102,D84394.7,0
4103, SDOLF,0
4104,WASF4,1
4105,MUHH,19
4106, LGL1,133
4107,P18,2955
4108,CRP,71241
4109,MBP,16429
4110,HCA3,27
4111, MT1K,8
4112,CSAGE,5
4113, KRTAP2P1,0
4114,TFP,1994
4115, MIP-2A,7
4116, KIAA1538,0
4117, RNU1-50,0
4118,TCRBV13S7P,0
4119,P60,16806
4120, DKFZP586G0123,1
4121,NatF,49
4122, TBP7,18
4123, NACGT1,0
4124,MTCP1,80
4125, CTAGE-1,8
4126,XLOC_008466,2
4127, SPR1,104
4128,AF131216.3,1
4129,EL8,28
4130,KAP2A,0
4131,TSARG1,5
4132,B14,2426
4133, TCRBV25S1,0
4134,HSR1,40
4135,C6ORF10,28
4136, TROVE1,0
4137,TRIP,11622
4138,OR51P2P,0
4139,CYP2G1,24
4140, TRBJ13,2
4141,ADAMTS-4,635
4142, RNU1G1,0
4143, TR,1117605
4144, PTPN20CP,0
4145, SCYTHE,59
4146,CPN1,96
4147, UGT,3458
4148,SIK-1,8
4149,ASAP,1372
4150, TGN48,0
4151, OR2A2P,0
4152, IGHD613,1
4153, PAP1,621
4154, HCGIX-4,0
4155,DENND8A,0
4156, KIAA1838,2
4157,AACSL,1
4158,FIH1,159
4159, LIR-6,2
4160, SWP1,37
4161,BM039,0
4162,GDD1,15
4163,AMY2,179
4164, S2,51687
4165, C14ORF121,0
4166, PARS,29275
4167, IL28B,1555
4168,PKK,301
4169,CMS1D,0
4170,BB27G4.1,0
4171,CRYG5,0
4172,GNT-IV,63
4173,DD,38103
4174,AC079630.2,1
4175, P85,3306
4176,VP,23372
4177, NCRNA00106,0
4178, CNSLT1I7G,0
4179,AC026369.3,1
4180,ACA64,0
4181, LI1,936
4182,CES1A3,4
4183,CABP,1073
4184, KA36,1
4185, FLJ30532,0
4186,DAN,29659
4187,HIT1,71
4188,OSTEOADHERIN,64
4189,AK3P1,0
4190,SS,109303
4191,LAP1,230
4192,HSA-MIR-3186,0
4193, IGHD28,0
4194,INFE1,0
4195, U2AFBP,10
4196, HVH-5,15
4197, PTK3A,0
4198, SDHALP2,0
4199, CYP4F3LP,0
4200, p18,2955
4201,DJ377H14.2,0
4202,MGC34680,0
4203, AGP7,5
4204, FLJ14728,1
4205,KRTHA7,0
4206,IGHV(II)-65-1,0
4207, NKP46,1183
4208,HLA-DR3B,1
4209, TID1,85
4210,C12ORF2,2
4211, CRBPIII,6
4212,MGC33094,0
4213, NRAC,24
4214, HSPD-9P,0
4215, STV1,34
4216,PK1,3640
4217, HSNF7-1,6
4218, CRT,22236
4219,U6,3511
4220,DJ1033B10.16,0
4221,GDN,711
4222, TLP,962
4223,IGKV18,2
4224, MATP,300
4225,SPDYE14P,0
4226,H2B/k,3
4227,BHLHE36,0
4228, KIAA0888L,0
4229, FTNB,10
4230, DJ621N11.4,0
4231,HHG,627
4232,PCDH-PSI1,0
4233,D15F37S2,0
4234,RNU1-5,0
4235,ACA43,1
4236,TTY9,1
4237,DMT1,1375
4238, ILT5,16
4239,BA360O19.2,0
4240,TIN2,198
4241,ASF,3761
4242, DJ25J6.5,0
4243, MYTI,21
4244,OR7E68P,0
4245, RPML3,0
4246,CENTB6,0
4247,GPR138,1
4248, HIST3H3,4
4249,HPP,2932
4250,TIG1,162
4251, AHSA2,5
4252, UL23M,0
4253, SCKL4,3
4254,DDX26,5
4255,ALS19,7
4256, CYP2D7BP,0
4257, NSMASE3,11
4258,DHS,6503
4259,NPHP7,6
4260,H2A.Bbd,26
4261,DDX48,5
4262,RN5S383,0
4263, U38B,0
4264,TAL,6406
4265,HD1,2328
4266,WD,13394
4267, CFAP88,0
4268,GK1,319
4269, p50,116545
4270,CT45A8,0
4271, P105,1093
4272,NT,68501
4273, RCOR-1,2
4274,CAMIII,8
4275,CYP2A,405
4276,BIP,9672
4277,HYPP,42
4278, TMPRSS8,0
4279, AGPAT9,20
4280,H2BFS,3
4281,FMR2,143
4282,CREB-2,52
4283, TRBV291,4
4284,L21,894
4285,V1S5P,0
4286, DKFZP434C1826,0
4287,FAM28A,0
4288,C11orf4,1
4289,UGD,170
4290,CGB,994
4291, KIAA2033,0
4292,SORD2,1
4293, UNQ6121,0
4294,TP2,611
4295, 5T4-AG,0
4296, FLI1,2140
4297,GARS-AIRS-GART,13
4298,AML1-EVI-1,18
4299, TFIIF,425
4300, BEY2,4
4301, NSL1,83
4302,HCDH,16
4303,PTEN2,25
4304,HSA-MIR-6844,2
4305, APE-1,93
4306,NEDBA,0
4307,ALS21,3
4308, KIAA1167,0
4309, RNU1,21
4310, SYN5,34
4311,p36,1492
4312,NGS17,1
4313,SIK,1212
4314, LIR-4,4
4315, TPCR24,0
4316,RDC1,76
4317,RCCP2,0
4318,BPNT2P,0
4319,MDR1,9284
4320, FLJ11208,0
4321, NOL5BP,0
4322, FACC,268
4323, P450C2D,0
4324, CAL,30821
4325,GARS,800
4326,DNM1DN4@,0
4327,DBP2,65
4328, DCAL1,2
4329, VATB,34
4330, TRBV71,0
4331,AS,0
4332, DEC1,2648
4333, PHSECRG2,1
4334,CALM,5014
4335, PLCETA2,14
4336,TUBB8P12,0
4337, FLIP,12596
4338,dJ760C5.1,0
4339,GCP2,193
4340,SYN,18400
4341, FLJ36557,0
4342, ACC1,1026
4343, KRT1-3,0
4344,IGHV(II)-46-1,0
4345,ISGF3G,83
4346,EDA3,12
4347,NOTCH2NL,17
4348, RNU1F1,0
4349,hCGB,33
4350, RPSM12,1
4351,DDX36,2
4352,KLIP1,4
4353, CYP2D8P2,0
4354,CRA,5728
4355,TCRBV22S1,1
4356,PARC,21397
4357, FREUD-1,42
4358, IGHVIII-51-1,0
4359,HD7,61
4360,PEHO,62
4361,ELK2,21
4362,OR6-7,11
4363,TCRBJ2S7,0
4364, RING5,6
4365, HC2,1248
4366,SIN,28591
4367, DKFZP686O06159,0
4368,TAKR,4
4369, MGC35423,0
4370, TRAD,1085
4371, NPHP10,8
4372, BSEP,1150
4373, FLASH,34893
4374, SP001LA,0
4375,DQA1,3484
4376, LI,1441944
4377,C8ORF14,0
4378,TOLLIP-AS1,1
4379, SPX4,14
4380, EYCL,1
4381, MGC5178,0
4382,TCRBV14S1,1
4383, PAT1,496
4384, NAPE-PLD,223
4385,H1,110344
4386,RSK,1608
4387, Sno,5667
4388, MTX1P1,0
4389, FAM197Y2P,1
4390,BETA2,36639
4391,DJ80I19.4,0
4392,COL6A4,13
4393,GCPL1,1
4394, SD,500458
4395, KRTAP4-15,0
4396,TCRBV31S1,0
4397, CKR-1,22
4398,LYS2,365
4399,ACA59,0
4400,DFNB26,3
4401, CD85J,93
4402,NBP1,31
4403,C16ORF45,2
4404,PAR2,2618
4405, SPC1,173
4406,OR11-3,3
4407, LY94,1
4408, SETD8P1,0
4409,DAT,11345
4410, PLC-ETA2,3
4411, MGC15057,0
4412,AZI1,43
4413,TCEB1P4,0
4414, AT744.1,1
4415,A26B3,0
4416,TTD,1868
4417,MRP-S28,0
4418, MEGT-1,0
4419,TR1,2080
4420, FLJ32855,0
4421,DHQ52,18
4422,PCD,11640
4423, LIR4,6
4424, NOPR,65
4425,DF5L,0
4426, SAP1,334
4427, NG5,1846
4428,DEC-205,453
4429, DMT1,1375
4430, LYRM6,4
4431,CPSB,121
4432, C6ORF82,0
4433,CHP,5140
4434,D6S103E,0
4435,MGC16037,0
4436,RCA1,265
4437,OR17-2,0
4438, SPRING,137149
4439, MCT1,1694
4440,BA145L22,0
4441,CT153,2
4442,CT47.8,0
4443,FXIIIB,124
4444,IDP,3995
4445,RNU4P2,0
4446, ING2,147
4447, CNRN7,0
4448, MTND,46
4449, MGC35212,0
4450, ZNF286L,0
4451,FBL7,2
4452, MINK,6761
4453,HS6M1-28,0
4454,SELENOR,0
4455,CNK,241
4456, MIRN1229,10
4457,P2Y11,277
4458,DJ111M5.4,0
4459,ENSG00000226029,1
4460,APT2,122
4461,TRAP,55660
4462,MGC33147,0
4463, OR2H5,0
4464,SWAP,2797
4465, IL-20,504
4466, FY,4550
4467,NKAT7,0
4468,H4C14,0
4469, MNAB,19
4470,GAL7,223
4471,HTR7P,1
4472, L9,3742
4473, CDR,9448
4474,CMS1B,1
4475,OCIF,96
4476, LD78ALPHA,11
4477,HSA-MIR-6089-1,0
4478,C6ORF26-AS1,0
4479,CTB,3302
4480, P51,10429
4481, MGC44947,0
4482,DEFB103,31
4483, KVLQT1,372
4484, MGC118899,0
4485,SPDYE15P,0
4486,HL2,589
4487, WIPI4,40
4488,RN5-8S1,0
4489,TLL,1268
4490, U13,985
4491, OST717,0
4492,DRP1,3840
4493,CD158C,1
4494,C18orf53,0
4495,BA338L20.1,0
4496,GPR1,276
4497, MMAC1,241
4498, SYT14L,1
4499,AMY1,393
4500,TFIIF,425
4501,LZTR2,2
4502, MIC10,61
4503, VU1.13,0
4504, APX,3846
4505,FAM90A22P,0
4506,PRG,1418
4507,PLCE,35
4508, SNORA76A,0
4509, SBDN,5
4510, FLJ11583,0
4511, MTXN,5
4512, SFTPH,0
4513, SYNDIG4,9
4514, P68,734
4515, LCN1L1,0
4516, p62,11729
4517, SMCR7,0
4518,NSFP,10
4519,C14ORF9,0
4520,MATL2963,0
4521, FAC,18953
4522,EFERIN,6
4523,CLA1,126
4524,DNM1DN3-4,0
4525,H2AC17,1
4526,BRCC1,12797
4527, TAS2R55,0
4528,PRX2,312
4529, CRNR8,0
4530,EM:AB023051.5,600323
4531,CT80.1,0
4532,IGKV112,2
4533, L15,1904
4534,USP17L1P,0
4535,DDAH,564
4536,MGF,1692
4537,SNF2,1501
4538, C20ORF31,1
4539,BCH,4393
4540, SWAP,2797
4541,C1GALT2,2
4542, ZNF898,0
4543,C8ORF8,0
4544, ZC3HDC3,1
4545, DKFZP434O192,0
4546,MKS,1775
4547,FLJ10052,0
4548,FUS1,263
4549,COX8-3,1
4550, RPL7B,7
4551, KAP1.1A,0
4552, FRAG1,19
4553,BA346B7.1,0
4554, LRP,4946
4555,DJ271M21,0
4556,DJ377H14.7,0
4557,DKFZP434E2321,0
4558, MPV17L1,0
4559, KRTAP9P1,0
4560,C14ORF18,0
4561,FH,19115
4562,P78,424
4563, PBF,2373
4564,HEL-S-284,0
4565,C6orf37,5
4566,CDF,3767
4567, PLI,2256
4568,MBP1,272
4569,C1ORF89,0
4570,LOC284454,6
4571, NET13,1
4572,L13A,105
4573,CT1.6,3
4574, CRD,9328
4575,CAHL,26
4576,ATPIIB,0
4577,ERK3-RELATED,4
4578, CTSL1P5,0
4579, KIAA1456,11
4580,FLJ10883,0
4581,MS4A4,6
4582,PBMUCL1,1
4583,MDDGC7,0
4584, ITPK1-AS,0
4585, MNS,5336
4586,HSD3,159
4587,MGC13687,0
4588, CYP2A,405
4589,C21ORF56,2
4590, P-DLG,2
4591, SYD1,36
4592,SAZD,2
4593, US12M,0
4594, SHOXY,0
4595, MGU2-19/30,1
4596,MGL,89751
4597, MFSD14C,0
4598,SDR25C3,0
4599, SNORA41A,0
4600,EF-C,55
4601,PCDH-BETA2,0
4602,IGHV(II)-49-1,0
4603,CT78,1
4604,LINC01869,0
4605, p67,1380
4606, TCRBV5S6,0
4607,NRP,2260
4608, LEC2,235
4609, CRNR1,0
4610,H2BFG,0
4611, EIF-4C,185
4612,PPN,1814
4613,KIR15,3
4614, CTRN2,1
4615,C6ORF16,0
4616, RH,655203
4617, FLJ20199,0
4618,EM:AB014080.3,600323
4619, MCT7,16
4620, RASP,788
4621,CDG1P,0
4622,AC012044.5,0
4623, NOLA3,5
4624,MEGAMIND,1
4625,RN5S340,0
4626,KOX12,3
4627,H1RNA,9
4628,HLP3,15
4629, EM:AC022400.11,600323
4630,C14ORF182,0
4631, G18,401
4632,APM-1,19
4633, OR5R1P,0
4634,GPR58,4
4635, RP11,1067
4636,IK1,1620
4637,ARL17,3
4638, FMP30,2
4639, SNORA10A,0
4640,ICBP90,59
4641, MARCH-VIII,1
4642, C21ORF78,0
4643, KRTAP3P1,0
4644, MIR1201,3
4645,CBAP,39
4646, LAP1,230
4647,TOB55,18
4648,C17ORF91,4
4649,YMR292W,0
4650, AR,256155
4651, MGC40107,0
4652, TRBV113,1
4653, OCP2,31
4654,DEC1,2648
4655,OSCP,202
4656,CT45-5,0
4657, HSPC252,0
4658,DSS,17820
4659,ALPHAGMR,8
4660,PBP,3210
4661,TS,57397
4662,MPP6,55
4663,U88,105
4664, RDC1,76
4665,FPTB,11
4666, TNFSF1,9
4667,RSRFR2,1
4668, WNT15,16
4669,PUM,1165
4670, RNU1A3,0
4671,MGC21738,0
4672,KIAA0356,0
4673,MUC9,17
4674,MRPS31P3,0
4675, D6S81E,3
4676, RNCR3,20
4677, MTR2,70
4678, TRBV53,0
4679,CT64,11
4680,TIH1,13
4681,ODC1L,0
4682,LAM,52632
4683,D-X,2314
4684,IGHV(IV)-44-1,0
4685,B144,40
4686,HYPF,103
4687,FCGR3,23582
4688,CKTSF1B1,73
4689,HED,1694
4690,MLD,4866
4691, SIGLECP2,0
4692,P5,15612
4693,CA5BL,0
4694, RFLAT-1,5
4695,L13,1451
4696,TCRBV26S1,0
4697, NCRNA00171,0
4698, BPG299F13.9,0
4699, ARTD2,10
4700, PD1,25842
4701,PCL,18888
4702,BA128B16.2,0
4703,OR17-25,2
4704, Rsc6p,1
4705,CHIP28,2414
4706, LGMD2L,51
4707,TIC,10524
4708,HL,506758
4709,K8,2708
4710,POU5F1,3930
4711,KRTHB1,2
4712,GIP,6139
4713,CSNB1C,0
4714,MM1,7312
4715,PKR2,144
4716, UNQ3037,0
4717,TCRAV25S1,0
4718,GLP,23503
4719, EBN,486
4720,FLJ00173,0
4721, TTC15,1
4722, EIF3S8,5
4723, SLRR5B,0
4724,HNRNP,8380
4725,H3.4,67
4726, SARS,244107
4727,p32,3508
4728, NB,34511
4729, FTDP-17,12967
4730,TEX4,5
4731,EM:AC006046.3,600323
4732,MOSP,42
4733,C6ORF26,2
4734,TCRBJ1S3,0
4735, MAGEL3,0
4736,DNM1DN3-1,0
4737, MIP224,1
4738,EVR1,15
4739,IGKV1/OR2-118,63
4740,OCT6,180
4741, SERF1,5
4742,p59,342
4743,CSN1,3293
4744,C22ORF14,0
4745, RCK,544
4746,CLECSF13,1
4747, FLJ42958,0
4748,TCRB,542
4749,DKFZP434D0215,0
4750,CATL,217
4751,L1,180965
4752, US5,136
4753,HSA-MIR-6881,0
4754,LINC01658,0
4755,CRYA1,19
4756,NSP2,1180
4757,C20orf36,0
4758,DUX4,635
4759,CT5.2,1
4760, TMEM228,0
4761, TIG1,162
4762, MT-A70,18
4763,BDPLT2,1639
4764,IGLV(VII)-41-1,1
4765, TNFC,38
4766,HS6M1-27,0
4767,3'OY11.1,0
4768, L1,180965
4769, TRBV241,0
4770,H3C8,1
4771, WAGR,295
4772,IGKV3/OR2-5,0
4773, NOD8,17
4774, RABIP4,13
4775,MADA,4613
4776, KIAA1988,1
4777,UGT1.3,1
4778, HLA-DZA,0
4779,ZWS,32
4780,IFRG28,0
4781, PPP1R34,0
4782,MDC,9573
4783,BEC1,88
4784, TMEM16M,0
4785, NOT3,25
4786,HNRNP-G,42
4787,BA4204.1,0
4788,U92032.1,0
4789, ZNF903,0
4790,DGS,1462
4791, CRF1,1061
4792, OR2A6,0
4793, IDD,4569
4794,C37,683
4795, FRUITLESS,716
4796, CD167,3
4797,EIF-2A,36
4798,PCDH-BETA13,0
4799, HU1-1,3
4800,APITD1,6
4801,BIS,129460
4802,KILLIN,66
4803, P140CAP,42
4804,KCNJN1,1
4805, OR6-9,3
4806, TRIP9,2
4807,PM,114541
4808,TRBP,271
4809, TCRBV2S1,5
4810, RNU3IP1,0
4811,CTPA,1829
4812,BHLHB25,0
4813,PRIP,193
4814,p52,1820
4815, G2,95882
4816,CT47.4,0
4817, TRBV102,0
4818,DM1,4080
4819,H4C4,19
4820, M-LPH,9
4821,FBX30,0
4822,TPC,6450
4823,KRTAP18-9,0
4824,TMSNB,3
4825,LINC00087,1
4826,TCRAV28S1,0
4827, NKAT8,1
4828, SAC3,110
4829, MGC138549,0
4830,FP,32393
4831,FLJ39599,0
4832,CFAP14,0
4833,OCTD,27
4834, ZAP-70,2229
4835, CNRN1,0
4836,ERG3,250
4837,GRCC9,0
4838,TCRBV11S2,0
4839, HSP12A,5
4840, PTD001,0
4841,OTTHUMG00000130506,0
4842, HSA404617,0
4843,RNU36C,0
4844, FLJ14466,1
4845, MASL1,9
4846,LRP,4946
4847,GP180,77
4848, KE-3,23
4849,CSBS,4147
4850,EIF2S2P,0
4851, NET1,293
4852,CASP16,4
4853,OAT1,872
4854,OCT2,1453
4855, LCPAT1,5
4856, MINT,6406
4857, TRIC,941
4858,HSA-MIR-4666,0
4859,SMA3,99
4860,PLA2,8032
4861,ZNF286C,0
4862,APC7,27
4863,HNP-1,578
4864,L31,511
4865,ARM,221091
4866, SARAP,68
4867,TCRAV21S1,0
4868,MCP,36039
4869,C17ORF26,0
4870,FLJ37712,0
4871, LRRC29,1
4872,CK,44321
4873, C8ORF5,0
4874, H4F5C,0
4875,BD-4,93
4876,lnc,4007
4877, TNFSF3,2
4878, HNP-3,158
4879,D6S206,0
4880,CAD,66425
4881, TCRBV6S6,0
4882,DYT23,9
4883,TTP,10273
4884, C2ORF14,0
4885,FLJ20101,0
4886,IBP1,20
4887, ETL1,12
4888,HYOU1-AS,1
4889, RP2,1005
4890, OTTHUMG00000018163,0
4891,FEVR,370
4892, KNO,1550
4893,OR17-23,1
4894, HMSE1,6
4895, GOLGA2P2,0
4896, WASH1,14
4897,GCN5,1506
4898,IGHV1-E,0
4899, CV2,1511
4900, MIRN23A,415
4901, KIR2DL6,2
4902,CH507-154B10.1,0
4903,ATTHOG,1
4904, SLC9A10,3
4905,D6S2245E,0
4906,HSU7.36,0
4907, TCRBV4S1A1T,0
4908, SCYA4,10
4909,TCRBV5S7,0
4910,TAF2C2,1
4911,CD314,37
4912, SHIP,17068
4913,CALDAG-GEFI,87
4914,NAP1L,10
4915, TLX,1029
4916,PAT1A,13
4917, OR6-5,5
4918,FLJ45465,0
4919,H2A.2,56
4920, G8,3765
4921,CBLA,170
4922,B61,293
4923,SBP1,228
4924, LPAAT-E,0
4925,XXBAC-BPG27H4.8,0
4926, HI,1307675
4927,p27,14545
4928,GJA10,36
4929,IGHV3-G,0
4930,DHRS5X,0
4931, OTTHUMT00000055623,0
4932, FAP172,2
4933, HMSE,76
4934, CNRS3,0
4935, LMP2,992
4936,DEL22q13.3,0
4937,PTX1,111
4938, MIRN124-1,1
4939,CHN,5984
4940, NCRNA00208,0
4941,hBD-4,45
4942, KAE1,111
4943,LNCC11ORF54-1,1
4944, T-BTF2P44,0
4945,RDC-1,20
4946,LONP,23
4947,D15ERTD747E,0
4948, TRBV79,6
4949,DAP6,2
4950,KIAA0691,0
4951, TNFSF2,17
4952,PAR4,1268
4953,CAL,30821
4954, TR1,2080
4955,INV,7214
4956,ERG1,2332
4957,C6ORF25,4
4958, C1ORF224,0
4959, GOLGA9P,0
4960,MINER2,7
4961,TCRBV6S8A2T,0
4962,H2AC16,0
4963, PDI5,7
4964,CAB2,94
4965,NDPP1,2
4966,GNT-IVB,8
4967,RNU1-102,0
4968,INOS,32517
4969, DSK2,96
4970,PHP,6853
4971,CD3G,116
4972,COD3,12
4973,CEP4,16
4974,CT1.9,2
4975,ANT3,206
4976, MRVLDC2,0
4977,KAP3.2,0
4978,PMR1,215
4979,MPP11,15
4980, OSR1,419
4981,GOLGA6L18,0
4982,p50,116545
4983,RPP2,34
4984,TCRBV13S5,1
4985, SCYA14,5
4986, WBSCR20C,2
4987, CTAGE4,4
4988,NAPB,2048
4989,CLE,2781
4990, TRK,3895
4991,COD5,9
4992,NBIA3,118
4993,RP5-845O24.6,0
4994,CMT2B2,10
4995, TCRBV6S7,7
4996,PTS1R,6
4997, BAT4,7
4998, C6ORF53,0
4999, FLJ10257,0
5000, TCAF2BP,0
5001,DEFB4,135
5002,SK1,775
5003,MSK16,7
5004,IGHV(II)-53-1,0
5005, TMEM16E,251
5006,P14,5540
5007,P41NOXA,0
5008,CRABP-I,356
5009,NG23,8
5010,PPCD,151
5011, FRG,25441
5012, RPT3,62
5013, P60,16806
5014,MOX1,68
5015, YR-23,51
5016, HSFYL1,0
5017,PRO1,449
5018,GSTAP2,1
5019,TCRAV32S1,0
5020,BSSP-4,0
5021, MGC41943,0
5022, INO80F,0
5023, CT45A4,0
5024,R2,151808
5025, LIR,1317
5026,C16ORF10,0
5027,RNU38B,1
5028,Y4,2325
5029,OR5AL1P,0
5030,UbcM2,17
5031, U2,5189
5032, OLF4p,0
5033,OR52E1P,0
5034, LIRF,8
5035,ARC34,1
5036,WASH,30956
5037,UBQLN1P,0
5038,MT1K,8
5039,GPVI,1116
5040,SDH,7565
5041,STZ,16396
5042, KRTAP4P1,0
5043,RIF,7525
5044,BORG3,8
5045,RNU6-6,0
5046,RP11-284F21.9,3
5047, CMRF35A,4
5048,TBC1D3L,0
5049, CD158A,193
5050, FLJ43842,0
5051, SCYA23,2
5052,PLEKHA3P,0
5053, VNN3,28
5054, TIF-IA,74
5055,RNU6-17,0
5056,GRTH,496
5057,AP-1,19719
5058, NUDT16P,1
5059,LOR,1861
5060, Vph1,62
5061,CXXC11,2
5062,LOH2CR12,1
5063,CACC,53072
5064,CT4.2,0
5065,P28,1699
5066,RNU6-1221P,0
5067,CT1.5,1
5068,IPS-1,491
5069,DGK,1232
5070,BA261P9.2,0
5071, KIAA0665,1
5072,ORF1,2759
5073,SBP,30860
5074,P40,15523
5075, DPCR1,17
5076, LNC-CTHCC,1
5077, DJ570F3.6,0
5078, OSTCL,1
5079, MGC50273,0
5080, TASP,394
5081, TCRBV7S5,0
5082,C10orf101,0
5083, HC3,626
5084, KIAA0387,0
5085, WDR82,50
5086,SM25H2,0
5087,HC8,33
5088,GRF2,180
5089, D6S82E,0
5090,RINZF,2
5091,SMCC,512
5092, P27,14545
5093, RIG,6786
5094, EMRE,2347
5095, IGHD44,0
5096,T2R62,0
5097, DNM1P42,0
5098, CAK1,61
5099,P47,3309
5100, NKX5-3,13
5101,FBL5,1
5102,HEPTP,64
5103, EIF-2B,653
5104, COTE1,9
5105, HCC-3,304
5106,HSA-MIR-6848,0
5107,P11,6046
5108, EM:AB023049.7,600323
5109,IGHV(III)-22-2,0
5110, FLJ35333,0
5111, CNRS2,2
5112,CRP1,162
5113, GLUDP7,0
5114, D6S49E,0
5115,DXS648E,0
5116,PDCR,44
5117, RPS12,332
5118,NET3,398
5119, APEX,39458
5120,BA421M1.5,0
5121, CFAG,18
5122,C21ORF51,1
5123,ABL,32549
5124,SR,98826
5125,QPC,238
5126, THEX1,1
5127, OPAL1,7
5128,CT24.2,0
5129, NSE2,57
5130, LIR7,6
5131,AGPAT7,3
