,ambiguous symbol,number of abstracts with a match
1254, RAC-GAMMA,9
1255,HLS2,15
1256,DADR,35
1257, LNMAT1,4
1258, IDDM1,93405
1259, ACAC1,4
1260,HPRP31,9
1261, HRFT3,5
1262, CGRP,11940
1263,GIG18,3
1264, CAH1,41
1265,beta3Gn-T8,7
1266,HL-2,757
1267,DOR1,75
1268, CTSLL5,0
1269,BTN1,44
1270,HIST1H2BG,6
1271,RIM,24597
1272, DLB1,50
1273, ML45,31
1274,PP2C-DELTA,0
1275,p49,481
1276, MIF-AS,235
1277,C20ORF50,0
1278, KRTAP5.5,2
1279,C16ORF61,2
1280,DRF1,39
1281, IPOB,6
1282,TC,124554
1283,TCONS_00019777,266
1284, IGKV2/OR2-1A,32
1285, OST,5817
1286, REC8L1,1
1287, EIF1A,173
1288,CT45-4,0
1289, FSP1,699
1290,GGT,9909
1291,C9ORF14,1
1292,HSA-MIR-4298,0
1293, HEPIS,4
1294,BIG3,40
1295,U82,75
1296,ACS3,59
1297, SMILE,11868
1298, NET49,0
1299, TCRBV21S3A2N2T,0
1300,FBL2,8
1301, C2CD1,0
1302, FAM4A,0
1303, D6S216E,0
1304, PAFAH,505
1305, C4A2,53
1306,DKFZP434N062,0
1307,CAV,6603
1308, TAKL-1,0
1309,FAD,11306
1310, NCRNA00319,0
1311, PEAK2,42
1312,KRTAP5-11,0
1313,CELL,8343576
1314, TINF1,0
1315, OFD1PY16,0
1316,DFNB49,14
1317, TAT-SF1-L,0
1318,TCRBV6S1A1N1,0
1319,FSP1,699
1320, LCN14,3
1321,TIP39,91
1322, PXR1,12
1323, CIA,6573
1324, NCRNA00281,0
1325, E4,22942
1326,HNRPA3,5
1327,OR11-13,1
1328, NSE3,32
1329, MYOHD1,1
1330, G10,2975
1331,L4,26242
1332, STK22E,0
1333, NAALADASE2,0
1334,DAGK6,0
1335, XAGE1D,5
1336, PPP1R125,0
1337, FLJ30357,0
1338, TGN46,90
1339, P220,278
1340, STING,34408
1341,GOLGA6L20,0
1342,OR4K15Q,0
1343, MGC26158,0
1344,RBP2,261
1345,BAP,11318
1346,PhLP,87
1347, IFITMD7,0
1348, TCRBV7S2,0
1349,ATP5A,97
