,alias_symbol,gene_symbol,ENSG_ID,source,gene_symbol_count
1179,GNT1,"UGT1A6, UGT1A, UGT1A10, UGT1A1, UGT1A4, UGT1A8, UGT1A7","ENSG00000167165, nan, ENSG00000242515, ENSG00000241635, ENSG00000244474, ENSG00000242366, ENSG00000244122",NCBI Info,54
1270,H3C10,"H3C8, H3C4, H3C6, H3C11, H3C12, H3C1, H3C3, H3C7, H3C2","ENSG00000273983, ENSG00000197409, ENSG00000274750, ENSG00000275379, ENSG00000197153, ENSG00000275714, ENSG00000287080, ENSG00000277775, ENSG00000286522",NCBI Info,54
1271,H3C11,"H3C1, H3C4, H3C7, H3C2, H3C6, H3C12, H3C8, H3C3, H3C10","ENSG00000275714, ENSG00000197409, ENSG00000277775, ENSG00000286522, ENSG00000274750, ENSG00000197153, ENSG00000273983, ENSG00000287080, ENSG00000278828",NCBI Info,54
3345,env,"LOC124904439, LOC124901580, ERVK-18, ERVK-20, ERVK-32","nan, nan, nan, nan, nan",NCBI Info,53
4006,F379,"FAM138E, FAM138F, FAM138B, FAM138D, FAM138C, FAM138A","ENSG00000248893, ENSG00000282591, ENSG00000226516, ENSG00000262927, ENSG00000218839, ENSG00000237613",ENSG,52
3060,TFIIH,"GTF2H1, ERCC3, GTF2H2, GTF2H5, ERCC2, GTF2H4, GTF2H3","ENSG00000110768, ENSG00000163161, ENSG00000145736, ENSG00000272047, ENSG00000104884, ENSG00000213780, ENSG00000111358",NCBI Info,52
980,F379,"FAM138F, FAM138A, FAM138C, FAM138E, FAM138B, FAM138D","ENSG00000282591, ENSG00000237613, ENSG00000218839, ENSG00000248893, ENSG00000226516, ENSG00000249054",NCBI Info,52
828,DNM1DN11@,"DNM1P40, DNM1P38, DNM1P41, DNM1P36, DNM1P43, DNM1P44","nan, nan, nan, nan, nan, nan",NCBI Info,52
267,F379,"FAM138B, FAM138F, FAM138D, FAM138C, FAM138A, FAM138E","ENSG00000226516, ENSG00000282591, ENSG00000249054, ENSG00000218839, ENSG00000237613, ENSG00000248893",HGNC,52
2459,PRC17,"TBC1D3D, TBC1D3E, TBC1D3B, TBC1D3C, TBC1D3, TBC1D3I","ENSG00000274419, ENSG00000278599, ENSG00000274808, ENSG00000278299, ENSG00000274611, ENSG00000274933",NCBI Info,51
218,ASP,"ASPM, ATG5, TMPRSS11D, C3, ROPN1L, A1CF, ASPA, ASIP","ENSG00000066279, ENSG00000057663, ENSG00000153802, ENSG00000125730, ENSG00000145491, ENSG00000148584, ENSG00000108381, ENSG00000101440",NCBI Info,51
2792, U4,"RNU4-8P, RNU4-5P, RNU4-1, RNU4-6P, RNU4-7P, RNU4-4P","ENSG00000201806, ENSG00000272160, ENSG00000200795, ENSG00000222736, ENSG00000201628, ENSG00000201458",ENSG,51
424,CAR,"CASR, PRKAR1A, CXADRP1, TRIM13, CXADR, SPG7, NR1I3","ENSG00000036828, ENSG00000108946, ENSG00000214319, ENSG00000204977, ENSG00000154639, ENSG00000197912, ENSG00000143257",NCBI Info,50
3415,p75,"PSIP1, TNFRSF1B, CUX1, SIGLEC7, KHSRP, TCF3, HCLS1","ENSG00000164985, ENSG00000028137, ENSG00000257923, ENSG00000168995, ENSG00000088247, ENSG00000071564, ENSG00000180353",NCBI Info,50
1445,HOX3,"HOXC12, HOXC13, HOXC9, HOXC8, HOXC5, HOXC4, HOXC6","ENSG00000123407, ENSG00000123364, ENSG00000180806, ENSG00000037965, ENSG00000273046, ENSG00000198353, ENSG00000197757",NCBI Info,49
1873,MIRHG1,"MIR18A, MIR19A, MIR19B1, MIR17HG, MIR20A, MIR92A1","ENSG00000283815, ENSG00000284204, ENSG00000284375, ENSG00000215417, ENSG00000283762, ENSG00000283705",NCBI Info,49
414,CAP,"HACD1, SERPINB6, LNPEP, SORBS1, CAP1, CTAA1, BRD4","ENSG00000165996, ENSG00000124570, ENSG00000113441, ENSG00000095637, ENSG00000131236, nan, ENSG00000141867",NCBI Info,49
2269,PAP,"MRPS30, PDAP1, REG3A, PAPOLA, ASAP1, TUSC2, ASAP2","ENSG00000112996, ENSG00000106244, ENSG00000172016, ENSG00000090060, ENSG00000153317, ENSG00000114383, ENSG00000151693",NCBI Info,49
2807,SIP,"CACYBP, TP53INP1, RBM14, RBM14-RBM4, KANK2, TSACC","ENSG00000116161, ENSG00000164938, ENSG00000239306, ENSG00000248643, ENSG00000197256, ENSG00000163467",NCBI Info,49
1446,HOX4,"HOXD8, HOXD11, HOXD1, HOXD10, HOXD9, HOXD3, HOXD4","ENSG00000175879, ENSG00000128713, ENSG00000128645, ENSG00000128710, ENSG00000128709, ENSG00000128652, ENSG00000170166",NCBI Info,49
1872,MIRH1,"MIR92A1, MIR19A, MIR18A, MIR19B1, MIR20A, MIR17HG","ENSG00000283705, ENSG00000284204, ENSG00000283815, ENSG00000284375, ENSG00000283762, ENSG00000215417",NCBI Info,49
351,C13orf25,"MIR17HG, MIR19B1, MIR18A, MIR92A1, MIR20A, MIR19A","ENSG00000215417, ENSG00000284375, ENSG00000283815, ENSG00000283705, ENSG00000283762, ENSG00000284204",NCBI Info,49
653,PAP,"MRPS30, ACP3, ASAP1, PAPOLA, PDAP1, TUSC2, ASAP2","ENSG00000112996, ENSG00000014257, ENSG00000153317, ENSG00000090060, ENSG00000106244, ENSG00000114383, ENSG00000151693",HGNC,48
3238,UGT1A,"UGT1A7, UGT1A1, UGT1A10, UGT1A6, UGT1A4, UGT1A8","ENSG00000244122, ENSG00000241635, ENSG00000242515, ENSG00000167165, ENSG00000244474, ENSG00000242366",NCBI Info,47
3389,p40,"RPSA, TP63, ARMH1, H3P28, LANCL1, MAPK1, RABEPK","ENSG00000168028, ENSG00000073282, ENSG00000198520, nan, ENSG00000115365, ENSG00000100030, ENSG00000136933",NCBI Info,47
68,ASP,"A1CF, ATG5, ROPN1L, TMPRSS11D, ASPM, ASPA, ASIP","ENSG00000148584, ENSG00000057663, ENSG00000145491, ENSG00000153802, ENSG00000066279, ENSG00000108381, ENSG00000101440",HGNC,47
3361,p120,"NOP2, RASA1, BRD8, TRPA1, CTNND1, IGSF1, NSUN5","ENSG00000111641, ENSG00000145715, ENSG00000112983, ENSG00000104321, ENSG00000198561, ENSG00000147255, ENSG00000130305",NCBI Info,46
933,U3,"SNORD3P1, SNORD3P4, SNORD3P3, SNORD3A, SNORD3F","ENSG00000200318, nan, nan, ENSG00000263934, nan",HGNC,46
