gene_symbol,ENSG_ID,alias_symbol,source
CXADRP1,ENSG00000214319,CAR,HGNC
SPG7,ENSG00000197912,CAR,HGNC
NR1I3,ENSG00000143257,CAR,HGNC
CXADR,ENSG00000154639,CAR,HGNC
KRT8,ENSG00000170421,CARD2,HGNC
NOL3,ENSG00000140939,CARD2,HGNC
LINC00670,ENSG00000179136,CARDINAL,HGNC
CARD8,ENSG00000105483,CARDINAL,HGNC
BCL10,ENSG00000142867,CARMEN,HGNC
CARMN,ENSG00000249669,CARMEN,HGNC
MINDY3,ENSG00000148481,CARP,HGNC
CA8,ENSG00000178538,CARP,HGNC
ANKRD1,ENSG00000148677,CARP,HGNC
RFFL,ENSG00000092871,CARP2,HGNC
CA11,ENSG00000063180,CARP2,HGNC
BCAR1,ENSG00000050820,CAS,HGNC
CSE1L,ENSG00000124207,CAS,HGNC
CRTAP,ENSG00000170275,CASP,HGNC
CYTIP,ENSG00000115165,CASP,HGNC
CUX1,ENSG00000257923,CASP,HGNC
ERC2,ENSG00000187672,CAST,HGNC
POLR1G,ENSG00000117877,CAST,HGNC
TBX1,ENSG00000184058,CATCH22,HGNC
DGCR,,CATCH22,HGNC
CAV2,ENSG00000105971,CAV,HGNC
CA5A,ENSG00000174990,CAV,HGNC
CBLC,ENSG00000142273,CBL-3,HGNC
VTRNA2-1,ENSG00000270123,CBL-3,HGNC
CREBBP,ENSG00000005339,CBP,HGNC
PAG1,ENSG00000076641,CBP,HGNC
NOD2,ENSG00000167207,CD,HGNC
CTLA4,ENSG00000163599,CD,HGNC
FCGR3A,ENSG00000203747,CD16,HGNC
FCGR3B,ENSG00000162747,CD16,HGNC
IL2RA,ENSG00000134460,CD25,HGNC
ISG20,ENSG00000172183,CD25,HGNC
FCGR2B,ENSG00000072694,CD32,HGNC
FCGR2A,ENSG00000143226,CD32,HGNC
LILRB1,ENSG00000104972,CD85,HGNC
LILRA5,ENSG00000187116,CD85,HGNC
SLC7A5,ENSG00000103257,CD98,HGNC
SLC3A2,ENSG00000168003,CD98,HGNC
CDK11A,ENSG00000008128,CDK11-p110,HGNC
CDK11B,ENSG00000248333,CDK11-p110,HGNC
CDK11A,ENSG00000008128,CDK11-p46,HGNC
CDK11B,ENSG00000248333,CDK11-p46,HGNC
CDK11A,ENSG00000008128,CDK11-p58,HGNC
CDK11B,ENSG00000248333,CDK11-p58,HGNC
CDKN2A,ENSG00000147889,CDK4I,HGNC
CDKN2B,ENSG00000147883,CDK4I,HGNC
CALD1,ENSG00000122786,CDM,HGNC
BCAP31,ENSG00000185825,CDM,HGNC
RUNX1T1,ENSG00000079102,CDR,HGNC
AKR1C4,ENSG00000198610,CDR,HGNC
PSG2,ENSG00000242221,CEA,HGNC
CEACAM7,ENSG00000007306,CEA,HGNC
ELMO2,ENSG00000062598,CED-12,HGNC
ELMO1,ENSG00000155849,CED-12,HGNC
ELMO3,ENSG00000102890,CED-12,HGNC
ELMO1,ENSG00000155849,CED12,HGNC
ELMO3,ENSG00000102890,CED12,HGNC
ELMO2,ENSG00000062598,CED12,HGNC
HLA-DQA1,ENSG00000196735,CELIAC1,HGNC
HLA-DQB1,ENSG00000179344,CELIAC1,HGNC
CCNY,ENSG00000108100,CFP1,HGNC
CXXC1,ENSG00000154832,CFP1,HGNC
KTN1,ENSG00000126777,CG1,HGNC
MAMLD1,ENSG00000013619,CG1,HGNC
NUP42,ENSG00000136243,CG1,HGNC
GOLT1B,ENSG00000111711,CGI-141,HGNC
GOLT1A,ENSG00000174567,CGI-141,HGNC
S100A12,ENSG00000163221,CGRP,HGNC
CALCA,ENSG00000110680,CGRP,HGNC
MOV10L1,ENSG00000073146,CHAMP,HGNC
CHAMP1,ENSG00000198824,CHAMP,HGNC
GET1,ENSG00000182093,CHD5,HGNC
CHD6,ENSG00000124177,CHD5,HGNC
CDK13,ENSG00000065883,CHED,HGNC
OVOL2,ENSG00000125850,CHED,HGNC
NCOA5,ENSG00000124160,CIA,HGNC
ASF1A,ENSG00000111875,CIA,HGNC
ABHD14B,ENSG00000114779,CIB,HGNC
CIB1,ENSG00000185043,CIB,HGNC
TSPYL2,ENSG00000184205,CINAP,HGNC
AK6,ENSG00000085231,CINAP,HGNC
SLC12A9,ENSG00000146828,CIP1,HGNC
CDKN1A,ENSG00000124762,CIP1,HGNC
CIR1,ENSG00000138433,CIR,HGNC
KCNJ5,ENSG00000120457,CIR,HGNC
CXCR1,ENSG00000163464,CKR-1,HGNC
CCR1,ENSG00000163823,CKR-1,HGNC
ERVW-5,,CL2,HGNC
CCDC80,ENSG00000091986,CL2,HGNC
AP4S1,ENSG00000100478,CLA20,HGNC
AP3M2,ENSG00000070718,CLA20,HGNC
LGALS14,ENSG00000006659,CLC2,HGNC
CLCN2,ENSG00000114859,CLC2,HGNC
CRLF1,ENSG00000006016,CLF,HGNC
CRNKL1,ENSG00000101343,CLF,HGNC
CLIP1,ENSG00000130779,CLIP,HGNC
CLIP2,ENSG00000106665,CLIP,HGNC
POMC,ENSG00000115138,CLIP,HGNC
CD74,ENSG00000019582,CLIP,HGNC
IL12A,ENSG00000168811,CLMF,HGNC
IL12B,ENSG00000113302,CLMF,HGNC
CALML3,ENSG00000178363,CLP,HGNC
CSRP3,ENSG00000129170,CLP,HGNC
COTL1,ENSG00000103187,CLP,HGNC
CLUH,ENSG00000132361,CLU1,HGNC
CLU,ENSG00000120885,CLU1,HGNC
TNNT2,ENSG00000118194,CMPD2,HGNC
SCN5A,ENSG00000183873,CMPD2,HGNC
CNDP1,ENSG00000150656,CN1,HGNC
NT5C1A,ENSG00000116981,CN1,HGNC
PCDHA@,,CNR1,HGNC
PCDHA4,ENSG00000204967,CNR1,HGNC
C4A,ENSG00000244731,CO4,HGNC
C4B,ENSG00000224389,CO4,HGNC
OPN1LW,ENSG00000102076,COD5,HGNC
OPN1MW,ENSG00000268221,COD5,HGNC
COL6A4P1,ENSG00000230524,COL6A4,HGNC
COL6A4P2,ENSG00000228252,COL6A4,HGNC
RBBP8,ENSG00000101773,COM1,HGNC
NUPR1,ENSG00000176046,COM1,HGNC
TOMT,ENSG00000284844,COMT2,HGNC
LRTOMT,ENSG00000284922,COMT2,HGNC
COQ8A,ENSG00000163050,COQ8,HGNC
COQ8B,ENSG00000123815,COQ8,HGNC
MT-CO1,ENSG00000198804,COX1,HGNC
PTGS1,ENSG00000095303,COX1,HGNC
PTGS2,ENSG00000073756,COX2,HGNC
MT-CO2,ENSG00000198712,COX2,HGNC
CFDP1,ENSG00000153774,CP27,HGNC
CYP27A1,ENSG00000135929,CP27,HGNC
PPP1R14C,ENSG00000198729,CPI17-like,HGNC
PPP1R14D,ENSG00000166143,CPI17-like,HGNC
CYP11B1,ENSG00000160882,CPN1,HGNC
CPNE1,ENSG00000214078,CPN1,HGNC
CPNE2,ENSG00000140848,CPN2,HGNC
CYP11B2,ENSG00000179142,CPN2,HGNC
EBP,ENSG00000147155,CPX,HGNC
CPOX,ENSG00000080819,CPX,HGNC
TDGF1,ENSG00000241186,CR,HGNC
CD55,ENSG00000196352,CR,HGNC
LUC7L3,ENSG00000108848,CRA,HGNC
MTMR11,ENSG00000014914,CRA,HGNC
CRABP1,ENSG00000166426,CRABP-I,HGNC
RBP1,ENSG00000114115,CRABP-I,HGNC
RBP2,ENSG00000114113,CRABP-II,HGNC
CRABP2,ENSG00000143320,CRABP-II,HGNC
C1QL1,ENSG00000131094,CRF,HGNC
CRH,ENSG00000147571,CRF,HGNC
CORIN,ENSG00000145244,CRN,HGNC
CRNKL1,ENSG00000101343,CRN,HGNC
CRIP2,ENSG00000182809,CRP2,HGNC
CSRP2,ENSG00000175183,CRP2,HGNC
CEBPB,ENSG00000172216,CRP2,HGNC
ITPRID2,ENSG00000138434,CS-1,HGNC
MYOZ2,ENSG00000172399,CS-1,HGNC
CSH2,ENSG00000213218,CS-2,HGNC
MYOZ1,ENSG00000177791,CS-2,HGNC
ERCC8,ENSG00000049167,CSA,HGNC
CSH1,ENSG00000136488,CSA,HGNC
CSH2,ENSG00000213218,CSB,HGNC
ERCC6,ENSG00000225830,CSB,HGNC
CSRP1,ENSG00000159176,CSRP,HGNC
MED14,ENSG00000180182,CSRP,HGNC
SLC6A8,ENSG00000130821,CT1,HGNC
CTF1,ENSG00000150281,CT1,HGNC
NLRP4,ENSG00000160505,CT58,HGNC
CCN5,ENSG00000064205,CT58,HGNC
TSPY1,ENSG00000258992,CT78,HGNC
TSPY3,ENSG00000228927,CT78,HGNC
KIF20B,ENSG00000138182,CT90,HGNC
MPHOSPH10,ENSG00000124383,CT90,HGNC
CYP2A7,ENSG00000198077,CYP2A,HGNC
CYP2A13,ENSG00000197838,CYP2A,HGNC
CYP2A6,ENSG00000255974,CYP2A,HGNC
PPIL1,ENSG00000137168,CYPL1,HGNC
CYP51A1,ENSG00000001630,CYPL1,HGNC
CAMK2N1,ENSG00000162545,CaMKIINalpha,HGNC
CAMK2A,ENSG00000070808,CaMKIINalpha,HGNC
PPID,ENSG00000171497,CypD,HGNC
PPIF,ENSG00000108179,CypD,HGNC
ULK4P2,ENSG00000260128,D-X,HGNC
ULK4P1,ENSG00000261279,D-X,HGNC
ULK4P3,ENSG00000178081,D-X,HGNC
TPM2,ENSG00000198467,DA1,HGNC
IGHD4-11,ENSG00000232543,DA1,HGNC
TNNI2,ENSG00000130598,DA2B,HGNC
TNNT3,ENSG00000130595,DA2B,HGNC
DGKZ,ENSG00000149091,DAGK6,HGNC
DGKE,ENSG00000153933,DAGK6,HGNC
PARN,ENSG00000140694,DAN,HGNC
NBL1,ENSG00000158747,DAN,HGNC
IAPP,ENSG00000121351,DAP,HGNC
DNPEP,ENSG00000123992,DAP,HGNC
DLGAP4,ENSG00000080845,DAP4,HGNC
THAP12,ENSG00000137492,DAP4,HGNC
HSD17B4,ENSG00000133835,DBP,HGNC
GC,ENSG00000145321,DBP,HGNC
LRP2,ENSG00000081479,DBS,HGNC
MCF2L,ENSG00000126217,DBS,HGNC
MOGAT3,ENSG00000106384,DC7,HGNC
VPS29,ENSG00000111237,DC7,HGNC
PCA3,ENSG00000225937,DD3,HGNC
AKR1A1,ENSG00000117448,DD3,HGNC
YY1,ENSG00000100811,DELTA,HGNC
PSMB6,ENSG00000142507,DELTA,HGNC
DGKB,ENSG00000136267,DGK,HGNC
DGKE,ENSG00000153933,DGK,HGNC
DIAPH2,ENSG00000147202,DIA,HGNC
LIF,ENSG00000128342,DIA,HGNC
GRAMD4,ENSG00000075240,DIP,HGNC
TSC22D3,ENSG00000157514,DIP,HGNC
CCNDBP1,ENSG00000166946,DIP1,HGNC
NCKIPSD,ENSG00000213672,DIP1,HGNC
DOLK,ENSG00000175283,DK1,HGNC
IGHD5-12,ENSG00000211921,DK1,HGNC
ATP6V1G1,ENSG00000136888,DKFZp547P234,HGNC
