HGNC ID	Alias symbol	NCBI gene ID	Ensembl gene ID	Approved symbol
HGNC:28689	CTL3	126969	ENSG00000143036	SLC44A3
HGNC:49057		101928079	ENSG00000224081	SLC44A3-AS1
HGNC:54781		100420669	ENSG00000232658	SLC44A3P1
HGNC:13941	NG22	80736	ENSG00000204385	SLC44A4
HGNC:13941	CTL4	80736	ENSG00000204385	SLC44A4
HGNC:13941	FLJ14491	80736	ENSG00000204385	SLC44A4
HGNC:13941	TPPT	80736	ENSG00000204385	SLC44A4
HGNC:13941	DFNA72	80736	ENSG00000204385	SLC44A4
HGNC:28524	MGC34032	204962	ENSG00000137968	SLC44A5
HGNC:28524	CTL5	204962	ENSG00000137968	SLC44A5
HGNC:17939		50651	ENSG00000162426	SLC45A1
HGNC:16472	AIM-1	51151	ENSG00000164175	SLC45A2
HGNC:16472	OCA4	51151	ENSG00000164175	SLC45A2
HGNC:8642	IPCA-6	85414	ENSG00000158715	SLC45A3
HGNC:8642	prostein	85414	ENSG00000158715	SLC45A3
HGNC:8642	IPCA-2	85414	ENSG00000158715	SLC45A3
HGNC:8642	IPCA-8	85414	ENSG00000158715	SLC45A3
HGNC:29196	KIAA1126	57210	ENSG00000022567	SLC45A4
HGNC:56711		105375787	ENSG00000254019	SLC45A4-AS1
HGNC:30521	HCP1	113235	ENSG00000076351	SLC46A1
HGNC:30521	MGC9564	113235	ENSG00000076351	SLC46A1
HGNC:30521	PCFT	113235	ENSG00000076351	SLC46A1
HGNC:30521	HsPCFT	113235	ENSG00000076351	SLC46A1
HGNC:30521	hPCFT	113235	ENSG00000076351	SLC46A1
HGNC:16055	Ly110	57864	ENSG00000119457	SLC46A2
HGNC:56364	AL139041.1	127379751	ENSG00000271631	SLC46A2-AS1
HGNC:27501	DKFZp686A1775	283537	ENSG00000139508	SLC46A3
HGNC:27501	FLJ42613	283537	ENSG00000139508	SLC46A3
HGNC:25588	FLJ10847	55244	ENSG00000142494	SLC47A1
HGNC:25588	MATE1	55244	ENSG00000142494	SLC47A1
HGNC:51849		107075108	ENSG00000228983	SLC47A1P1
HGNC:53866		112451549	ENSG00000231625	SLC47A1P2
HGNC:26439	FLJ31196	146802	ENSG00000180638	SLC47A2
HGNC:26439	MATE2	146802	ENSG00000180638	SLC47A2
HGNC:26439	MATE2-K	146802	ENSG00000180638	SLC47A2
HGNC:26035	FLJ20489	55652	ENSG00000211584	SLC48A1
HGNC:26035	hHRG-1	55652	ENSG00000211584	SLC48A1
HGNC:26035	HRG1	55652	ENSG00000211584	SLC48A1
HGNC:26177	FLJ22269	84179	ENSG00000169026	SLC49A3
HGNC:26177	LP2561	84179	ENSG00000169026	SLC49A3
HGNC:16628	FLJ14784	84925	ENSG00000138463	SLC49A4
HGNC:16628	RCC4	84925	ENSG00000138463	SLC49A4
HGNC:30657	SCP	55974	ENSG00000169241	SLC50A1
HGNC:30657	RP11-540D14.5	55974	ENSG00000169241	SLC50A1
HGNC:30657	slv	55974	ENSG00000169241	SLC50A1
HGNC:30657	RZPDo834D038D	55974	ENSG00000169241	SLC50A1
HGNC:30657	HsSWEET1	55974	ENSG00000169241	SLC50A1
HGNC:30657	SWEET1	55974	ENSG00000169241	SLC50A1
HGNC:29955	OSTalpha	200931	ENSG00000163959	SLC51A
HGNC:29955	SLC51A1	200931	ENSG00000163959	SLC51A
HGNC:29956	OSTbeta	123264	ENSG00000186198	SLC51B
HGNC:29956	SLC51A1BP	123264	ENSG00000186198	SLC51B
HGNC:30225	FLJ10060	55065	ENSG00000132517	SLC52A1
HGNC:30225	GPCR42	55065	ENSG00000132517	SLC52A1
HGNC:30225	PAR2	55065	ENSG00000132517	SLC52A1
HGNC:30225	hRFT1	55065	ENSG00000132517	SLC52A1
HGNC:30225	RFVT1	55065	ENSG00000132517	SLC52A1
HGNC:30224	FLJ11856	79581	ENSG00000185803	SLC52A2
HGNC:30224	PAR1	79581	ENSG00000185803	SLC52A2
HGNC:30224	GPCR41	79581	ENSG00000185803	SLC52A2
HGNC:30224	D15Ertd747e	79581	ENSG00000185803	SLC52A2
HGNC:30224	RFVT2	79581	ENSG00000185803	SLC52A2
HGNC:30224	hRFT3	79581	ENSG00000185803	SLC52A2
HGNC:30224	RFT3	79581	ENSG00000185803	SLC52A2
HGNC:30224	HuPAR-1	79581	ENSG00000185803	SLC52A2
HGNC:16187	bA371L19.1	113278	ENSG00000101276	SLC52A3
HGNC:16187	hRFT2	113278	ENSG00000101276	SLC52A3
HGNC:16187	RFVT3	113278	ENSG00000101276	SLC52A3
HGNC:16187	RFT2	113278	ENSG00000101276	SLC52A3
HGNC:26001	FLJ20320	54896	ENSG00000040487	SLC66A1
HGNC:26001	LAAT-1	54896	ENSG00000040487	SLC66A1
