HGNC ID	Approved symbol	Gene group ID
HGNC:173	ACVR2A	346
HGNC:174	ACVR2B	346
HGNC:44161	ACVR2B-AS1	1987
HGNC:175	ACVRL1	345
HGNC:176	ACVRLK2	
HGNC:177	ACY1	1443
HGNC:178	ACY1L	
HGNC:24104	ACY3	
HGNC:179	ACYP1	
HGNC:180	ACYP2	
HGNC:181	AD1	
HGNC:182	AD2	
HGNC:183	AD3	
HGNC:184	AD4	
HGNC:185	AD5	
HGNC:186	ADA	1302
HGNC:1839	ADA2	1302
HGNC:30713	ADAD1	1303
HGNC:44550	ADAD1P1	
HGNC:44552	ADAD1P2	
HGNC:30714	ADAD2	1303
HGNC:187	ADAM1A	47
HGNC:44366	ADAM1B	47
HGNC:198	ADAM2	47
HGNC:209	ADAM3A	47
HGNC:210	ADAM3B	47
HGNC:212	ADAM5	47
HGNC:213	ADAM6	47
HGNC:214	ADAM7	47
HGNC:56152	ADAM7-AS1	1987
HGNC:56153	ADAM7-AS2	1987
HGNC:215	ADAM8	47|471
HGNC:216	ADAM9	47
HGNC:188	ADAM10	47|471
HGNC:189	ADAM11	47
HGNC:190	ADAM12	47
HGNC:43841	ADAM12-OT1	
HGNC:193	ADAM15	47
HGNC:195	ADAM17	47|471
HGNC:196	ADAM18	47
HGNC:197	ADAM19	47
HGNC:199	ADAM20	47
HGNC:20102	ADAM20P1	
HGNC:43901	ADAM20P2	
HGNC:43902	ADAM20P3	
HGNC:200	ADAM21	47
HGNC:19822	ADAM21P1	
HGNC:201	ADAM22	47
HGNC:202	ADAM23	47
HGNC:203	ADAM24P	47
HGNC:206	ADAM28	47
HGNC:207	ADAM29	47
HGNC:208	ADAM30	47
HGNC:15479	ADAM32	47
HGNC:15478	ADAM33	47
HGNC:16299	ADAMDEC1	
HGNC:217	ADAMTS1	50
HGNC:218	ADAMTS2	50
HGNC:219	ADAMTS3	50
HGNC:220	ADAMTS4	50
HGNC:221	ADAMTS5	50
HGNC:222	ADAMTS6	50
HGNC:223	ADAMTS7	50
HGNC:49407	ADAMTS7P1	
HGNC:49408	ADAMTS7P2	
HGNC:49409	ADAMTS7P3	
HGNC:49410	ADAMTS7P4	
HGNC:56992	ADAMTS7P5	
HGNC:224	ADAMTS8	50
HGNC:13202	ADAMTS9	50
HGNC:40625	ADAMTS9-AS1	1987
HGNC:42435	ADAMTS9-AS2	1987
HGNC:13201	ADAMTS10	50
HGNC:14605	ADAMTS12	50
HGNC:1366	ADAMTS13	50
HGNC:14899	ADAMTS14	50
HGNC:16305	ADAMTS15	50
HGNC:17108	ADAMTS16	50
HGNC:58093	ADAMTS16-AS1	1987
HGNC:55548	ADAMTS16-DT	1990
HGNC:17109	ADAMTS17	50
HGNC:17110	ADAMTS18	50
HGNC:17111	ADAMTS19	50
HGNC:40797	ADAMTS19-AS1	1987
HGNC:17178	ADAMTS20	50
HGNC:16662	ADAMTS21	
HGNC:14632	ADAMTSL1	947|1691|593
HGNC:14631	ADAMTSL2	947
HGNC:14633	ADAMTSL3	593|947|594
HGNC:19706	ADAMTSL4	947|1691
HGNC:32041	ADAMTSL4-AS1	1987
HGNC:40895	ADAMTSL4-AS2	1987
HGNC:27912	ADAMTSL5	947
HGNC:16486	ADAP1	682|395
HGNC:16487	ADAP2	395|682
HGNC:225	ADAR	1303
HGNC:226	ADARB1	1303
HGNC:227	ADARB2	1303
HGNC:23299	ADARB2-AS1	1987
HGNC:228	ADAT1	1303
HGNC:21172	ADAT2	1303
HGNC:25151	ADAT3	1303
HGNC:19038	ADCK1	
HGNC:19039	ADCK2	
HGNC:21738	ADCK5	
HGNC:229	ADCP1	
HGNC:230	ADCP2	
HGNC:231	ADCR	
HGNC:232	ADCY1	53
HGNC:233	ADCY2	53
HGNC:234	ADCY3	53
HGNC:235	ADCY4	53
HGNC:236	ADCY5	53
HGNC:237	ADCY6	53|1691
HGNC:53332	ADCY6-DT	1990
HGNC:238	ADCY7	1691|53
HGNC:239	ADCY8	53
HGNC:240	ADCY9	53
HGNC:21285	ADCY10	53
HGNC:44143	ADCY10P1	
HGNC:241	ADCYAP1	1902
HGNC:242	ADCYAP1R1	264
HGNC:243	ADD1	2050
HGNC:244	ADD2	2050
HGNC:245	ADD3	2050
HGNC:48682	ADD3-AS1	1987
HGNC:246	ADDL	
HGNC:247	ADFN	
HGNC:21212	ADGB	975
HGNC:55654	ADGB-DT	1990
HGNC:13838	ADGRA1	911
HGNC:49543	ADGRA1-AS1	1987
HGNC:17849	ADGRA2	594|911
HGNC:13839	ADGRA3	593|911
HGNC:55918	ADGRA3P1	
HGNC:943	ADGRB1	912
HGNC:944	ADGRB2	912|1691
HGNC:945	ADGRB3	912
HGNC:55774	ADGRB3-DT	1990
HGNC:19893	ADGRD1	914
HGNC:53314	ADGRD1-AS1	1987
HGNC:18651	ADGRD2	914
HGNC:3336	ADGRE1	915
HGNC:3337	ADGRE2	915|471
HGNC:23647	ADGRE3	915
HGNC:19240	ADGRE4P	915
HGNC:1711	ADGRE5	471|915
HGNC:18990	ADGRF1	916
HGNC:18991	ADGRF2P	916
HGNC:18989	ADGRF3	916
HGNC:19011	ADGRF4	916
HGNC:19030	ADGRF5	594|593|916
HGNC:40864	ADGRF5-AS1	1987
HGNC:32922	ADGRF5P1	
HGNC:32921	ADGRF5P2	
HGNC:4512	ADGRG1	917
HGNC:4516	ADGRG2	917
HGNC:13728	ADGRG3	917
HGNC:18992	ADGRG4	917
HGNC:19010	ADGRG5	917
HGNC:13841	ADGRG6	917
HGNC:19241	ADGRG7	917
HGNC:20973	ADGRL1	918|2314
HGNC:55309	ADGRL1-AS1	1987
HGNC:18582	ADGRL2	918|2314
HGNC:20974	ADGRL3	2314|918
HGNC:50604	ADGRL3-AS1	1987
HGNC:20822	ADGRL4	918
HGNC:17416	ADGRV1	1244|919
HGNC:249	ADH1A	397
HGNC:250	ADH1B	397
HGNC:251	ADH1C	397
HGNC:252	ADH4	397
HGNC:253	ADH5	397
HGNC:254	ADH5P1	
HGNC:22976	ADH5P2	
HGNC:22991	ADH5P3	
HGNC:21377	ADH5P4	
HGNC:54523	ADH5P5	
HGNC:255	ADH6	397
HGNC:256	ADH7	397
HGNC:16354	ADHFE1	397
HGNC:30576	ADI1	
HGNC:52339	ADI1P1	
HGNC:52340	ADI1P2	
HGNC:52341	ADI1P3	
HGNC:28606	ADIG	
HGNC:56273	ADIPINT	1992
HGNC:13633	ADIPOQ	1372
HGNC:40648	ADIPOQ-AS1	1987
HGNC:24040	ADIPOR1	293|930
HGNC:44910	ADIPOR1P1	
HGNC:44911	ADIPOR1P2	
HGNC:24041	ADIPOR2	293|930
HGNC:16477	ADIR	
HGNC:24043	ADIRF	
HGNC:45127	ADIRF-AS1	1987
HGNC:15873	ADISSP	
HGNC:257	ADK	
HGNC:258	ADL	
HGNC:259	ADM	1902
HGNC:55516	ADM-DT	1990
HGNC:28898	ADM2	1902
HGNC:27293	ADM5	
HGNC:260	ADMLX	
HGNC:261	ADMLY	
HGNC:15766	ADNP	529|28
HGNC:51227	ADNP-AS1	1987
HGNC:23803	ADNP2	529|28
HGNC:23506	ADO	
HGNC:262	ADORA1	211
HGNC:263	ADORA2A	211
HGNC:37122	ADORA2A-AS1	1987
HGNC:264	ADORA2B	211
HGNC:265	ADORA2BP1	
HGNC:266	ADORA2L1	
HGNC:267	ADORA2L2	
HGNC:268	ADORA3	211|590
HGNC:25250	ADPGK	
HGNC:44144	ADPGK-AS1	1987
HGNC:269	ADPRH	
HGNC:21303	ADPRHL1	
HGNC:30925	ADPRM	1073
HGNC:21304	ADPRS	
HGNC:277	ADRA1A	169
HGNC:278	ADRA1B	169
HGNC:279	ADRA1C	
HGNC:280	ADRA1D	169
HGNC:281	ADRA2A	169
HGNC:282	ADRA2B	169
HGNC:283	ADRA2C	169
HGNC:284	ADRA2L1	
HGNC:285	ADRB1	169
HGNC:286	ADRB2	169
HGNC:287	ADRB2RL1	
HGNC:288	ADRB3	169
HGNC:15759	ADRM1	690
HGNC:291	ADSL	1569
HGNC:20093	ADSS1	
HGNC:292	ADSS2	
HGNC:293	ADT	
HGNC:294	ADTAA	
HGNC:295	ADTAB	
HGNC:296	ADTB1	
HGNC:299	ADTB2	
HGNC:300	ADTG	
HGNC:21214	ADTRP	
HGNC:301	AE1	
HGNC:302	AE2	
HGNC:303	AEBP1	1321|1691
HGNC:24051	AEBP2	28
HGNC:305	AEMK	
HGNC:25722	AEN	1691|544
HGNC:306	AEPLC	
HGNC:308	AEZ	
HGNC:309	AF8T	
HGNC:310	AFA	
HGNC:24017	AFAP1	682
HGNC:28141	AFAP1-AS1	1987
HGNC:26714	AFAP1L1	682
HGNC:25901	AFAP1L2	682
HGNC:311	AFCP	
HGNC:312	AFD1	
HGNC:7137	AFDN	1220
HGNC:21236	AFDN-DT	1990
HGNC:7135	AFF1	1280|1145
HGNC:53447	AFF1-AS1	1987
HGNC:3776	AFF2	1145|1280
HGNC:41334	AFF2-IT1	1989
HGNC:6473	AFF3	1280|1145
HGNC:17869	AFF4	1280|1145
HGNC:55235	AFF4-DT	1990
HGNC:56526	AFF4P1	
HGNC:16411	AFG1L	
HGNC:18119	AFG2A	413
HGNC:28762	AFG2B	413
HGNC:313	AFG3	
HGNC:314	AFG3L1P	413
HGNC:315	AFG3L2	413
HGNC:24169	AFG3L2P1	
HGNC:316	AFM	1620
HGNC:20910	AFMID	
HGNC:317	AFP	1620
HGNC:25951	AFTPH	1691
HGNC:52788	AFTPH-DT	1990
HGNC:318	AGA	
HGNC:27730	AGA-DT	1990
HGNC:16922	AGAP1	395|1291|403
HGNC:41427	AGAP1-IT1	1989
HGNC:16921	AGAP2	1291|403|395
HGNC:48633	AGAP2-AS1	1987
HGNC:16923	AGAP3	1291|403|395
HGNC:23459	AGAP4	395|1291|403
HGNC:23467	AGAP5	395|1291|403
HGNC:23466	AGAP6	1291|403|395
HGNC:23465	AGAP7P	395|403
HGNC:23464	AGAP8	
HGNC:23463	AGAP9	1291|403|395
HGNC:23462	AGAP10	
HGNC:23659	AGAP10P	395
HGNC:29421	AGAP11	395|1291|403
HGNC:23661	AGAP12P	395
HGNC:23499	AGAP13P	395
HGNC:23660	AGAP14P	395
HGNC:26504	AGBL1	1492|1321
HGNC:48617	AGBL1-AS1	1987
HGNC:26296	AGBL2	1321
HGNC:27981	AGBL3	1321
HGNC:25892	AGBL4	1321
HGNC:41123	AGBL4-AS1	1987
HGNC:41482	AGBL4-IT1	1989
HGNC:26147	AGBL5	1321
HGNC:41133	AGBL5-AS1	1987
HGNC:41484	AGBL5-IT1	1989
HGNC:320	AGER	1253|592
HGNC:5175	AGFG1	395|1691
HGNC:5177	AGFG2	395
HGNC:24684	AGGF1	579
HGNC:38051	AGGF1P1	
HGNC:38052	AGGF1P2	
HGNC:38053	AGGF1P3	
HGNC:38054	AGGF1P4	
HGNC:51741	AGGF1P5	
HGNC:51744	AGGF1P6	
HGNC:51740	AGGF1P7	
HGNC:51745	AGGF1P8	
HGNC:51746	AGGF1P9	
HGNC:51747	AGGF1P10	
HGNC:21869	AGK	
HGNC:55356	AGK-DT	1990
HGNC:37661	AGKP1	
HGNC:55132	AGKP2	
HGNC:321	AGL	1650
HGNC:18407	AGMAT	
HGNC:33784	AGMO	552
HGNC:322	AGMX1	
HGNC:323	AGMX2	
HGNC:3262	AGO1	1776|2037
HGNC:3263	AGO2	2037|1687|1776
HGNC:18421	AGO3	1776|2037
HGNC:18424	AGO4	2037|1776
HGNC:324	AGPAT1	1691|46|2147
HGNC:325	AGPAT2	2147|46
HGNC:326	AGPAT3	46|2147
HGNC:20885	AGPAT4	2147|46
HGNC:20988	AGPAT4-IT1	1989
HGNC:20886	AGPAT5	46|1691|2147
HGNC:37709	AGPAT5P1	
HGNC:327	AGPS	2258
HGNC:328	AGR2	692
HGNC:24167	AGR3	692
HGNC:329	AGRN	570
HGNC:330	AGRP	1902
HGNC:331	AGS	
HGNC:332	AGS1	
HGNC:31917	AGS2	
HGNC:333	AGT	1902|739
HGNC:334	AGTBP	
HGNC:335	AGTIL	
HGNC:17258	AGTPBP1	1492|1321
HGNC:336	AGTR1	221
HGNC:337	AGTR1B	
HGNC:338	AGTR2	221
HGNC:13539	AGTRAP	
HGNC:340	AGTRL2	
HGNC:341	AGXT	
HGNC:14412	AGXT2	
HGNC:342	AHC	
HGNC:24618	AHCTF1	1051
HGNC:24620	AHCTF1P1	
HGNC:343	AHCY	
HGNC:344	AHCYL1	694
HGNC:22204	AHCYL2	
HGNC:44993	AHCYP1	
HGNC:44994	AHCYP2	
HGNC:44995	AHCYP3	
HGNC:44996	AHCYP4	
HGNC:44997	AHCYP5	
HGNC:44998	AHCYP6	
HGNC:44999	AHCYP7	
HGNC:45000	AHCYP8	
HGNC:25230	AHDC1	
HGNC:345	AHDS	
HGNC:21575	AHI1	362
HGNC:32526	AHI1-DT	1990
HGNC:347	AHNAK	1220
HGNC:20125	AHNAK2	1220
HGNC:348	AHR	420|2127
HGNC:346	AHRR	2127|420
HGNC:1189	AHSA1	
HGNC:20437	AHSA2P	
HGNC:349	AHSG	968
HGNC:18075	AHSP	
HGNC:350	AIC	
HGNC:13203	AICDA	406
HGNC:25761	AIDA	823
HGNC:54663	AIDAP1	
HGNC:54664	AIDAP2	
HGNC:54665	AIDAP3	
HGNC:351	AIED	
HGNC:352	AIF1	863
HGNC:28904	AIF1L	863
HGNC:8768	AIFM1	2258
HGNC:44884	AIFM1P1	
HGNC:21411	AIFM2	2258
HGNC:26398	AIFM3	
